,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,경동,80㎡,부산시 금정구 청룡동,2641010300,350,부산시 금정구 청룡예전로 74,35.280372,129.086339,612,0,18,16,317,53,287,(주)경동건설,HT001,80.99,59.79,74,2,1,196,계단식,33900,130140,6780,89460,0,0,0,,114531,110991,"1억 7,700","2억 4,000",,"1억 5,000",,"3,000/55",,"3,000/55",,,,
1,경동,105㎡,부산시 금정구 청룡동,2641010300,350,부산시 금정구 청룡예전로 74,35.280372,129.086339,612,0,18,16,317,53,287,(주)경동건설,HT001,105.67,84.62,80,3,2,272,계단식,56850,189810,11370,121590,0,0,0,,162095,157084,"2억 5,000","3억 4,000","1억 9,000","2억 3,000","5,000/80",1억/60,"5,000/80",1억/60,,,,
2,경동,178㎡,부산시 금정구 청룡동,2641010300,350,부산시 금정구 청룡예전로 74,35.280372,129.086339,612,0,18,16,317,53,287,(주)경동건설,HT001,178.7,150.28,84,4,2,72,계단식,126900,367110,25380,214830,0,0,0,,287870,278971,6억,"6억 5,000",,,,,,,,,,
3,경동,217,부산시 금정구 청룡동,2641010300,350,부산시 금정구 청룡예전로 74,35.280372,129.086339,612,0,18,16,317,53,287,(주)경동건설,HT001,217.57,186.65,86,5,2,72,계단식,135900,384210,27180,221130,0,0,0,,357539,346486,"5억 5,000","7억 5,000",,,,,,,,,,
0,골든팰리스더파크(도시형),69A㎡,부산시 금정구 청룡동,2641010300,45-7,부산시 금정구 청룡로 38,35.275767,129.088493,50,0,15,15,455,52,40,골드종합건설(주),HT001,69.7,49.81,71,3,1,30,계단식,,,,,,,,,,,"1억 9,000","2억 3,000",,,,,,,,,,
1,골든팰리스더파크(도시형),70B,부산시 금정구 청룡동,2641010300,45-7,부산시 금정구 청룡로 38,35.275767,129.088493,50,0,15,15,455,52,40,골드종합건설(주),HT001,70.37,49.81,71,3,1,20,계단식,,,,,,,,,,,2억,"2억 3,000",,,,,,,,,,
0,구남,69A㎡,부산시 금정구 청룡동,2641010300,633-4,부산시 금정구 청룡로 60,35.27567,129.085968,67,0,18,9,383,29,48,삼성종합건설,HT001,69.78,57.6,83,3,1,1,복도식,17595,70380,3519,49266,0,0,0,,,,,,,,,,,,,,,
1,구남,70B㎡,부산시 금정구 청룡동,2641010300,633-4,부산시 금정구 청룡로 60,35.27567,129.085968,67,0,18,9,383,29,48,삼성종합건설,HT001,70.8,58.44,83,3,1,29,복도식,21038,84151,4208,58905,0,0,0,,,,,,,,,,,,,,,
2,구남,98㎡,부산시 금정구 청룡동,2641010300,633-4,부산시 금정구 청룡로 60,35.27567,129.085968,67,0,18,9,383,29,48,삼성종합건설,HT001,98.9,81.63,83,3,2,9,계단식,26100,104400,5220,73080,0,0,0,,,,,,,,,,,,,,,
3,구남,101㎡,부산시 금정구 청룡동,2641010300,633-4,부산시 금정구 청룡로 60,35.27567,129.085968,67,0,18,9,383,29,48,삼성종합건설,HT001,101.26,83.57,83,3,1,9,복도식,27225,108900,5445,76230,0,0,0,,,,"1억 6,200","1억 8,500",,,,,,,,,,
4,구남,121㎡,부산시 금정구 청룡동,2641010300,633-4,부산시 금정구 청룡로 60,35.27567,129.085968,67,0,18,9,383,29,48,삼성종합건설,HT001,121.1,99.96,83,3,1,17,복도식,29250,117000,5850,81900,0,0,0,,,,2억 500,"2억 5,000",,,,,,,,,,
5,구남,131㎡,부산시 금정구 청룡동,2641010300,633-4,부산시 금정구 청룡로 60,35.27567,129.085968,67,0,18,9,383,29,48,삼성종합건설,HT001,131.1,108.21,83,4,2,1,복도식,31650,124290,6330,86310,0,0,0,,,,,,,,,,,,,,,
6,구남,180,부산시 금정구 청룡동,2641010300,633-4,부산시 금정구 청룡로 60,35.27567,129.085968,67,0,18,9,383,29,48,삼성종합건설,HT001,180.37,148.88,83,4,3,1,계단식,53250,180450,10650,116550,0,0,0,,,,,,,,,,,,,,,
0,금정더유엘프리미어(주상복합),63C㎡,부산시 금정구 청룡동,2641010300,45-2,부산시 금정구 청룡로 42,35.275782,129.087933,113,0,20,20,530,54,127,(주)신태양건설,HT001,63.3,51.28,81,2,1,19,계단식,,,,,,,,,,,,"2억 5,000",,,,,,,,,,
1,금정더유엘프리미어(주상복합),66F㎡,부산시 금정구 청룡동,2641010300,45-2,부산시 금정구 청룡로 42,35.275782,129.087933,113,0,20,20,530,54,127,(주)신태양건설,HT001,66,52.34,79,2,1,17,계단식,,,,,,,,,,,,,,,,,,,,,,
2,금정더유엘프리미어(주상복합),66G㎡,부산시 금정구 청룡동,2641010300,45-2,부산시 금정구 청룡로 42,35.275782,129.087933,113,0,20,20,530,54,127,(주)신태양건설,HT001,66,52.34,79,2,1,1,계단식,,,,,,,,,,,,"2억 4,000",,,,,,,,,,
3,금정더유엘프리미어(주상복합),78A㎡,부산시 금정구 청룡동,2641010300,45-2,부산시 금정구 청룡로 42,35.275782,129.087933,113,0,20,20,530,54,127,(주)신태양건설,HT001,78.82,63.83,81,3,2,19,계단식,,,,,,,,,,,,,,,,,,,,,,
4,금정더유엘프리미어(주상복합),78D㎡,부산시 금정구 청룡동,2641010300,45-2,부산시 금정구 청룡로 42,35.275782,129.087933,113,0,20,20,530,54,127,(주)신태양건설,HT001,78.55,63.8,81,3,2,19,계단식,,,,,,,,,,,,3억,,,,,,,,,,
5,금정더유엘프리미어(주상복합),78E㎡,부산시 금정구 청룡동,2641010300,45-2,부산시 금정구 청룡로 42,35.275782,129.087933,113,0,20,20,530,54,127,(주)신태양건설,HT001,78.2,63.1,81,3,2,19,계단식,,,,,,,,,,,"2억 8,000",3억,,"2억 3,000",,,,,,,,
6,금정더유엘프리미어(주상복합),79B,부산시 금정구 청룡동,2641010300,45-2,부산시 금정구 청룡로 42,35.275782,129.087933,113,0,20,20,530,54,127,(주)신태양건설,HT001,79.06,63.8,81,3,2,19,계단식,,,,,,,,,,,,"2억 8,000",,,,,,,,,,
0,금정산경동메르빌,103㎡,부산시 금정구 청룡동,2641010300,380-5,부산시 금정구 청룡예전로 100-12,35.279547,129.08491,158,0,15,10,294,41,324,경동건설(주),HT001,103.66,89.46,86,2,1,2,계단식,,,,,,,,,267856,242017,,,,,,,,,,,,
1,금정산경동메르빌,115B㎡,부산시 금정구 청룡동,2641010300,380-5,부산시 금정구 청룡예전로 100-12,35.279547,129.08491,158,0,15,10,294,41,324,경동건설(주),HT001,115.96,99.85,86,2,1,1,계단식,,,,,,,,,298942,270105,,,,"3억 2,000",,,,,,,,
2,금정산경동메르빌,116A㎡,부산시 금정구 청룡동,2641010300,380-5,부산시 금정구 청룡예전로 100-12,35.279547,129.08491,158,0,15,10,294,41,324,경동건설(주),HT001,116.76,101.48,87,2,1,3,계단식,,,,,,,,,303830,274521,,,,,,,,,,,,
3,금정산경동메르빌,148㎡,부산시 금정구 청룡동,2641010300,380-5,부산시 금정구 청룡예전로 100-12,35.279547,129.08491,158,0,15,10,294,41,324,경동건설(주),HT001,148.31,128.89,87,3,2,99,계단식,,,,,,,,,385903,348677,"4억 8,000",6억,"3억 3,000","3억 5,000",,,,,,,,
4,금정산경동메르빌,192㎡,부산시 금정구 청룡동,2641010300,380-5,부산시 금정구 청룡예전로 100-12,35.279547,129.08491,158,0,15,10,294,41,324,경동건설(주),HT001,192.12,166.97,87,4,2,47,계단식,,,,,,,,,499907,451684,"6억 5,000","7억 5,000",,,,,,,,,,
5,금정산경동메르빌,243㎡,부산시 금정구 청룡동,2641010300,380-5,부산시 금정구 청룡예전로 100-12,35.279547,129.08491,158,0,15,10,294,41,324,경동건설(주),HT001,243.64,211.75,87,5,3,3,계단식,,,,,,,,,633947,572793,,,,,,,,,,,,
