,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,낙민한일유앤아이,91㎡,부산시 동래구 낙민동,2626010400,77-1,부산시 동래구 온천천로339번길 28,35.195511,129.091983,935,0,38,21,452,25,1367,한일건설,HT001,91.9,71.01,77,3,2,23,계단식,118500,350100,23700,207900,0,0,0,,164535,167356,"5억 6,000","5억 7,000",,,,,,,,,,
1,낙민한일유앤아이,98㎡,부산시 동래구 낙민동,2626010400,77-1,부산시 동래구 온천천로339번길 28,35.195511,129.091983,935,0,38,21,452,25,1367,한일건설,HT001,98.8,76.61,78,3,2,46,계단식,132300,377370,26460,218610,0,0,0,,177514,180558,"4억 5,000",6억,,,,,,,,,,
2,낙민한일유앤아이,109㎡,부산시 동래구 낙민동,2626010400,77-1,부산시 동래구 온천천로339번길 28,35.195511,129.091983,935,0,38,21,452,25,1367,한일건설,HT001,109.05,84.95,78,3,2,200,계단식,158400,426960,31680,236880,0,0,0,,196846,200222,"4억 8,000","6억 5,000",,,,"5,000/90",,"5,000/90",,,,
3,낙민한일유앤아이,111A㎡,부산시 동래구 낙민동,2626010400,77-1,부산시 동래구 온천천로339번길 28,35.195511,129.091983,935,0,38,21,452,25,1367,한일건설,HT001,111.02,84.93,76,3,2,74,계단식,158400,426960,31680,236880,0,0,0,,196805,200180,"4억 9,700",6억,,"2억 8,000",,"7,000/80",,"7,000/80",,,,
4,낙민한일유앤아이,112B㎡,부산시 동래구 낙민동,2626010400,77-1,부산시 동래구 온천천로339번길 28,35.195511,129.091983,935,0,38,21,452,25,1367,한일건설,HT001,112.03,84.98,76,3,2,146,계단식,158400,426960,31680,236880,0,0,0,,196912,200288,"4억 8,000",6억,,,,,,,,,,
5,낙민한일유앤아이,137㎡,부산시 동래구 낙민동,2626010400,77-1,부산시 동래구 온천천로339번길 28,35.195511,129.091983,935,0,38,21,452,25,1367,한일건설,HT001,137.4,105.18,77,4,2,220,계단식,234000,570600,46800,289800,0,0,0,,243710,247889,"5억 5,000",7억,"3억 1,000","3억 9,000",,,,,,,,
6,낙민한일유앤아이,143㎡,부산시 동래구 낙민동,2626010400,77-1,부산시 동래구 온천천로339번길 28,35.195511,129.091983,935,0,38,21,452,25,1367,한일건설,HT001,143.21,112.17,78,4,2,92,계단식,245700,592830,49140,297990,0,0,0,,259901,264359,6억,"7억 5,000",3억,"3억 5,000",,,,,,,,
7,낙민한일유앤아이,159,부산시 동래구 낙민동,2626010400,77-1,부산시 동래구 온천천로339번길 28,35.195511,129.091983,935,0,38,21,452,25,1367,한일건설,HT001,159.48,124.97,78,4,2,134,계단식,277200,652680,55440,320040,0,0,0,,289564,294530,"6억 9,000",8억,,"4억 4,000",1억/200,"1억 5,000/100",1억/200,"1억 5,000/100",,,,
0,대신리치플러스,102,부산시 동래구 낙민동,2626010400,297-3,부산시 동래구 충렬대로256번가길 22,35.199943,129.088342,52,0,15,15,555,59,72,지수종합건설(주),HT001,102.14,84.64,83,3,2,52,복합식,,,,,,,,,,,"3억 5,000",4억,,,"5,000/60",1억/40,"5,000/60",1억/40,,,,
0,대신탑스빌(주상복합),80㎡,부산시 동래구 낙민동,2626010400,214-3,부산시 동래구 충렬대로272번길 32,35.199413,129.089048,19,0,12,11,552,76,12,건흥종합건설(주),HT001,80.63,68.48,85,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,대신탑스빌(주상복합),89㎡,부산시 동래구 낙민동,2626010400,214-3,부산시 동래구 충렬대로272번길 32,35.199413,129.089048,19,0,12,11,552,76,12,건흥종합건설(주),HT001,89.75,76.23,85,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,대신탑스빌(주상복합),99B㎡,부산시 동래구 낙민동,2626010400,214-3,부산시 동래구 충렬대로272번길 32,35.199413,129.089048,19,0,12,11,552,76,12,건흥종합건설(주),HT001,99.42,84.44,85,3,2,8,계단식,,,,,,,,,,,,,,,,,,,,,,
3,대신탑스빌(주상복합),99C㎡,부산시 동래구 낙민동,2626010400,214-3,부산시 동래구 충렬대로272번길 32,35.199413,129.089048,19,0,12,11,552,76,12,건흥종합건설(주),HT001,99.93,84.87,85,3,2,8,계단식,,,,,,,,,,,,"3억 2,000",,,,,,,,,,
4,대신탑스빌(주상복합),99A,부산시 동래구 낙민동,2626010400,214-3,부산시 동래구 충렬대로272번길 32,35.199413,129.089048,19,0,12,11,552,76,12,건흥종합건설(주),HT001,99.37,84.4,85,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,덕성(주상복합),117㎡,부산시 동래구 낙민동,2626010400,294-39,부산시 동래구 충렬대로238번가길 39-9,35.199684,129.087177,7,0,7,7,417,64,8,,HT001,117.68,101.76,86,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,덕성(주상복합),133㎡,부산시 동래구 낙민동,2626010400,294-39,부산시 동래구 충렬대로238번가길 39-9,35.199684,129.087177,7,0,7,7,417,64,8,,HT001,133.83,117.91,88,4,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,덕성(주상복합),151㎡,부산시 동래구 낙민동,2626010400,294-39,부산시 동래구 충렬대로238번가길 39-9,35.199684,129.087177,7,0,7,7,417,64,8,,HT001,151.72,133.21,88,4,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
3,덕성(주상복합),155,부산시 동래구 낙민동,2626010400,294-39,부산시 동래구 충렬대로238번가길 39-9,35.199684,129.087177,7,0,7,7,417,64,8,,HT001,155.29,139.37,90,4,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,동래벽산,80㎡,부산시 동래구 낙민동,2626010400,92-9,부산시 동래구 안남로 47,35.195076,129.097193,420,0,25,20,359,21,318,벽산건설(주),HT001,80,59.91,75,3,1,180,계단식,67650,217890,13530,136710,0,0,0,,160098,164704,"2억 9,000","3억 3,000",,"1억 9,000",,,,,,,,
1,동래벽산,107,부산시 동래구 낙민동,2626010400,92-9,부산시 동래구 안남로 47,35.195076,129.097193,420,0,25,20,359,21,318,벽산건설(주),HT001,107,84.9,79,3,2,240,계단식,94650,288090,18930,174510,0,0,0,,226857,233382,"3억 6,000","4억 6,000","2억 3,000","2억 4,000",,"3,000/90",,"3,000/90",,,,
0,동래우성,58㎡,부산시 동래구 낙민동,2626010400,83-1,부산시 동래구 안남로 9,35.194713,129.093543,531,0,25,10,398,22,479,우성건설(주),HT001,58.2,40.3,69,2,1,60,계단식,28350,113400,5670,79380,0,0,0,,68769,68774,"1억 5,500","1억 8,000",,,,,,,,,,
