,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,건원안단테(주상복합),72A㎡,부산시 동래구 명륜동,2626010700,450-2,부산시 동래구 삼성대길 12,35.203582,129.082537,22,0,13,13,479,51,19,(주)남주종합건설,HT001,72.19,62.27,86,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,건원안단테(주상복합),72B㎡,부산시 동래구 명륜동,2626010700,450-2,부산시 동래구 삼성대길 12,35.203582,129.082537,22,0,13,13,479,51,19,(주)남주종합건설,HT001,72.66,62.67,86,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,건원안단테(주상복합),87A㎡,부산시 동래구 명륜동,2626010700,450-2,부산시 동래구 삼성대길 12,35.203582,129.082537,22,0,13,13,479,51,19,(주)남주종합건설,HT001,87.87,75.79,86,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,건원안단테(주상복합),88B㎡,부산시 동래구 명륜동,2626010700,450-2,부산시 동래구 삼성대길 12,35.203582,129.082537,22,0,13,13,479,51,19,(주)남주종합건설,HT001,88.19,76.07,86,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,건원안단테(주상복합),97㎡,부산시 동래구 명륜동,2626010700,450-2,부산시 동래구 삼성대길 12,35.203582,129.082537,22,0,13,13,479,51,19,(주)남주종합건설,HT001,97.26,83.89,86,3,2,9,계단식,,,,,,,,,,,,,,,,,,,,,,
5,건원안단테(주상복합),97,부산시 동래구 명륜동,2626010700,450-2,부산시 동래구 삼성대길 12,35.203582,129.082537,22,0,13,13,479,51,19,(주)남주종합건설,HT001,97.64,84.22,86,3,2,9,계단식,,,,,,,,,,,,,,,,,,,,,,
0,금림필2차,87㎡,부산시 동래구 명륜동,2626010700,533-24,부산시 동래구 온천천로 181,35.203262,129.078986,19,0,11,11,498,58,16,조아건설(주),HT001,87.81,74.1,84,3,1,2,계단식,36600,137160,7320,93240,0,0,0,,,,,,,,,,,,,,,
1,금림필2차,92㎡,부산시 동래구 명륜동,2626010700,533-24,부산시 동래구 온천천로 181,35.203262,129.078986,19,0,11,11,498,58,16,조아건설(주),HT001,92.75,78.27,84,3,1,2,계단식,44250,157050,8850,103950,0,0,0,,,,,,,,,,,,,,,
2,금림필2차,97A㎡,부산시 동래구 명륜동,2626010700,533-24,부산시 동래구 온천천로 181,35.203262,129.078986,19,0,11,11,498,58,16,조아건설(주),HT001,97.58,82.35,84,3,2,2,계단식,51000,174600,10200,113400,0,0,0,,,,,3억,,,,,,,,,,
3,금림필2차,99B㎡,부산시 동래구 명륜동,2626010700,533-24,부산시 동래구 온천천로 181,35.203262,129.078986,19,0,11,11,498,58,16,조아건설(주),HT001,99.5,83.97,84,3,2,12,계단식,51000,174600,10200,113400,0,0,0,,,,,"3억 1,000",,,,,,,,,,
4,금림필2차,174,부산시 동래구 명륜동,2626010700,533-24,부산시 동래구 온천천로 181,35.203262,129.078986,19,0,11,11,498,58,16,조아건설(주),HT001,174.6,147.34,84,4,3,1,계단식,79350,248310,15870,153090,0,0,0,,,,,,,,,,,,,,,
0,금림필3차(주상복합),93㎡,부산시 동래구 명륜동,2626010700,533-128,부산시 동래구 온천천로 179,35.203415,129.079042,16,0,12,12,498,58,23,,HT001,93.41,79.47,85,3,2,1,계단식,44700,158220,8940,104580,0,0,0,,,,,,,,,,,,,,,
1,금림필3차(주상복합),96B㎡,부산시 동래구 명륜동,2626010700,533-128,부산시 동래구 온천천로 179,35.203415,129.079042,16,0,12,12,498,58,23,,HT001,96.6,82.18,85,3,2,8,계단식,52350,178110,10470,115290,0,0,0,,,,,"3억 1,000",,,,,,,,,,
2,금림필3차(주상복합),96A,부산시 동래구 명륜동,2626010700,533-128,부산시 동래구 온천천로 179,35.203415,129.079042,16,0,12,12,498,58,23,,HT001,96.33,81.95,85,3,2,7,계단식,54150,182790,10830,117810,0,0,0,,,,"3억 1,500","3억 4,000",,2억,"4,000/65","5,000/80","4,000/65","5,000/80",,,,
0,대신,75㎡,부산시 동래구 명륜동,2626010700,714-8,부산시 동래구 온천천로 37,35.215274,129.082525,18,0,10,10,287,32,14,,HT001,75.04,66.45,89,3,2,1,계단식,44700,158220,8940,104580,0,0,0,,,,,"3억 8,000",,"2억 4,000",,,,,,,,
