,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,DN빌리지(도시형),60,부산시 동래구 온천동,2626010800,189-93,부산시 동래구 차밭골로24번길 28,35.217545,129.079741,8,0,5,5,251,64,5,(주)서호토건,HT001,60.92,49.55,81,2,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
0,GLG스파타운(주상복합),53㎡,부산시 동래구 온천동,2626010800,1426-9,부산시 동래구 충렬대로100번길 12,35.206666,129.071277,19,0,12,6,576,84,25,(주)지엘지종합건설,HT001,53.63,47.9,89,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,GLG스파타운(주상복합),65㎡,부산시 동래구 온천동,2626010800,1426-9,부산시 동래구 충렬대로100번길 12,35.206666,129.071277,19,0,12,6,576,84,25,(주)지엘지종합건설,HT001,65.44,58.44,89,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,GLG스파타운(주상복합),76㎡,부산시 동래구 온천동,2626010800,1426-9,부산시 동래구 충렬대로100번길 12,35.206666,129.071277,19,0,12,6,576,84,25,(주)지엘지종합건설,HT001,76.57,68.38,89,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,GLG스파타운(주상복합),80㎡,부산시 동래구 온천동,2626010800,1426-9,부산시 동래구 충렬대로100번길 12,35.206666,129.071277,19,0,12,6,576,84,25,(주)지엘지종합건설,HT001,80.7,72.07,89,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,GLG스파타운(주상복합),94A㎡,부산시 동래구 온천동,2626010800,1426-9,부산시 동래구 충렬대로100번길 12,35.206666,129.071277,19,0,12,6,576,84,25,(주)지엘지종합건설,HT001,94.34,84.25,89,3,1,6,계단식,,,,,,,,,,,,,,,,,,,,,,
5,GLG스파타운(주상복합),94B㎡,부산시 동래구 온천동,2626010800,1426-9,부산시 동래구 충렬대로100번길 12,35.206666,129.071277,19,0,12,6,576,84,25,(주)지엘지종합건설,HT001,94.53,84.42,89,3,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
6,GLG스파타운(주상복합),94C㎡,부산시 동래구 온천동,2626010800,1426-9,부산시 동래구 충렬대로100번길 12,35.206666,129.071277,19,0,12,6,576,84,25,(주)지엘지종합건설,HT001,94.77,84.64,89,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
7,GLG스파타운(주상복합),95D,부산시 동래구 온천동,2626010800,1426-9,부산시 동래구 충렬대로100번길 12,35.206666,129.071277,19,0,12,6,576,84,25,(주)지엘지종합건설,HT001,95.17,84.99,89,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
0,KH마이우스(도시형),23㎡,부산시 동래구 온천동,2626010800,210-16,부산시 동래구 금강공원로 27,35.21877,129.081585,78,0,15,15,845,73,42,시앤디종합건설(주),HT001,23.9,15.26,64,1,1,12,복도식,,,,,,,,,,,,,,,,,,,,,,
1,KH마이우스(도시형),36㎡,부산시 동래구 온천동,2626010800,210-16,부산시 동래구 금강공원로 27,35.21877,129.081585,78,0,15,15,845,73,42,시앤디종합건설(주),HT001,36.99,23.99,65,1,1,30,복도식,,,,,,,,,,,"1억 1,500","1억 1,700",,,,"1,000/50",,"1,000/50",,,,
2,KH마이우스(도시형),38A㎡,부산시 동래구 온천동,2626010800,210-16,부산시 동래구 금강공원로 27,35.21877,129.081585,78,0,15,15,845,73,42,시앤디종합건설(주),HT001,38.46,24.46,64,2,1,6,복도식,,,,,,,,,,,,,,,,,,,,,,
3,KH마이우스(도시형),40B㎡,부산시 동래구 온천동,2626010800,210-16,부산시 동래구 금강공원로 27,35.21877,129.081585,78,0,15,15,845,73,42,시앤디종합건설(주),HT001,40.01,25.49,64,2,1,6,복도식,,,,,,,,,,,,,,,,,,,,,,
4,KH마이우스(도시형),70,부산시 동래구 온천동,2626010800,210-16,부산시 동래구 금강공원로 27,35.21877,129.081585,78,0,15,15,845,73,42,시앤디종합건설(주),HT001,70.16,46.22,66,2,1,24,복도식,,,,,,,,,,,,,,,"1,000/72","3,000/62","1,000/72","3,000/62",,,,
0,KH파인우스(도시형),62B㎡,부산시 동래구 온천동,2626010800,182-7,부산시 동래구 온천장로 75,35.218045,129.081885,72,0,18,18,963,76,54,시앤디종합건설(주),HT001,62.27,43.75,70,3,1,36,계단식,,,,,,,,,,,,,,"1억 7,000","1,000/85","1억 6,000/10","1,000/85","1억 6,000/10",,,,
1,KH파인우스(도시형),62A㎡,부산시 동래구 온천동,2626010800,182-7,부산시 동래구 온천장로 75,35.218045,129.081885,72,0,18,18,963,76,54,시앤디종합건설(주),HT001,62.8,43.39,69,3,1,6,계단식,,,,,,,,,,,,,,"1억 7,000","1,000/85","5,000/65","1,000/85","5,000/65",,,,
2,KH파인우스(도시형),65,부산시 동래구 온천동,2626010800,182-7,부산시 동래구 온천장로 75,35.218045,129.081885,72,0,18,18,963,76,54,시앤디종합건설(주),HT001,65.86,46.34,70,3,1,30,계단식,,,,,,,,,,,,"2억 1,000",,"1억 7,000","1,000/60","1,000/85","1,000/60","1,000/85",,,,
0,M팰리스(도시형),17㎡,부산시 동래구 온천동,2626010800,1380-18,부산시 동래구 여고북로33번길 33,35.202277,129.067879,26,0,12,12,627,75,12,정상종합건설(주),HT001,17.65,13.63,77,1,1,4,계단식,,,,,,,,,,,,,,"6,000",,,,,,,,
1,M팰리스(도시형),20㎡,부산시 동래구 온천동,2626010800,1380-18,부산시 동래구 여고북로33번길 33,35.202277,129.067879,26,0,12,12,627,75,12,정상종합건설(주),HT001,20.88,16.12,77,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
