,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,가남,64㎡,부산시 부산진구 가야동,2623011000,450-2,부산시 부산진구 대학로 64-1,35.150155,129.034286,24,0,5,5,0,0,0,,HT001,64.99,54.18,83,2,1,10,복도식,42120,109512,8424,58968,0,0,0,,,,,,,,,,,,,,,
1,가남,74㎡,부산시 부산진구 가야동,2623011000,450-2,부산시 부산진구 대학로 64-1,35.150155,129.034286,24,0,5,5,0,0,0,,HT001,74.71,62.51,84,2,1,2,복도식,45960,119496,9192,64344,0,0,0,,,,,,,,,,,,,,,
2,가남,77㎡,부산시 부산진구 가야동,2623011000,450-2,부산시 부산진구 대학로 64-1,35.150155,129.034286,24,0,5,5,0,0,0,,HT001,77.89,65.16,84,2,1,10,복도식,49200,127920,9840,68880,0,0,0,,,,,,,,,,,,,,,
3,가남,90,부산시 부산진구 가야동,2623011000,450-2,부산시 부산진구 대학로 64-1,35.150155,129.034286,24,0,5,5,0,0,0,,HT001,90.98,76.1,84,2,1,2,복도식,55200,143520,11040,77280,0,0,0,,,,,,,,,,,,,,,
0,가야,39,부산시 부산진구 가야동,2623011000,385-2,부산시 부산진구 엄광로 270,35.154139,129.039594,300,0,6,5,0,0,0,신암건설,HT001,39.67,39.67,100,2,1,300,계단식,20610,82440,4122,57708,0,0,0,,,,"7,800","1억 3,500","4,000","5,000",300/25,500/35,300/25,500/35,,,,
0,가야KTe편한세상,110㎡,부산시 부산진구 가야동,2623011000,698,부산시 부산진구 가야대로 569,35.155124,129.034053,299,0,29,14,393,18,505,대림산업,HT001,110.5,84.98,77,3,2,52,계단식,139500,391050,27900,223650,0,0,0,,224014,224381,,"5억 3,000",,,,,,,,,,
1,가야KTe편한세상,146㎡,부산시 부산진구 가야동,2623011000,698,부산시 부산진구 가야대로 569,35.155124,129.034053,299,0,29,14,393,18,505,대림산업,HT001,146.45,113.14,77,4,2,108,계단식,212400,529560,42480,274680,0,0,0,,298256,298745,"6억 3,500","7억 3,000","3억 7,000",4억,,2억/70,,2억/70,,,,
2,가야KTe편한세상,166㎡,부산시 부산진구 가야동,2623011000,698,부산시 부산진구 가야대로 569,35.155124,129.034053,299,0,29,14,393,18,505,대림산업,HT001,166.87,137.59,82,4,2,26,계단식,233100,568890,46620,289170,0,0,0,,362690,363284,,,,,,,,,,,,
3,가야KTe편한세상,169,부산시 부산진구 가야동,2623011000,698,부산시 부산진구 가야대로 569,35.155124,129.034053,299,0,29,14,393,18,505,대림산업,HT001,169.58,135.78,80,4,2,113,계단식,226800,556920,45360,284760,0,0,0,,357921,358507,"7억 5,000","8억 3,000",,3억,,,,,,,,
0,가야그린시티(주상복합),87B㎡,부산시 부산진구 가야동,2623011000,35,부산시 부산진구 가야대로679번길 61,35.156742,129.043471,114,0,20,20,758,55,117,석헌종합건설(주),HT001,87.09,66.74,77,3,2,19,계단식,,,,,,,,,,,,,,,,,,,,,,
1,가야그린시티(주상복합),95A㎡,부산시 부산진구 가야동,2623011000,35,부산시 부산진구 가야대로679번길 61,35.156742,129.043471,114,0,20,20,758,55,117,석헌종합건설(주),HT001,95.84,72.31,75,3,2,19,계단식,,,,,,,,,,,,3억,,,,,,,,,,
2,가야그린시티(주상복합),101F㎡,부산시 부산진구 가야동,2623011000,35,부산시 부산진구 가야대로679번길 61,35.156742,129.043471,114,0,20,20,758,55,117,석헌종합건설(주),HT001,101.81,76.98,76,3,2,19,계단식,,,,,,,,,,,,"2억 9,645",,,,,,,,,,
3,가야그린시티(주상복합),102C㎡,부산시 부산진구 가야동,2623011000,35,부산시 부산진구 가야대로679번길 61,35.156742,129.043471,114,0,20,20,758,55,117,석헌종합건설(주),HT001,102.68,76.6,75,3,2,19,계단식,,,,,,,,,,,,,,,,,,,,,,
4,가야그린시티(주상복합),105E㎡,부산시 부산진구 가야동,2623011000,35,부산시 부산진구 가야대로679번길 61,35.156742,129.043471,114,0,20,20,758,55,117,석헌종합건설(주),HT001,105.09,80.15,76,3,2,19,계단식,,,,,,,,,,,,"3억 1,000",,,,,,,,,,
5,가야그린시티(주상복합),106D,부산시 부산진구 가야동,2623011000,35,부산시 부산진구 가야대로679번길 61,35.156742,129.043471,114,0,20,20,758,55,117,석헌종합건설(주),HT001,106.43,81.57,77,3,2,19,계단식,,,,,,,,,,,"3억 2,000","3억 3,200",,,,,,,,,,
0,가야동원,59㎡,부산시 부산진구 가야동,2623011000,657-50,부산시 부산진구 엄광로 70,35.148016,129.025019,224,0,6,5,0,0,0,동원개발(주),HT001,59.28,47.34,80,2,1,42,계단식,18023,72091,3605,50463,0,0,0,,,,,"1억 3,500",,,,,,,,,,
