,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,거승수정빌라트,38㎡,부산시 부산진구 부암동,2623010800,114-5,부산시 부산진구 신천대로216번길 12,35.160903,129.050609,14,0,8,8,451,67,7,거승종합건설,HT001,38.81,31.84,82,2,1,7,계단식,9923,39691,1985,27783,0,0,0,,,,,,,,,,,,,,,
1,거승수정빌라트,84,부산시 부산진구 부암동,2623010800,114-5,부산시 부산진구 신천대로216번길 12,35.160903,129.050609,14,0,8,8,451,67,7,거승종합건설,HT001,84.97,69.72,82,3,2,7,계단식,24975,99900,4995,69930,0,0,0,,,,,,,,,,,,,,,
0,경성아트빌(주상복합),82A㎡,부산시 부산진구 부암동,2623010800,620,부산시 부산진구 백양산로 44,35.173367,129.031978,6,0,7,6,292,59,12,대림종합건설(주),HT001,82.5,75.3,91,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
1,경성아트빌(주상복합),82B㎡,부산시 부산진구 부암동,2623010800,620,부산시 부산진구 백양산로 44,35.173367,129.031978,6,0,7,6,292,59,12,대림종합건설(주),HT001,82.72,75.51,91,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,경성아트빌(주상복합),83C㎡,부산시 부산진구 부암동,2623010800,620,부산시 부산진구 백양산로 44,35.173367,129.031978,6,0,7,6,292,59,12,대림종합건설(주),HT001,83.05,75.81,91,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,경성아트빌(주상복합),91,부산시 부산진구 부암동,2623010800,620,부산시 부산진구 백양산로 44,35.173367,129.031978,6,0,7,6,292,59,12,대림종합건설(주),HT001,91.11,83.16,91,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,그린센트(도시형),45B㎡,부산시 부산진구 부암동,2623010800,38-5,부산시 부산진구 시민공원로19번길 94,35.167268,129.051067,133,0,20,20,998,73,70,태림종합건설(주),HT001,45.55,29.88,66,1,1,95,복도식,,,,,,,,,,,"1억 8,000",2억,"1억 3,000","1억 8,000","1,000/70","2,000/70","1,000/70","2,000/70",,,,
1,그린센트(도시형),45C㎡,부산시 부산진구 부암동,2623010800,38-5,부산시 부산진구 시민공원로19번길 94,35.167268,129.051067,133,0,20,20,998,73,70,태림종합건설(주),HT001,45.98,29.93,65,1,1,19,복도식,,,,,,,,,,,,"1억 8,500",,,,,,,,,,
2,그린센트(도시형),46A,부산시 부산진구 부암동,2623010800,38-5,부산시 부산진구 시민공원로19번길 94,35.167268,129.051067,133,0,20,20,998,73,70,태림종합건설(주),HT001,46.87,29.79,64,1,1,19,복도식,,,,,,,,,,,,2억 200,"1억 3,500","1억 4,500",,,,,,,,
0,금호,72㎡,부산시 부산진구 부암동,2623010800,380-7,부산시 부산진구 동평로119번길 59,35.168791,129.041207,49,0,5,5,0,0,0,,HT001,72.34,62.73,87,2,1,5,계단식,19710,78840,3942,55188,0,0,0,,,,"1억 2,500","1억 5,000","9,000",1억,,,,,,,,
1,금호,79㎡,부산시 부산진구 부암동,2623010800,380-7,부산시 부산진구 동평로119번길 59,35.168791,129.041207,49,0,5,5,0,0,0,,HT001,79.21,69.3,87,3,1,5,계단식,21645,86580,4329,60606,0,0,0,,,,,,,,,,,,,,,
2,금호,81B㎡,부산시 부산진구 부암동,2623010800,380-7,부산시 부산진구 동평로119번길 59,35.168791,129.041207,49,0,5,5,0,0,0,,HT001,81.59,71.55,88,3,1,5,계단식,22208,88831,4442,62181,0,0,0,,,,,,,,,,,,,,,
3,금호,82A㎡,부산시 부산진구 부암동,2623010800,380-7,부산시 부산진구 동평로119번길 59,35.168791,129.041207,49,0,5,5,0,0,0,,HT001,82.11,71.37,87,3,1,4,계단식,21735,86940,4347,60858,0,0,0,,,,,,,,,,,,,,,
4,금호,83C㎡,부산시 부산진구 부암동,2623010800,380-7,부산시 부산진구 동평로119번길 59,35.168791,129.041207,49,0,5,5,0,0,0,,HT001,83.1,72.99,88,3,1,10,계단식,22208,88831,4442,62181,0,0,0,,,,,,,,,,,,,,,
5,금호,87㎡,부산시 부산진구 부암동,2623010800,380-7,부산시 부산진구 동평로119번길 59,35.168791,129.041207,49,0,5,5,0,0,0,,HT001,87.36,77.04,88,3,1,5,계단식,22208,88831,4442,62181,0,0,0,,,,,,,,,,,,,,,
6,금호,88B㎡,부산시 부산진구 부암동,2623010800,380-7,부산시 부산진구 동평로119번길 59,35.168791,129.041207,49,0,5,5,0,0,0,,HT001,88.86,78.48,88,3,1,10,계단식,22500,90000,4500,63000,0,0,0,,,,,,,,,,,,,,,
7,금호,88A,부산시 부산진구 부암동,2623010800,380-7,부산시 부산진구 동평로119번길 59,35.168791,129.041207,49,0,5,5,0,0,0,,HT001,88.01,77.67,88,3,1,5,계단식,22950,91800,4590,64260,0,0,0,,,,,"1억 7,000",,,,,,,,,,
0,남산,47㎡,부산시 부산진구 부암동,2623010800,320-68,부산시 부산진구 동평로131번길 68,35.168652,129.045141,102,0,4,3,0,0,0,,HT001,47.83,38.51,81,2,1,3,계단식,24000,62400,4800,33600,0,0,0,,,,,1억,,,,,,,,,,
1,남산,50㎡,부산시 부산진구 부암동,2623010800,320-68,부산시 부산진구 동평로131번길 68,35.168652,129.045141,102,0,4,3,0,0,0,,HT001,50.63,36.9,73,2,1,4,계단식,,,,,,,,,,,,,,,,500/35,,500/35,,,,
2,남산,55B㎡,부산시 부산진구 부암동,2623010800,320-68,부산시 부산진구 동평로131번길 68,35.168652,129.045141,102,0,4,3,0,0,0,,HT001,55.27,44.87,81,2,1,32,계단식,28200,73320,5640,39480,0,0,0,,,,,,,,,,,,,,,
3,남산,57A㎡,부산시 부산진구 부암동,2623010800,320-68,부산시 부산진구 동평로131번길 68,35.168652,129.045141,102,0,4,3,0,0,0,,HT001,57.08,43.81,77,2,1,16,계단식,,,,,,,,,,,,,,,,,,,,,,
4,남산,58A㎡,부산시 부산진구 부암동,2623010800,320-68,부산시 부산진구 동평로131번길 68,35.168652,129.045141,102,0,4,3,0,0,0,,HT001,58.1,51.21,88,2,1,8,계단식,32400,84240,6480,45360,0,0,0,,,,,,,,,,,,,,,
5,남산,59B㎡,부산시 부산진구 부암동,2623010800,320-68,부산시 부산진구 동평로131번길 68,35.168652,129.045141,102,0,4,3,0,0,0,,HT001,59.17,52.93,89,2,1,8,계단식,,,,,,,,,,,,,,,,"2,000/30",,"2,000/30",,,,
6,남산,62E㎡,부산시 부산진구 부암동,2623010800,320-68,부산시 부산진구 동평로131번길 68,35.168652,129.045141,102,0,4,3,0,0,0,,HT001,62.88,56.51,90,2,1,8,계단식,36000,93600,7200,50400,0,0,0,,,,,,,,,,,,,,,
7,남산,63A㎡,부산시 부산진구 부암동,2623010800,320-68,부산시 부산진구 동평로131번길 68,35.168652,129.045141,102,0,4,3,0,0,0,,HT001,63.72,46.44,73,2,1,4,계단식,,,,,,,,,,,,"8,000",,,,,,,,,,
8,남산,64D㎡,부산시 부산진구 부암동,2623010800,320-68,부산시 부산진구 동평로131번길 68,35.168652,129.045141,102,0,4,3,0,0,0,,HT001,64.86,59.01,91,2,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
