,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,금곡주공3단지,57㎡,부산시 북구 금곡동,2632010100,57-1,부산시 북구 효열로220번길 23,35.264438,129.021933,1484,0,15,12,0,0,551,"(주)국제종합토건,(주)한주개발",HT001,57.11,41.85,73,1,1,836,복도식,12690,50760,2538,35532,0,0,0,,104895,105349,"7,500","9,800","7,000","8,000",500/35,"2,000/25",500/35,"2,000/25",,,,
1,금곡주공3단지,58㎡,부산시 북구 금곡동,2632010100,57-1,부산시 북구 효열로220번길 23,35.264438,129.021933,1484,0,15,12,0,0,551,"(주)국제종합토건,(주)한주개발",HT001,58.91,42.66,72,2,1,54,복도식,12690,50760,2538,35532,0,0,0,,106925,107388,"8,700","9,000",,"7,000",,"1,000/40",,"1,000/40",,,,
2,금곡주공3단지,67㎡,부산시 북구 금곡동,2632010100,57-1,부산시 북구 효열로220번길 23,35.264438,129.021933,1484,0,15,12,0,0,551,"(주)국제종합토건,(주)한주개발",HT001,67.92,49.77,73,2,1,240,복도식,16965,67860,3393,47502,0,0,0,,124746,125287,1억 500,"1억 2,500","8,000","9,500","2,000/35","3,000/28","2,000/35","3,000/28",,,,
3,금곡주공3단지,80㎡,부산시 북구 금곡동,2632010100,57-1,부산시 북구 효열로220번길 23,35.264438,129.021933,1484,0,15,12,0,0,551,"(주)국제종합토건,(주)한주개발",HT001,80.74,58.65,73,2,1,174,복도식,19778,79111,3956,55377,0,0,0,,147003,147640,"1억 2,000","1억 4,000","9,000","1억 2,000","2,000/45","3,000/30","2,000/45","3,000/30",,,,
4,금곡주공3단지,82,부산시 북구 금곡동,2632010100,57-1,부산시 북구 효열로220번길 23,35.264438,129.021933,1484,0,15,12,0,0,551,"(주)국제종합토건,(주)한주개발",HT001,82.56,59.97,73,3,1,180,복도식,19778,79111,3956,55377,0,0,0,,150312,150963,"1억 1,200","1억 4,000","1억 1,000","1억 1,500",,,,,,,,
0,금곡주공5단지,57㎡,부산시 북구 금곡동,2632010100,1112-2,부산시 북구 효열로37번길 22,35.250484,129.013494,713,0,20,15,221,16,236,한라건설주식회사,HT001,57.11,41.85,73,2,1,236,계단식,16628,66511,3326,46557,0,0,0,,79256,78475,"9,500","1억 2,500","8,000","9,000","1,000/35","1,000/40","1,000/35","1,000/40",,,,
1,금곡주공5단지,62㎡,부산시 북구 금곡동,2632010100,1112-2,부산시 북구 효열로37번길 22,35.250484,129.013494,713,0,20,15,221,16,236,한라건설주식회사,HT001,62.72,42.75,68,1,1,357,계단식,16155,64620,3231,45234,0,0,0,,80961,80162,1억 500,"1억 3,800","7,000","9,500","1,000/40","2,000/38","1,000/40","2,000/38",,,,
2,금곡주공5단지,67,부산시 북구 금곡동,2632010100,1112-2,부산시 북구 효열로37번길 22,35.250484,129.013494,713,0,20,15,221,16,236,한라건설주식회사,HT001,67.92,49.77,73,2,1,120,계단식,22500,90000,4500,63000,0,0,0,,94255,93326,"1억 3,000","1억 4,000",,,,"1,000/50",,"1,000/50",,,,
0,금곡주공6단지,67A㎡,부산시 북구 금곡동,2632010100,1110,부산시 북구 효열로 40,35.248476,129.015305,504,0,26,16,152,9,202,국제종합토건주식회사,HT001,67.85,48.89,72,2,1,111,복도식,19778,79111,3956,55377,0,0,0,,100693,99861,"1억 1,000","1억 3,200",1억 500,"1억 1,000",,"1,000/40",,"1,000/40",,,,
1,금곡주공6단지,68B㎡,부산시 북구 금곡동,2632010100,1110,부산시 북구 효열로 40,35.248476,129.015305,504,0,26,16,152,9,202,국제종합토건주식회사,HT001,68.11,49.32,72,2,1,141,복도식,19778,79111,3956,55377,0,0,0,,101578,100739,"1억 3,000","1억 7,000",,"1억 1,000",,,,,,,,
2,금곡주공6단지,68D㎡,부산시 북구 금곡동,2632010100,1110,부산시 북구 효열로 40,35.248476,129.015305,504,0,26,16,152,9,202,국제종합토건주식회사,HT001,68.13,49.32,72,2,1,141,복도식,19778,79111,3956,55377,0,0,0,,101578,100739,"1억 1,000","1억 6,500",1억 500,"1억 1,000","1,000/50","5,000/25","1,000/50","5,000/25",,,,
3,금곡주공6단지,68C,부산시 북구 금곡동,2632010100,1110,부산시 북구 효열로 40,35.248476,129.015305,504,0,26,16,152,9,202,국제종합토건주식회사,HT001,68.22,48.89,72,2,1,111,복도식,19778,79111,3956,55377,0,0,0,,100693,99861,"1억 1,500","1억 3,000","9,000","1억 1,000","1,000/45","3,000/30","1,000/45","3,000/30",,,,
0,"금곡주공8,9단지",54㎡,부산시 북구 금곡동,2632010100,810,부산시 북구 효열로 134,35.256981,129.014784,1366,0,20,15,165,13,536,화인건설(주)/(주)해강,HT001,54.15,39.43,73,2,1,267,복도식,,,,,,,,,108141,107629,"7,300","9,200","6,000","7,000",,500/40,,500/40,,,,
1,"금곡주공8,9단지",57㎡,부산시 북구 금곡동,2632010100,810,부산시 북구 효열로 134,35.256981,129.014784,1366,0,20,15,165,13,536,화인건설(주)/(주)해강,HT001,57.63,39.41,68,2,1,476,복도식,,,,,,,,,108086,107575,"8,000","9,500","6,700","7,500",500/35,"1,000/40",500/35,"1,000/40",,,,
2,"금곡주공8,9단지",58㎡,부산시 북구 금곡동,2632010100,810,부산시 북구 효열로 134,35.256981,129.014784,1366,0,20,15,165,13,536,화인건설(주)/(주)해강,HT001,58.9,42.29,72,2,1,413,복도식,,,,,,,,,115984,115436,"7,400","1억 1,000",,"6,300",500/30,"1,000/40",500/30,"1,000/40",,,,
3,"금곡주공8,9단지",68,부산시 북구 금곡동,2632010100,810,부산시 북구 효열로 134,35.256981,129.014784,1366,0,20,15,165,13,536,화인건설(주)/(주)해강,HT001,68.03,48.85,72,2,1,210,복도식,,,,,,,,,133976,133342,1억,"1억 3,000","8,000",1억,"3,300/30","3,300/32","3,300/30","3,300/32",,,,
0,금곡화목타운,81㎡,부산시 북구 금곡동,2632010100,97-10,부산시 북구 효열로220번길 22,35.262437,129.019743,576,0,18,18,205,18,436,주식회사화목주택,HT001,81.84,63.12,77,2,1,1,계단식,23175,92700,4635,64890,0,0,0,,119290,120139,,,,,,,,,,,,
1,금곡화목타운,86,부산시 북구 금곡동,2632010100,97-10,부산시 북구 효열로220번길 22,35.262437,129.019743,576,0,18,18,205,18,436,주식회사화목주택,HT001,86.84,68.12,78,3,1,575,계단식,23850,95400,4770,66780,0,0,0,,128739,129656,"1억 3,000","1억 7,500",,,,,,,,,,
0,대성하이츠빌,84㎡,부산시 북구 금곡동,2632010100,64-4,부산시 북구 효열로203번길 6,35.262847,129.018253,18,0,8,8,223,32,18,거승종합건설주식회사,HT001,84.95,69.29,82,3,2,1,계단식,16425,65700,3285,45990,0,0,0,,,,,,,,,,,,,,,
1,대성하이츠빌,92㎡,부산시 북구 금곡동,2632010100,64-4,부산시 북구 효열로203번길 6,35.262847,129.018253,18,0,8,8,223,32,18,거승종합건설주식회사,HT001,92.44,75.4,82,3,2,1,계단식,18135,72540,3627,50778,0,0,0,,,,,,,,,,,,,,,
