,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,e편한세상금정산,80A㎡,부산시 북구 만덕동,2632010300,962,부산시 북구 상학로 36,35.216994,129.038437,1969,730,28,26,297,18,2079,"대림산업(주),경동건설(주)",HT001,80.44,59.96,75,3,2,53,계단식,,,,,,,,,,,"3억 8,000",4억,"2억 3,000","2억 4,000","5,000/70",1억/60,"5,000/70",1억/60,,,,
1,e편한세상금정산,81B㎡,부산시 북구 만덕동,2632010300,962,부산시 북구 상학로 36,35.216994,129.038437,1969,730,28,26,297,18,2079,"대림산업(주),경동건설(주)",HT001,81.65,59.91,73,3,2,81,계단식,,,,,,,,,,,,"3억 8,000",,,,"5,000/70",,"5,000/70",,,,
2,e편한세상금정산,99㎡,부산시 북구 만덕동,2632010300,962,부산시 북구 상학로 36,35.216994,129.038437,1969,730,28,26,297,18,2079,"대림산업(주),경동건설(주)",HT001,99.87,74.92,75,3,2,52,계단식,,,,,,,,,,,"4억 5,000","4억 6,000","2억 6,000","2억 7,500",,1억/60,,1억/60,,,,
3,e편한세상금정산,113A㎡,부산시 북구 만덕동,2632010300,962,부산시 북구 상학로 36,35.216994,129.038437,1969,730,28,26,297,18,2079,"대림산업(주),경동건설(주)",HT001,113.03,84.93,75,3,2,780,계단식,,,,,,,,,,,"4억 2,500","5억 5,000","2억 5,000",3억,"5,000/90","7,000/80","5,000/90","7,000/80",,,,
4,e편한세상금정산,114B,부산시 북구 만덕동,2632010300,962,부산시 북구 상학로 36,35.216994,129.038437,1969,730,28,26,297,18,2079,"대림산업(주),경동건설(주)",HT001,114.68,84.91,74,3,2,273,계단식,,,,,,,,,,,"3억 9,500",5억,"2억 3,000",3억,"3,000/110","5,000/100","3,000/110","5,000/100",,,,
0,그린코아,91㎡,부산시 북구 만덕동,2632010300,216-7,부산시 북구 덕천로234번길 47,35.207402,129.030113,1468,0,15,14,0,0,1469,한신공영(주),HT001,91.6,75.57,83,3,1,240,계단식,,,,,,,,,95223,88911,"1억 8,000","2억 2,000","1억 2,000","1억 4,000","2,000/50","5,000/30","2,000/50","5,000/30",,,,
1,그린코아,101A㎡,부산시 북구 만덕동,2632010300,216-7,부산시 북구 덕천로234번길 47,35.207402,129.030113,1468,0,15,14,0,0,1469,한신공영(주),HT001,101.41,84.69,84,3,2,630,계단식,,,,,,,,,106714,99641,2억,"2억 6,500","1억 3,000","1억 6,000","2,000/65","5,000/45","2,000/65","5,000/45",,,,
2,그린코아,101B㎡,부산시 북구 만덕동,2632010300,216-7,부산시 북구 덕천로234번길 47,35.207402,129.030113,1468,0,15,14,0,0,1469,한신공영(주),HT001,101.64,84.9,84,-,-,88,계단식,,,,,,,,,106979,99888,2억,"2억 3,000",,,,,,,,,,
3,그린코아,124㎡,부산시 북구 만덕동,2632010300,216-7,부산시 북구 덕천로234번길 47,35.207402,129.030113,1468,0,15,14,0,0,1469,한신공영(주),HT001,124.53,106.2,85,4,2,90,계단식,,,,,,,,,133818,124949,"2억 3,000","3억 3,500",,"1억 5,000",,"2,000/65",,"2,000/65",,,,
4,그린코아,135㎡,부산시 북구 만덕동,2632010300,216-7,부산시 북구 덕천로234번길 47,35.207402,129.030113,1468,0,15,14,0,0,1469,한신공영(주),HT001,135.67,116.06,86,4,2,90,계단식,,,,,,,,,146242,136549,"2억 9,000",3억,,"1억 6,000",,,,,,,,
5,그린코아,139㎡,부산시 북구 만덕동,2632010300,216-7,부산시 북구 덕천로234번길 47,35.207402,129.030113,1468,0,15,14,0,0,1469,한신공영(주),HT001,139.44,119.69,86,4,2,90,계단식,,,,,,,,,150816,140820,"2억 7,000","2억 8,000",,,,,,,,,,
6,그린코아,156㎡,부산시 북구 만덕동,2632010300,216-7,부산시 북구 덕천로234번길 47,35.207402,129.030113,1468,0,15,14,0,0,1469,한신공영(주),HT001,156.73,134.99,86,4,2,180,계단식,,,,,,,,,170095,158821,"2억 7,500","3억 5,000","1억 8,000",2억,,"2,000/70",,"2,000/70",,,,
7,그린코아,170,부산시 북구 만덕동,2632010300,216-7,부산시 북구 덕천로234번길 47,35.207402,129.030113,1468,0,15,14,0,0,1469,한신공영(주),HT001,170.18,148.26,87,5,2,60,계단식,,,,,,,,,186816,174434,"4억 2,000","4억 7,000",,,,,,,,,,
0,금정산드림타워(주상복합),60A㎡,부산시 북구 만덕동,2632010300,830-32,부산시 북구 만덕1로 3,35.213666,129.036395,8,0,9,9,478,58,8,(주)계담종합건설,HT001,60.45,48.45,80,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,금정산드림타워(주상복합),60B,부산시 북구 만덕동,2632010300,830-32,부산시 북구 만덕1로 3,35.213666,129.036395,8,0,9,9,478,58,8,(주)계담종합건설,HT001,60.7,48.64,80,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,금정산센트럴포레,81A㎡,부산시 북구 만덕동,2632010300,830-49,부산시 북구 만덕1로 25-9,35.213637,129.035618,216,0,27,27,278,15,220,(주)삼호,HT001,81.2,59.92,74,3,2,54,계단식,64950,210870,12990,132930,0,0,0,,160484,162188,"3억 1,000","3억 9,500","2억 5,000","2억 6,000",,,,,,,,
1,금정산센트럴포레,81B㎡,부산시 북구 만덕동,2632010300,830-49,부산시 북구 만덕1로 25-9,35.213637,129.035618,216,0,27,27,278,15,220,(주)삼호,HT001,81.27,59.97,74,3,2,54,계단식,64950,210870,12990,132930,0,0,0,,160618,162323,"3억 3,000","3억 5,000",,,,,,,,,,
2,금정산센트럴포레,115,부산시 북구 만덕동,2632010300,830-49,부산시 북구 만덕1로 25-9,35.213637,129.035618,216,0,27,27,278,15,220,(주)삼호,HT001,115.02,84.88,74,3,2,108,계단식,96450,292770,19290,177030,0,0,0,,227335,229748,"4억 2,500",5억,,,,,,,,,,
0,대성타워맨션,104㎡,부산시 북구 만덕동,2632010300,927-1,부산시 북구 덕천로259번길 30,35.211878,129.034728,816,0,21,19,0,0,1000,대성건설,HT001,104.83,84.92,81,3,2,614,계단식,51900,176940,10380,114660,0,0,0,,127170,127290,"2억 2,500","3억 2,000","1억 5,000","1억 8,500","3,000/70","9,000/30","3,000/70","9,000/30",,,,
1,대성타워맨션,154A㎡,부산시 북구 만덕동,2632010300,927-1,부산시 북구 덕천로259번길 30,35.211878,129.034728,816,0,21,19,0,0,1000,대성건설,HT001,154.12,132.18,86,4,2,126,계단식,78450,245970,15690,151830,0,0,0,,197943,198130,"4억 2,000","5억 6,000",,3억,,,,,,,,
2,대성타워맨션,156B,부산시 북구 만덕동,2632010300,927-1,부산시 북구 덕천로259번길 30,35.211878,129.034728,816,0,21,19,0,0,1000,대성건설,HT001,156.42,134.14,86,4,2,76,계단식,78450,245970,15690,151830,0,0,0,,200879,201068,"3억 8,000","4억 5,000",2억,3억,,"1억 5,000/50",,"1억 5,000/50",,,,
0,더래디언트금정산,84C㎡,부산시 북구 만덕동,2632010300,960,부산시 북구 상학로 35,35.215393,129.035689,1677,0,29,23,260,16,1770,우미건설(주) 외2,HT001,84.96,59.81,70,3,2,78,계단식,90150,276390,18030,168210,0,0,0,,122331,126342,"3억 2,000","3억 8,000",2억,"2억 1,000",,,,,,,,
1,더래디언트금정산,85A㎡,부산시 북구 만덕동,2632010300,960,부산시 북구 상학로 35,35.215393,129.035689,1677,0,29,23,260,16,1770,우미건설(주) 외2,HT001,85.2,59.98,70,3,2,565,계단식,95100,289260,19020,175140,0,0,0,,122679,126701,"3억 1,000",4억 500,2억,"2억 2,000","3,500/70",1억/50,"3,500/70",1억/50,,,,
2,더래디언트금정산,85B㎡,부산시 북구 만덕동,2632010300,960,부산시 북구 상학로 35,35.215393,129.035689,1677,0,29,23,260,16,1770,우미건설(주) 외2,HT001,85.21,59.99,70,3,2,86,계단식,92850,283410,18570,171990,0,0,0,,122699,126722,"3억 1,000","3억 9,900",,"2억 1,000","7,000/45","7,000/65","7,000/45","7,000/65",,,,
3,더래디언트금정산,101A㎡,부산시 북구 만덕동,2632010300,960,부산시 북구 상학로 35,35.215393,129.035689,1677,0,29,23,260,16,1770,우미건설(주) 외2,HT001,101.38,74.85,74,3,2,338,계단식,107250,320850,21450,192150,0,0,0,,153093,158112,"3억 7,000","5억 3,000",,"2억 3,000","8,000/60","1억 7,000/30","8,000/60","1억 7,000/30",,,,
4,더래디언트금정산,101B㎡,부산시 북구 만덕동,2632010300,960,부산시 북구 상학로 35,35.215393,129.035689,1677,0,29,23,260,16,1770,우미건설(주) 외2,HT001,101.56,74.98,74,3,2,29,계단식,105450,316170,21090,189630,0,0,0,,153359,158387,"3억 8,000","4억 1,000",,,,,,,,,,
5,더래디언트금정산,105C㎡,부산시 북구 만덕동,2632010300,960,부산시 북구 상학로 35,35.215393,129.035689,1677,0,29,23,260,16,1770,우미건설(주) 외2,HT001,105.94,74.81,71,3,2,15,계단식,98250,297450,19650,179550,0,0,0,,153011,158027,,"3억 7,000",,"2억 5,000",,,,,,,,
6,더래디언트금정산,105E㎡,부산시 북구 만덕동,2632010300,960,부산시 북구 상학로 35,35.215393,129.035689,1677,0,29,23,260,16,1770,우미건설(주) 외2,HT001,105.36,74.4,71,3,2,2,계단식,96450,292770,19290,177030,0,0,0,,152172,157161,,,,,,,,,,,,
7,더래디언트금정산,106D㎡,부산시 북구 만덕동,2632010300,960,부산시 북구 상학로 35,35.215393,129.035689,1677,0,29,23,260,16,1770,우미건설(주) 외2,HT001,106.14,74.95,71,3,2,1,계단식,96450,292770,19290,177030,0,0,0,,153297,158323,,,,,,,,,,,,
8,더래디언트금정산,110A㎡,부산시 북구 만덕동,2632010300,960,부산시 북구 상학로 35,35.215393,129.035689,1677,0,29,23,260,16,1770,우미건설(주) 외2,HT001,110.76,84.95,77,3,2,515,계단식,138600,389340,27720,223020,0,0,0,,173750,179447,"4억 2,000","6억 2,000","2억 5,000","2억 8,000","5,000/80",2억/35,"5,000/80",2억/35,,,,
9,더래디언트금정산,110B㎡,부산시 북구 만덕동,2632010300,960,부산시 북구 상학로 35,35.215393,129.035689,1677,0,29,23,260,16,1770,우미건설(주) 외2,HT001,110.59,84.82,77,3,2,28,계단식,131400,375660,26280,217980,0,0,0,,173484,179172,,,,,,2억/35,,2억/35,,,,
