,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,금잔디,54B㎡,부산시 사상구 덕포동,2653010300,213-1,부산시 사상구 사상로310번길 80-11,35.170644,128.985586,85,0,5,5,0,0,0,,HT001,54.79,54.45,99,2,1,28,계단식,28350,113400,5670,79380,0,0,0,,,,"1억 5,000","1억 9,000",,,,,,,,,,
1,금잔디,54A㎡,부산시 사상구 덕포동,2653010300,213-1,부산시 사상구 사상로310번길 80-11,35.170644,128.985586,85,0,5,5,0,0,0,,HT001,54.7,54.36,99,2,1,20,계단식,28350,113400,5670,79380,0,0,0,,,,,2억,,,,,,,,,,
2,금잔디,55D㎡,부산시 사상구 덕포동,2653010300,213-1,부산시 사상구 사상로310번길 80-11,35.170644,128.985586,85,0,5,5,0,0,0,,HT001,55.16,54.82,99,2,1,7,계단식,25875,103500,5175,72450,0,0,0,,,,,,,,,,,,,,,
3,금잔디,55C㎡,부산시 사상구 덕포동,2653010300,213-1,부산시 사상구 사상로310번길 80-11,35.170644,128.985586,85,0,5,5,0,0,0,,HT001,55.07,54.73,99,2,1,5,계단식,25875,103500,5175,72450,0,0,0,,,,,,,,,,,,,,,
4,금잔디,60A㎡,부산시 사상구 덕포동,2653010300,213-1,부산시 사상구 사상로310번길 80-11,35.170644,128.985586,85,0,5,5,0,0,0,,HT001,60.1,59.76,99,2,1,12,계단식,31200,123120,6240,85680,0,0,0,,,,,,,,,,,,,,,
5,금잔디,60C㎡,부산시 사상구 덕포동,2653010300,213-1,부산시 사상구 사상로310번길 80-11,35.170644,128.985586,85,0,5,5,0,0,0,,HT001,60.19,59.85,99,2,1,4,계단식,31200,123120,6240,85680,0,0,0,,,,,,,,,,,,,,,
6,금잔디,60B㎡,부산시 사상구 덕포동,2653010300,213-1,부산시 사상구 사상로310번길 80-11,35.170644,128.985586,85,0,5,5,0,0,0,,HT001,60.47,60.13,99,3,1,3,계단식,27900,111600,5580,78120,0,0,0,,,,,,,,,,,,,,,
7,금잔디,60D㎡,부산시 사상구 덕포동,2653010300,213-1,부산시 사상구 사상로310번길 80-11,35.170644,128.985586,85,0,5,5,0,0,0,,HT001,60.56,60.22,99,2,1,1,계단식,27900,111600,5580,78120,0,0,0,,,,,,,,,,,,,,,
8,금잔디,66A㎡,부산시 사상구 덕포동,2653010300,213-1,부산시 사상구 사상로310번길 80-11,35.170644,128.985586,85,0,5,5,0,0,0,,HT001,66.67,66.33,99,3,1,4,계단식,37050,138330,7410,93870,0,0,0,,,,,,,,,,,,,,,
9,금잔디,67B,부산시 사상구 덕포동,2653010300,213-1,부산시 사상구 사상로310번길 80-11,35.170644,128.985586,85,0,5,5,0,0,0,,HT001,67.05,66.71,99,3,1,1,계단식,31200,123120,6240,85680,0,0,0,,,,,,,,,,,,,,,
