,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,대상로웰(도시형),69㎡,부산시 사상구 모라동,2653010200,986-3,부산시 사상구 사상로 504,35.189227,128.98868,88,0,17,14,599,51,62,대상종합건설(주),HT001,69.13,47.32,68,2,1,12,계단식,,,,,,,,,,,"1억 7,000","1억 8,500",,"1억 5,500","3,000/65","9,500/30","3,000/65","9,500/30",,,,
1,대상로웰(도시형),70B㎡,부산시 사상구 모라동,2653010200,986-3,부산시 사상구 사상로 504,35.189227,128.98868,88,0,17,14,599,51,62,대상종합건설(주),HT001,70.45,48.99,70,2,1,16,계단식,,,,,,,,,,,,"1억 7,800",,"1억 5,000",,,,,,,,
2,대상로웰(도시형),70C㎡,부산시 사상구 모라동,2653010200,986-3,부산시 사상구 사상로 504,35.189227,128.98868,88,0,17,14,599,51,62,대상종합건설(주),HT001,70.24,48.37,69,2,1,16,계단식,,,,,,,,,,,,,,,,,,,,,,
3,대상로웰(도시형),70E㎡,부산시 사상구 모라동,2653010200,986-3,부산시 사상구 사상로 504,35.189227,128.98868,88,0,17,14,599,51,62,대상종합건설(주),HT001,70.66,49.63,70,2,1,16,계단식,,,,,,,,,,,,,,,,,,,,,,
4,대상로웰(도시형),70A㎡,부산시 사상구 모라동,2653010200,986-3,부산시 사상구 사상로 504,35.189227,128.98868,88,0,17,14,599,51,62,대상종합건설(주),HT001,70.23,48.34,69,2,1,15,계단식,,,,,,,,,,,,,,"1억 4,000",,"2,500/60",,"2,500/60",,,,
5,대상로웰(도시형),70D,부산시 사상구 모라동,2653010200,986-3,부산시 사상구 사상로 504,35.189227,128.98868,88,0,17,14,599,51,62,대상종합건설(주),HT001,70.24,48.37,69,2,1,13,계단식,,,,,,,,,,,,,,,,,,,,,,
0,동원,72㎡,부산시 사상구 모라동,2653010200,1361,부산시 사상구 백양대로 879,35.184852,128.989809,1110,0,15,15,0,0,1098,(주)동원산업개발,HT001,72.93,59.7,82,3,1,300,계단식,,,,,,,,,97666,98091,"1억 7,800",2억,,,,,,,,,,
1,동원,82㎡,부산시 사상구 모라동,2653010200,1361,부산시 사상구 백양대로 879,35.184852,128.989809,1110,0,15,15,0,0,1098,(주)동원산업개발,HT001,82.35,67.45,82,3,1,330,계단식,,,,,,,,,110344,110824,"1억 9,000","2억 3,000",,"1억 5,000",,"5,000/35",,"5,000/35",,,,
2,동원,91B㎡,부산시 사상구 모라동,2653010200,1361,부산시 사상구 백양대로 879,35.184852,128.989809,1110,0,15,15,0,0,1098,(주)동원산업개발,HT001,91.85,76.87,84,3,2,150,계단식,,,,,,,,,125755,126302,"2억 6,500",3억,,,,,,,,,,
3,동원,91A㎡,부산시 사상구 모라동,2653010200,1361,부산시 사상구 백양대로 879,35.184852,128.989809,1110,0,15,15,0,0,1098,(주)동원산업개발,HT001,91.88,76.33,83,3,2,60,계단식,,,,,,,,,124871,125415,,,,,,,,,,,,
