,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,e편한세상사하,85A㎡,부산시 사하구 구평동,2638010700,517,부산시 사하구 서포로30번길 26,35.079736,128.986793,1068,0,29,13,247,15,1078,대림산업주식회사,HT001,85.13,59.92,70,3,2,214,계단식,50550,173430,10110,112770,0,0,0,,136678,156076,"2억 4,000","2억 9,000","1억 9,000","2억 2,000","2,000/70",1억/35,"2,000/70",1억/35,,,,
1,e편한세상사하,85B㎡,부산시 사하구 구평동,2638010700,517,부산시 사하구 서포로30번길 26,35.079736,128.986793,1068,0,29,13,247,15,1078,대림산업주식회사,HT001,85.55,59.71,70,3,2,128,계단식,49200,169920,9840,110880,0,0,0,,136200,155530,"2억 4,000","2억 9,000","1억 8,000","1억 9,000",,,,,,,,
2,e편한세상사하,98A㎡,부산시 사하구 구평동,2638010700,517,부산시 사하구 서포로30번길 26,35.079736,128.986793,1068,0,29,13,247,15,1078,대림산업주식회사,HT001,98.8,72.96,74,3,2,160,계단식,67650,217890,13530,136710,0,0,0,,166410,190028,"2억 9,000","3억 7,000",2억,"2억 2,000","2,000/70","3,000/80","2,000/70","3,000/80",,,,
3,e편한세상사하,98B㎡,부산시 사하구 구평동,2638010700,517,부산시 사하구 서포로30번길 26,35.079736,128.986793,1068,0,29,13,247,15,1078,대림산업주식회사,HT001,98.86,72.97,74,3,2,22,계단식,63150,206190,12630,130410,0,0,0,,166430,190050,3억,"3억 5,500",,,,,,,,,,
4,e편한세상사하,111A㎡,부산시 사하구 구평동,2638010700,517,부산시 사하구 서포로30번길 26,35.079736,128.986793,1068,0,29,13,247,15,1078,대림산업주식회사,HT001,111.76,84.99,76,3,2,270,계단식,84300,261180,16860,160020,0,0,0,,193848,221360,"3억 6,000","5억 3,000",2억,"2억 7,000",,,,,,,,
5,e편한세상사하,111B㎡,부산시 사하구 구평동,2638010700,517,부산시 사하구 서포로30번길 26,35.079736,128.986793,1068,0,29,13,247,15,1078,대림산업주식회사,HT001,111.7,84.14,75,3,2,213,계단식,79350,248310,15870,153090,0,0,0,,191901,219137,"3억 3,000","4억 6,500",2억,"2억 6,000","2,000/85","4,000/80","2,000/85","4,000/80",,,,
6,e편한세상사하,112C㎡,부산시 사하구 구평동,2638010700,517,부산시 사하구 서포로30번길 26,35.079736,128.986793,1068,0,29,13,247,15,1078,대림산업주식회사,HT001,112.09,84.88,76,3,2,29,계단식,74850,236610,14970,146790,0,0,0,,193606,221083,"3억 6,000","4억 1,000","2억 2,000","2억 5,000",,"4,000/65",,"4,000/65",,,,
7,e편한세상사하,112D㎡,부산시 사하구 구평동,2638010700,517,부산시 사하구 서포로30번길 26,35.079736,128.986793,1068,0,29,13,247,15,1078,대림산업주식회사,HT001,112.19,84.86,76,3,2,29,계단식,,,,,,,,,193554,221024,"3억 2,500",4억,,,,,,,,,,
8,e편한세상사하,113F㎡,부산시 사하구 구평동,2638010700,517,부산시 사하구 서포로30번길 26,35.079736,128.986793,1068,0,29,13,247,15,1078,대림산업주식회사,HT001,113.67,84.97,75,3,2,2,계단식,96450,292770,19290,177030,0,0,0,,193800,221305,,,,,,,,,,,,
9,e편한세상사하,114E,부산시 사하구 구평동,2638010700,517,부산시 사하구 서포로30번길 26,35.079736,128.986793,1068,0,29,13,247,15,1078,대림산업주식회사,HT001,114.8,84.85,74,3,2,1,계단식,96450,292770,19290,177030,0,0,0,,193539,221007,,,,,,,,,,,,
0,e편한세상사하2차,85A㎡,부산시 사하구 구평동,2638010700,518,부산시 사하구 서포로30번길 12,35.081545,128.98503,946,0,29,26,250,17,1013,대림산업(주),HT001,85.18,59.94,70,3,2,168,계단식,63150,206190,12630,130410,0,0,0,,151784,168379,"2억 7,500","3억 3,000",,"2억 2,000",,,,,,,,
1,e편한세상사하2차,85C㎡,부산시 사하구 구평동,2638010700,518,부산시 사하구 서포로30번길 12,35.081545,128.98503,946,0,29,26,250,17,1013,대림산업(주),HT001,85.46,59.98,70,3,2,85,계단식,62700,205020,12540,129780,0,0,0,,151879,168485,"2억 8,000","3억 2,000",,"2억 3,000",,"2,000/70",,"2,000/70",,,,
2,e편한세상사하2차,85B㎡,부산시 사하구 구평동,2638010700,518,부산시 사하구 서포로30번길 12,35.081545,128.98503,946,0,29,26,250,17,1013,대림산업(주),HT001,85.6,59.99,70,3,2,82,계단식,62700,205020,12540,129780,0,0,0,,151909,168517,"2억 9,000","3억 3,000",,,,"2,000/70",,"2,000/70",,,,
3,e편한세상사하2차,100A㎡,부산시 사하구 구평동,2638010700,518,부산시 사하구 서포로30번길 12,35.081545,128.98503,946,0,29,26,250,17,1013,대림산업(주),HT001,100.52,74.95,75,3,2,50,계단식,72150,229590,14430,143010,0,0,0,,189777,210526,"3억 2,000",4억,,,,,,,,,,
4,e편한세상사하2차,100B㎡,부산시 사하구 구평동,2638010700,518,부산시 사하구 서포로30번길 12,35.081545,128.98503,946,0,29,26,250,17,1013,대림산업(주),HT001,100.62,74.97,75,3,2,25,계단식,72150,229590,14430,143010,0,0,0,,189847,210604,"3억 2,000","3억 9,000",,"2억 3,000",,"3,000/85",,"3,000/85",,,,
5,e편한세상사하2차,111B㎡,부산시 사하구 구평동,2638010700,518,부산시 사하구 서포로30번길 12,35.081545,128.98503,946,0,29,26,250,17,1013,대림산업(주),HT001,111.72,84.6,76,3,2,225,계단식,92400,282240,18480,171360,0,0,0,,214217,237638,"3억 6,800","4억 5,000","2억 4,000",3억,"2,000/75","2,000/80","2,000/75","2,000/80",,,,
6,e편한세상사하2차,112A㎡,부산시 사하구 구평동,2638010700,518,부산시 사하구 서포로30번길 12,35.081545,128.98503,946,0,29,26,250,17,1013,대림산업(주),HT001,112,84.95,76,3,2,309,계단식,93750,285750,18750,173250,0,0,0,,215109,238627,"3억 7,000",5억,"2억 2,000",3억,,"3,000/90",,"3,000/90",,,,
7,e편한세상사하2차,114C,부산시 사하구 구평동,2638010700,518,부산시 사하구 서포로30번길 12,35.081545,128.98503,946,0,29,26,250,17,1013,대림산업(주),HT001,114.2,84.99,74,4,2,2,계단식,100050,302130,20010,182070,0,0,0,,215209,238738,,6억,,"3억 3,000",,,,,,,,
0,구평,38A㎡,부산시 사하구 구평동,2638010700,293-7,부산시 사하구 감천항로190번안길 9,35.076708,128.989107,23,0,5,3,174,65,0,,HT001,38.94,32.79,84,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,구평,39D㎡,부산시 사하구 구평동,2638010700,293-7,부산시 사하구 감천항로190번안길 9,35.076708,128.989107,23,0,5,3,174,65,0,,HT001,39.04,33.32,85,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
2,구평,39B㎡,부산시 사하구 구평동,2638010700,293-7,부산시 사하구 감천항로190번안길 9,35.076708,128.989107,23,0,5,3,174,65,0,,HT001,39.01,32.86,84,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
3,구평,39C㎡,부산시 사하구 구평동,2638010700,293-7,부산시 사하구 감천항로190번안길 9,35.076708,128.989107,23,0,5,3,174,65,0,,HT001,39.04,32.89,84,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,구평,39H㎡,부산시 사하구 구평동,2638010700,293-7,부산시 사하구 감천항로190번안길 9,35.076708,128.989107,23,0,5,3,174,65,0,,HT001,39.85,35.33,89,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
5,구평,40G㎡,부산시 사하구 구평동,2638010700,293-7,부산시 사하구 감천항로190번안길 9,35.076708,128.989107,23,0,5,3,174,65,0,,HT001,40.93,34.78,85,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
6,구평,40E㎡,부산시 사하구 구평동,2638010700,293-7,부산시 사하구 감천항로190번안길 9,35.076708,128.989107,23,0,5,3,174,65,0,,HT001,40.69,34.51,85,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
7,구평,40F㎡,부산시 사하구 구평동,2638010700,293-7,부산시 사하구 감천항로190번안길 9,35.076708,128.989107,23,0,5,3,174,65,0,,HT001,40.73,34.78,85,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
8,구평,40I㎡,부산시 사하구 구평동,2638010700,293-7,부산시 사하구 감천항로190번안길 9,35.076708,128.989107,23,0,5,3,174,65,0,,HT001,40.7,36.17,89,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
9,구평,45㎡,부산시 사하구 구평동,2638010700,293-7,부산시 사하구 감천항로190번안길 9,35.076708,128.989107,23,0,5,3,174,65,0,,HT001,45.39,39.21,86,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
10,구평,49,부산시 사하구 구평동,2638010700,293-7,부산시 사하구 감천항로190번안길 9,35.076708,128.989107,23,0,5,3,174,65,0,,HT001,49.22,32.76,67,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,구평자유1차,65㎡,부산시 사하구 구평동,2638010700,17,부산시 사하구 을숙도대로709번길 31,35.088095,128.985414,584,0,20,10,206,18,590,자유건설(주),HT001,65.39,49.98,76,2,1,72,복도식,12893,51571,2579,36099,0,0,0,,124366,121548,"9,500","1억 1,000",,,,"2,000/25",,"2,000/25",,,,
1,구평자유1차,78㎡,부산시 사하구 구평동,2638010700,17,부산시 사하구 을숙도대로709번길 31,35.088095,128.985414,584,0,20,10,206,18,590,자유건설(주),HT001,78.47,59.97,76,3,2,209,계단식,16808,67231,3362,47061,0,0,0,,149224,145843,"1억 2,000","1억 5,000",,1억,,,,,,,,
2,구평자유1차,110,부산시 사하구 구평동,2638010700,17,부산시 사하구 을숙도대로709번길 31,35.088095,128.985414,584,0,20,10,206,18,590,자유건설(주),HT001,110.69,84.6,76,3,2,303,계단식,21443,85771,4289,60039,0,0,0,,210511,205742,"1억 4,500","1억 8,000",,"1억 3,000",,,,,,,,
0,부산구평한신휴플러스,84A㎡,부산시 사하구 구평동,2638010700,497,부산시 사하구 을숙도대로709번길 22,35.086955,128.984852,419,0,22,8,239,32,425,한신공영(주),HT001,84.54,59.76,71,3,2,154,계단식,,,,,,,,,154664,167245,"1억 5,500","1억 8,500",,"1억 3,000","2,000/60","4,000/50","2,000/60","4,000/50",,,,
1,부산구평한신휴플러스,84B㎡,부산시 사하구 구평동,2638010700,497,부산시 사하구 을숙도대로709번길 22,35.086955,128.984852,419,0,22,8,239,32,425,한신공영(주),HT001,84.54,59.76,71,3,2,83,계단식,,,,,,,,,154664,167245,"1억 6,500","1억 8,500","1억 3,000","1억 5,000",,"2,000/60",,"2,000/60",,,,
2,부산구평한신휴플러스,84C㎡,부산시 사하구 구평동,2638010700,497,부산시 사하구 을숙도대로709번길 22,35.086955,128.984852,419,0,22,8,239,32,425,한신공영(주),HT001,84.54,59.76,71,3,2,23,계단식,,,,,,,,,154664,167245,"1억 8,000","1억 9,000",,"1억 6,000",,,,,,,,
