,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,광남하이츠빌,53㎡,부산시 사하구 다대동,2638010600,1201,부산시 사하구 다대로530번길 6,35.059392,128.972201,37,0,10,9,240,28,29,덕인종합건설(주),HT001,53.77,47.23,88,2,1,1,계단식,13793,55171,2759,38619,0,0,0,,,,,,,,,,,,,,,
1,광남하이츠빌,78A㎡,부산시 사하구 다대동,2638010600,1201,부산시 사하구 다대로530번길 6,35.059392,128.972201,37,0,10,9,240,28,29,덕인종합건설(주),HT001,78.68,68.84,87,3,2,2,계단식,20070,80280,4014,56196,0,0,0,,,,,,,,,,,,,,,
2,광남하이츠빌,79B㎡,부산시 사하구 다대동,2638010600,1201,부산시 사하구 다대로530번길 6,35.059392,128.972201,37,0,10,9,240,28,29,덕인종합건설(주),HT001,79.2,69.56,88,3,2,1,계단식,20273,81091,4055,56763,0,0,0,,,,,,,,,,,,,,,
3,광남하이츠빌,83㎡,부산시 사하구 다대동,2638010600,1201,부산시 사하구 다대로530번길 6,35.059392,128.972201,37,0,10,9,240,28,29,덕인종합건설(주),HT001,83.47,73.31,88,3,2,1,계단식,21578,86311,4316,60417,0,0,0,,,,,,,,,,,,,,,
4,광남하이츠빌,86㎡,부산시 사하구 다대동,2638010600,1201,부산시 사하구 다대로530번길 6,35.059392,128.972201,37,0,10,9,240,28,29,덕인종합건설(주),HT001,86.58,76.04,88,3,2,1,계단식,22500,90000,4500,63000,0,0,0,,,,,,,,,,,,,,,
5,광남하이츠빌,94A㎡,부산시 사하구 다대동,2638010600,1201,부산시 사하구 다대로530번길 6,35.059392,128.972201,37,0,10,9,240,28,29,덕인종합건설(주),HT001,94.64,82.82,88,3,2,2,계단식,26550,106200,5310,74340,0,0,0,,,,,,,,,,,,,,,
6,광남하이츠빌,94C㎡,부산시 사하구 다대동,2638010600,1201,부산시 사하구 다대로530번길 6,35.059392,128.972201,37,0,10,9,240,28,29,덕인종합건설(주),HT001,94.3,82.82,88,3,2,1,계단식,27450,109800,5490,76860,0,0,0,,,,,,,,,,,,,,,
7,광남하이츠빌,96D㎡,부산시 사하구 다대동,2638010600,1201,부산시 사하구 다대로530번길 6,35.059392,128.972201,37,0,10,9,240,28,29,덕인종합건설(주),HT001,96.68,84.92,88,3,2,14,계단식,27450,109800,5490,76860,0,0,0,,,,,,,,,,,,,,,
8,광남하이츠빌,97B,부산시 사하구 다대동,2638010600,1201,부산시 사하구 다대로530번길 6,35.059392,128.972201,37,0,10,9,240,28,29,덕인종합건설(주),HT001,97.04,84.92,88,3,2,14,계단식,27450,109800,5490,76860,0,0,0,,,,,,,,,,,,,,,
0,국제그린,63,부산시 사하구 다대동,2638010600,94-2,부산시 사하구 다대로381번길 75,35.066274,128.98411,996,0,25,22,185,16,230,주식회사 국제종합건설,HT001,63.17,45.5,72,2,1,996,복도식,12825,51300,2565,35910,0,0,0,,123416,119537,"7,400",1억,,"7,000",500/38,"1,000/40",500/38,"1,000/40",,,,
