,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,그리심힐,67㎡,부산시 사하구 신평동,2638010400,19-13,부산시 사하구 다대로 89,35.094499,128.978025,27,0,12,9,199,27,27,"주식회사하이센스건설,(주)담덕종합건설",HT001,67.54,50.52,75,2,1,11,계단식,,,,,,,,,,,,,,,,,,,,,,
1,그리심힐,76㎡,부산시 사하구 신평동,2638010400,19-13,부산시 사하구 다대로 89,35.094499,128.978025,27,0,12,9,199,27,27,"주식회사하이센스건설,(주)담덕종합건설",HT001,76.47,59.36,78,3,1,8,계단식,,,,,,,,,,,,"1억 9,000",,,,,,,,,,
2,그리심힐,89,부산시 사하구 신평동,2638010400,19-13,부산시 사하구 다대로 89,35.094499,128.978025,27,0,12,9,199,27,27,"주식회사하이센스건설,(주)담덕종합건설",HT001,89.93,67.69,75,3,2,8,계단식,,,,,,,,,,,2억,"2억 3,000",,,,,,,,,,
0,그린파크,71A㎡,부산시 사하구 신평동,2638010400,166-4,부산시 사하구 장평로301번길 15,35.093801,128.972995,49,0,5,5,0,0,0,,HT001,71.91,65.43,91,2,1,5,계단식,12983,51931,2597,36351,0,0,0,,,,,,,,,,,,,,,
1,그린파크,72B㎡,부산시 사하구 신평동,2638010400,166-4,부산시 사하구 장평로301번길 15,35.093801,128.972995,49,0,5,5,0,0,0,,HT001,72.63,66.15,91,2,1,4,계단식,14085,56340,2817,39438,0,0,0,,,,,,,,,,,,,,,
2,그린파크,73C㎡,부산시 사하구 신평동,2638010400,166-4,부산시 사하구 장평로301번길 15,35.093801,128.972995,49,0,5,5,0,0,0,,HT001,73.08,66.6,91,2,1,5,계단식,14085,56340,2817,39438,0,0,0,,,,,,,,,,,,,,,
3,그린파크,73D㎡,부산시 사하구 신평동,2638010400,166-4,부산시 사하구 장평로301번길 15,35.093801,128.972995,49,0,5,5,0,0,0,,HT001,73.8,67.32,91,2,1,5,계단식,14085,56340,2817,39438,0,0,0,,,,,,,,,,,,,,,
4,그린파크,74A㎡,부산시 사하구 신평동,2638010400,166-4,부산시 사하구 장평로301번길 15,35.093801,128.972995,49,0,5,5,0,0,0,,HT001,74.88,68.4,91,2,1,15,계단식,14783,59131,2957,41391,0,0,0,,,,,,,,,,,,,,,
5,그린파크,74B㎡,부산시 사하구 신평동,2638010400,166-4,부산시 사하구 장평로301번길 15,35.093801,128.972995,49,0,5,5,0,0,0,,HT001,74.97,68.49,91,2,1,1,계단식,13095,52380,2619,36666,0,0,0,,,,,,,,,,,,,,,
6,그린파크,76C,부산시 사하구 신평동,2638010400,166-4,부산시 사하구 장평로301번길 15,35.093801,128.972995,49,0,5,5,0,0,0,,HT001,76.05,69.57,91,2,1,14,계단식,14783,59131,2957,41391,0,0,0,,,,,,,,,,,,,,,
0,덕경네오빌,57㎡,부산시 사하구 신평동,2638010400,408-10,부산시 사하구 하신중앙로 180-2,35.09483,128.962773,14,0,9,9,292,44,12,덕경종합건설(주),HT001,57.7,51.01,88,2,1,1,계단식,15863,63451,3173,44415,0,0,0,,,,,,,,,,,,,,,
1,덕경네오빌,77㎡,부산시 사하구 신평동,2638010400,408-10,부산시 사하구 하신중앙로 180-2,35.09483,128.962773,14,0,9,9,292,44,12,덕경종합건설(주),HT001,77.81,68.79,88,3,1,1,계단식,19530,78120,3906,54684,0,0,0,,,,,,,,,,,,,,,
2,덕경네오빌,89㎡,부산시 사하구 신평동,2638010400,408-10,부산시 사하구 하신중앙로 180-2,35.09483,128.962773,14,0,9,9,292,44,12,덕경종합건설(주),HT001,89.27,78.91,88,3,2,1,계단식,20880,83520,4176,58464,0,0,0,,,,,,,,,,,,,,,
