,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,LG마린타워(주상복합),88㎡,부산시 서구 남부민동,2614012300,654,부산시 서구 충무대로 181,35.08669,129.02405,96,0,20,20,557,79,88,LG건설(주),HT001,88.83,72.27,81,3,1,32,계단식,35700,134820,7140,91980,0,0,0,,,,,,,,,,,,,,,
1,LG마린타워(주상복합),103㎡,부산시 서구 남부민동,2614012300,654,부산시 서구 충무대로 181,35.08669,129.02405,96,0,20,20,557,79,88,LG건설(주),HT001,103.08,84.72,82,3,1,32,계단식,47400,165240,9480,108360,0,0,0,,,,"2억 5,500","2억 7,000",,,,,,,,,,
2,LG마린타워(주상복합),139,부산시 서구 남부민동,2614012300,654,부산시 서구 충무대로 181,35.08669,129.02405,96,0,20,20,557,79,88,LG건설(주),HT001,139.81,121.5,87,4,2,32,계단식,65850,213210,13170,134190,0,0,0,,,,,"3억 3,500",,,,,,,,,,
0,대동맨션,96㎡,부산시 서구 남부민동,2614012300,611-11,부산시 서구 천마로 57,35.082334,129.021488,50,0,5,5,0,0,0,,HT001,96.89,87.37,90,3,2,20,계단식,26775,107100,5355,74970,0,0,0,,,,,,,,,,,,,,,
1,대동맨션,128㎡,부산시 서구 남부민동,2614012300,611-11,부산시 서구 천마로 57,35.082334,129.021488,50,0,5,5,0,0,0,,HT001,128.33,118.25,92,3,2,15,계단식,31650,124290,6330,86310,0,0,0,,,,,,,,,,,,,,,
2,대동맨션,136㎡,부산시 서구 남부민동,2614012300,611-11,부산시 서구 천마로 57,35.082334,129.021488,50,0,5,5,0,0,0,,HT001,136.33,126.25,93,4,2,5,계단식,36600,137160,7320,93240,0,0,0,,,,,,,,,,,,,,,
3,대동맨션,142㎡,부산시 서구 남부민동,2614012300,611-11,부산시 서구 천마로 57,35.082334,129.021488,50,0,5,5,0,0,0,,HT001,142.87,132.79,93,4,2,5,계단식,37950,140670,7590,95130,0,0,0,,,,,,,,,,,,,,,
4,대동맨션,145,부산시 서구 남부민동,2614012300,611-11,부산시 서구 천마로 57,35.082334,129.021488,50,0,5,5,0,0,0,,HT001,145.92,135.64,93,4,2,5,계단식,40200,146520,8040,98280,0,0,0,,,,,,,,,,,,,,,
0,대림비치,80㎡,부산시 서구 남부민동,2614012300,523-1,부산시 서구 충무대로 133,35.082056,129.024533,440,0,28,24,399,30,305,대림산업주식회사,HT001,80.69,59.89,74,2,1,160,계단식,46500,162900,9300,107100,0,0,0,,113401,114123,"2억 3,000","2억 8,500","1억 5,000","1억 9,000",,"3,000/75",,"3,000/75",,,,
1,대림비치,106,부산시 서구 남부민동,2614012300,523-1,부산시 서구 충무대로 133,35.082056,129.024533,440,0,28,24,399,30,305,대림산업주식회사,HT001,106.74,84.77,79,3,2,280,계단식,72600,230760,14520,143640,0,0,0,,160510,161533,"2억 9,000","3억 8,000",,"1억 5,000",,,,,,,,
