,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,거북맨션,86㎡,부산시 서구 암남동,2614012400,227-1,부산시 서구 충무대로 58,35.07811,129.01906,20,0,5,5,0,0,0,,HT001,86.21,65.65,76,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,거북맨션,105A㎡,부산시 서구 암남동,2614012400,227-1,부산시 서구 충무대로 58,35.07811,129.01906,20,0,5,5,0,0,0,,HT001,105.82,81.79,77,3,2,5,계단식,,,,,,,,,,,,,,,,,,,,,,
2,거북맨션,106B,부산시 서구 암남동,2614012400,227-1,부산시 서구 충무대로 58,35.07811,129.01906,20,0,5,5,0,0,0,,HT001,106.32,82.15,77,3,2,14,계단식,,,,,,,,,,,,,,,,,,,,,,
0,고려맨션,76㎡,부산시 서구 암남동,2614012400,350-1,부산시 서구 충무대로34번길 15,35.077937,129.016992,80,0,10,10,0,0,0,,HT001,76.98,64.26,83,3,1,10,복도식,23850,95400,4770,66780,0,0,0,,,,,,,,,,,,,,,
1,고려맨션,90㎡,부산시 서구 암남동,2614012400,350-1,부산시 서구 충무대로34번길 15,35.077937,129.016992,80,0,10,10,0,0,0,,HT001,90.56,75.6,83,3,1,10,복도식,28800,115200,5760,80640,0,0,0,,,,,,,,,,,,,,,
2,고려맨션,97A㎡,부산시 서구 암남동,2614012400,350-1,부산시 서구 충무대로34번길 15,35.077937,129.016992,80,0,10,10,0,0,0,,HT001,97.89,81.72,83,3,1,10,복도식,33000,127800,6600,88200,0,0,0,,,,,,,,,,,,,,,
3,고려맨션,100B㎡,부산시 서구 암남동,2614012400,350-1,부산시 서구 충무대로34번길 15,35.077937,129.016992,80,0,10,10,0,0,0,,HT001,100.71,84.07,83,3,2,49,복도식,35700,134820,7140,91980,0,0,0,,,,,,,"1억 6,500",,,,,,,,
4,고려맨션,103,부산시 서구 암남동,2614012400,350-1,부산시 서구 충무대로34번길 15,35.077937,129.016992,80,0,10,10,0,0,0,,HT001,103.71,87.07,84,3,1,1,복도식,31200,123120,6240,85680,0,0,0,,,,,,,,,,,,,,,
0,그린비치맨션,72㎡,부산시 서구 암남동,2614012400,81-89,부산시 서구 천해로7번길 55-16,35.080514,129.019338,46,0,9,6,197,27,20,(주)세기종합건설,HT001,72.12,64.92,90,3,1,1,계단식,16808,67231,3362,47061,0,0,0,,,,,,,,,,,,,,,
1,그린비치맨션,83㎡,부산시 서구 암남동,2614012400,81-89,부산시 서구 천해로7번길 55-16,35.080514,129.019338,46,0,9,6,197,27,20,(주)세기종합건설,HT001,83.32,75,90,3,2,5,계단식,20543,82171,4109,57519,0,0,0,,,,,,,1억,,,,,,,,
