,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,구성,64㎡,부산시 서구 충무동2가,2614012100,37-1,부산시 서구 천마로205번길 31,35.094966,129.021628,18,0,7,6,396,68,0,,HT001,64.35,58.29,91,2,1,6,계단식,21038,84151,4208,58905,0,0,0,,,,,,,,,,,,,,,
1,구성,67㎡,부산시 서구 충무동2가,2614012100,37-1,부산시 서구 천마로205번길 31,35.094966,129.021628,18,0,7,6,396,68,0,,HT001,67.39,58.29,86,3,1,1,계단식,20160,80640,4032,56448,0,0,0,,,,,,,,,,,,,,,
2,구성,68,부산시 서구 충무동2가,2614012100,37-1,부산시 서구 천마로205번길 31,35.094966,129.021628,18,0,7,6,396,68,0,,HT001,68.2,59.1,87,3,1,11,계단식,22388,89551,4478,62685,0,0,0,,,,,,,,,,,,,,,
0,대륙천마(천마타워),65,부산시 서구 충무동2가,2614012100,33-6,부산시 서구 천마로205번길 39,35.09548,129.02153,34,0,10,9,399,63,6,대륙토건(주),HT001,65.4,59.9,92,3,2,34,계단식,,,,,,,,,,,,,,,,,,,,,,
0,대륙타워(주상복합),71,부산시 서구 충무동2가,2614012100,36-3,부산시 서구 천마로205번길 37-5,35.095126,129.02145,32,0,9,9,394,62,4,대륙토건(주),HT001,71.75,59.94,84,2,1,32,계단식,24750,99000,4950,69300,0,0,0,,,,,,,,,,,,,,,
0,동심,51,부산시 서구 충무동2가,2614012100,20,부산시 서구 천마로205번길 32,35.094885,129.022022,24,0,4,4,0,0,0,,HT001,51.24,51.24,100,2,1,24,계단식,29100,75660,5820,40740,0,0,0,,,,,,,,,,,,,,,
0,삼부타워,35㎡,부산시 서구 충무동2가,2614012100,24-4,부산시 서구 천마로205번길 40,35.095199,129.021977,36,0,10,10,397,59,0,(주)삼부종합건설,HT001,35.32,28.22,80,1,1,18,계단식,,,,,,,,,,,,1억 500,,,,,,,,,,
1,삼부타워,73,부산시 서구 충무동2가,2614012100,24-4,부산시 서구 천마로205번길 40,35.095199,129.021977,36,0,10,10,397,59,0,(주)삼부종합건설,HT001,73.17,58.47,80,3,1,18,계단식,,,,,,,,,,,,,,,,,,,,,,
0,에코팰리스(주상복합),57B㎡,부산시 서구 충무동2가,2614012100,1-5,부산시 서구 충무대로275번길 20,35.095438,129.023095,93,0,15,15,741,71,97,(주)금오종합건설,HT001,57.75,47.29,82,2,1,14,계단식,29700,118800,5940,83160,0,0,0,,,,"1억 7,500","1억 9,500",,,,,,,,,,
1,에코팰리스(주상복합),57A㎡,부산시 서구 충무동2가,2614012100,1-5,부산시 서구 충무대로275번길 20,35.095438,129.023095,93,0,15,15,741,71,97,(주)금오종합건설,HT001,57.11,46.77,82,2,1,9,계단식,28350,113400,5670,79380,0,0,0,,,,"1억 8,500","1억 9,000",,,,,,,,,,
