,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,골든패밀리,97,부산시 수영구 남천동,2650010500,19-34,부산시 수영구 남천동로10번길 28,35.142026,129.108775,19,0,11,11,372,40,16,,HT001,97.37,84.93,87,3,1,19,계단식,95100,289260,19020,175140,0,0,0,,,,,,,,,,,,,,,
0,궁전아이브(도시형),30㎡,부산시 수영구 남천동,2650010500,36-13,부산시 수영구 남천바다로10번길 22,35.149038,129.111533,60,0,10,7,429,59,24,궁전종합건설(주),HT001,30.26,24.51,81,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
1,궁전아이브(도시형),31A㎡,부산시 수영구 남천동,2650010500,36-13,부산시 수영구 남천바다로10번길 22,35.149038,129.111533,60,0,10,7,429,59,24,궁전종합건설(주),HT001,31.78,25.74,81,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
2,궁전아이브(도시형),33B㎡,부산시 수영구 남천동,2650010500,36-13,부산시 수영구 남천바다로10번길 22,35.149038,129.111533,60,0,10,7,429,59,24,궁전종합건설(주),HT001,33.84,27.42,81,1,1,8,계단식,,,,,,,,,,,,"8,000",,,,,,,,,,
3,궁전아이브(도시형),35㎡,부산시 수영구 남천동,2650010500,36-13,부산시 수영구 남천바다로10번길 22,35.149038,129.111533,60,0,10,7,429,59,24,궁전종합건설(주),HT001,35.3,28.59,81,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
4,궁전아이브(도시형),38A㎡,부산시 수영구 남천동,2650010500,36-13,부산시 수영구 남천바다로10번길 22,35.149038,129.111533,60,0,10,7,429,59,24,궁전종합건설(주),HT001,38.15,30.9,81,1,1,10,계단식,,,,,,,,,,,,,,,,,,,,,,
5,궁전아이브(도시형),39B㎡,부산시 수영구 남천동,2650010500,36-13,부산시 수영구 남천바다로10번길 22,35.149038,129.111533,60,0,10,7,429,59,24,궁전종합건설(주),HT001,39.56,32.04,81,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
6,궁전아이브(도시형),40C㎡,부산시 수영구 남천동,2650010500,36-13,부산시 수영구 남천바다로10번길 22,35.149038,129.111533,60,0,10,7,429,59,24,궁전종합건설(주),HT001,40.18,32.55,81,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
7,궁전아이브(도시형),47㎡,부산시 수영구 남천동,2650010500,36-13,부산시 수영구 남천바다로10번길 22,35.149038,129.111533,60,0,10,7,429,59,24,궁전종합건설(주),HT001,47.48,38.46,81,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
8,궁전아이브(도시형),53A㎡,부산시 수영구 남천동,2650010500,36-13,부산시 수영구 남천바다로10번길 22,35.149038,129.111533,60,0,10,7,429,59,24,궁전종합건설(주),HT001,53.75,43.54,81,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
9,궁전아이브(도시형),53B㎡,부산시 수영구 남천동,2650010500,36-13,부산시 수영구 남천바다로10번길 22,35.149038,129.111533,60,0,10,7,429,59,24,궁전종합건설(주),HT001,53.96,43.71,81,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
10,궁전아이브(도시형),55,부산시 수영구 남천동,2650010500,36-13,부산시 수영구 남천바다로10번길 22,35.149038,129.111533,60,0,10,7,429,59,24,궁전종합건설(주),HT001,55.31,44.8,81,1,1,24,계단식,,,,,,,,,,,,,,,,,,,,,,
0,금련,55㎡,부산시 수영구 남천동,2650010500,39-7,부산시 수영구 황령산로 36,35.148764,129.107422,12,0,7,7,308,47,7,,HT001,55.65,48.73,88,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,금련,60㎡,부산시 수영구 남천동,2650010500,39-7,부산시 수영구 황령산로 36,35.148764,129.107422,12,0,7,7,308,47,7,,HT001,60.68,53.13,88,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,금련,68A㎡,부산시 수영구 남천동,2650010500,39-7,부산시 수영구 황령산로 36,35.148764,129.107422,12,0,7,7,308,47,7,,HT001,68.58,59.79,87,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,금련,70B㎡,부산시 수영구 남천동,2650010500,39-7,부산시 수영구 황령산로 36,35.148764,129.107422,12,0,7,7,308,47,7,,HT001,70.14,61.41,88,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
