,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,BL타워(도시형),32㎡,부산시 수영구 민락동,2650010300,167-10,부산시 수영구 광남로 186,35.157366,129.120152,12,0,5,5,399,59,8,(주)포레건설,HT001,32.65,21.47,66,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,BL타워(도시형),38B㎡,부산시 수영구 민락동,2650010300,167-10,부산시 수영구 광남로 186,35.157366,129.120152,12,0,5,5,399,59,8,(주)포레건설,HT001,38.13,25.07,66,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,BL타워(도시형),39A,부산시 수영구 민락동,2650010300,167-10,부산시 수영구 광남로 186,35.157366,129.120152,12,0,5,5,399,59,8,(주)포레건설,HT001,39.27,25.82,66,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,e편한세상광안비치,112B㎡,부산시 수영구 민락동,2650010300,773,부산시 수영구 민락수변로7번길 60,35.155461,129.126998,396,0,26,22,379,27,478,주식회사삼호,HT001,112.51,84.72,75,3,2,100,계단식,363600,816840,72720,380520,0,0,0,,212208,228582,7억,"8억 7,000",,3억,"5,000/130","5,000/140","5,000/130","5,000/140",,,,
1,e편한세상광안비치,113C㎡,부산시 수영구 민락동,2650010300,773,부산시 수영구 민락수변로7번길 60,35.155461,129.126998,396,0,26,22,379,27,478,주식회사삼호,HT001,113.76,84.99,75,3,2,100,계단식,371700,832230,74340,386190,0,0,0,,212884,229310,"6억 9,000",10억,,,,"3,000/140",,"3,000/140",,,,
2,e편한세상광안비치,113D㎡,부산시 수영구 민락동,2650010300,773,부산시 수영구 민락수변로7번길 60,35.155461,129.126998,396,0,26,22,379,27,478,주식회사삼호,HT001,113.27,84.98,75,3,2,100,계단식,363600,816840,72720,380520,0,0,0,,212861,229286,7억,12억,,,,"5,000/150",,"5,000/150",,,,
3,e편한세상광안비치,113A,부산시 수영구 민락동,2650010300,773,부산시 수영구 민락수변로7번길 60,35.155461,129.126998,396,0,26,22,379,27,478,주식회사삼호,HT001,113.26,84.95,75,3,2,96,계단식,333900,760410,66780,359730,0,0,0,,212779,229197,"6억 9,000",10억,,,,"5,000/150",,"5,000/150",,,,
0,e편한세상오션테라스1단지,109B㎡,부산시 수영구 민락동,2650010300,780,부산시 수영구 광안해변로326번길 10,35.155793,129.128449,294,0,26,16,400,29,397,(주)삼호,HT001,109.66,84.97,77,3,2,92,계단식,346500,784350,69300,368550,0,0,0,,,,"7억 3,000","12억 5,000",4억,"4억 5,000","3,000/135","5,000/150","3,000/135","5,000/150",,,,
1,e편한세상오션테라스1단지,110A㎡,부산시 수영구 민락동,2650010300,780,부산시 수영구 광안해변로326번길 10,35.155793,129.128449,294,0,26,16,400,29,397,(주)삼호,HT001,110.47,84.92,77,3,2,83,계단식,346500,784350,69300,368550,0,0,0,,,,"7억 3,000","11억 5,000","3억 5,000",5억,"3,000/150","5,000/180","3,000/150","5,000/180",,,,
2,e편한세상오션테라스1단지,117A㎡,부산시 수영구 민락동,2650010300,780,부산시 수영구 광안해변로326번길 10,35.155793,129.128449,294,0,26,16,400,29,397,(주)삼호,HT001,117.17,91.97,78,3,2,40,계단식,413100,910890,82620,415170,0,0,0,,,,"10억 4,000",13억,,5억,,"5,000/200",,"5,000/200",,,,
