,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,강남럭스빌,29㎡,부산시 수영구 수영동,2650010200,50-20,부산시 수영구 수영성로 33-8,35.170066,129.116007,18,0,7,6,322,58,9,백승종합건설(주),HT001,29.18,18.95,65,1,1,13,계단식,,,,,,,,,,,,,,,500/48,"2,000/35",500/48,"2,000/35",,,,
1,강남럭스빌,35㎡,부산시 수영구 수영동,2650010200,50-20,부산시 수영구 수영성로 33-8,35.170066,129.116007,18,0,7,6,322,58,9,백승종합건설(주),HT001,35.76,23.3,65,1,1,4,계단식,,,,,,,,,,,,,,"1억 2,000",,,,,,,,
2,강남럭스빌,99,부산시 수영구 수영동,2650010200,50-20,부산시 수영구 수영성로 33-8,35.170066,129.116007,18,0,7,6,322,58,9,백승종합건설(주),HT001,99.17,66.58,67,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,더그레이스센텀(주상복합),34C㎡,부산시 수영구 수영동,2650010200,446-6,부산시 수영구 수영로 691-3,35.168008,129.115018,28,0,19,19,918,65,14,남흥건설(주),HT001,34.34,23.56,69,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,더그레이스센텀(주상복합),39A1㎡,부산시 수영구 수영동,2650010200,446-6,부산시 수영구 수영로 691-3,35.168008,129.115018,28,0,19,19,918,65,14,남흥건설(주),HT001,39.34,27.07,69,1,1,8,계단식,,,,,,,,,,,,"1억 5,000",,,,,,,,,,
2,더그레이스센텀(주상복합),40A㎡,부산시 수영구 수영동,2650010200,446-6,부산시 수영구 수영로 691-3,35.168008,129.115018,28,0,19,19,918,65,14,남흥건설(주),HT001,40.58,27.02,67,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
3,더그레이스센텀(주상복합),69B㎡,부산시 수영구 수영동,2650010200,446-6,부산시 수영구 수영로 691-3,35.168008,129.115018,28,0,19,19,918,65,14,남흥건설(주),HT001,69.89,48.77,70,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
4,더그레이스센텀(주상복합),69B1,부산시 수영구 수영동,2650010200,446-6,부산시 수영구 수영로 691-3,35.168008,129.115018,28,0,19,19,918,65,14,남흥건설(주),HT001,69.9,48.77,70,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,더썬블루,80㎡,부산시 수영구 수영동,2650010200,452-8,부산시 수영구 연수로401번길 19,35.169493,129.113812,14,0,8,8,231,38,14,두루종합건설(주),HT001,80.17,67.27,84,3,1,1,계단식,37950,140670,7590,95130,0,0,0,,,,,,,,,,,,,,,
1,더썬블루,82㎡,부산시 수영구 수영동,2650010200,452-8,부산시 수영구 연수로401번길 19,35.169493,129.113812,14,0,8,8,231,38,14,두루종합건설(주),HT001,82.87,69.53,84,3,2,1,계단식,40200,146520,8040,98280,0,0,0,,,,,,,,,,,,,,,
2,더썬블루,85A㎡,부산시 수영구 수영동,2650010200,452-8,부산시 수영구 연수로401번길 19,35.169493,129.113812,14,0,8,8,231,38,14,두루종합건설(주),HT001,85.54,71.77,84,3,2,1,계단식,43800,155880,8760,103320,0,0,0,,,,,,,,,,,,,,,
3,더썬블루,86B㎡,부산시 수영구 수영동,2650010200,452-8,부산시 수영구 연수로401번길 19,35.169493,129.113812,14,0,8,8,231,38,14,두루종합건설(주),HT001,86.97,72.97,84,3,2,5,계단식,44700,158220,8940,104580,0,0,0,,,,,,,,,,,,,,,
4,더썬블루,88A㎡,부산시 수영구 수영동,2650010200,452-8,부산시 수영구 연수로401번길 19,35.169493,129.113812,14,0,8,8,231,38,14,두루종합건설(주),HT001,88.77,74.48,84,3,2,5,계단식,45600,160560,9120,105840,0,0,0,,,,,,,,,,,,,,,
5,더썬블루,89B,부산시 수영구 수영동,2650010200,452-8,부산시 수영구 연수로401번길 19,35.169493,129.113812,14,0,8,8,231,38,14,두루종합건설(주),HT001,89.71,75.27,84,3,2,1,계단식,46950,164070,9390,107730,0,0,0,,,,,,,,,,,,,,,
0,동양,96B㎡,부산시 수영구 수영동,2650010200,457-2,부산시 수영구 연수로379번길 5,35.170628,129.111333,50,0,5,5,0,0,11,,HT001,96.82,84.07,87,3,2,33,계단식,70800,226080,14160,141120,0,0,0,,,,,,,,,,,,,,,
1,동양,96A㎡,부산시 수영구 수영동,2650010200,457-2,부산시 수영구 연수로379번길 5,35.170628,129.111333,50,0,5,5,0,0,11,,HT001,96.78,84.03,87,3,2,15,계단식,70800,226080,14160,141120,0,0,0,,,,,,,"1억 6,000",,,,,,,,
2,동양,96C㎡,부산시 수영구 수영동,2650010200,457-2,부산시 수영구 연수로379번길 5,35.170628,129.111333,50,0,5,5,0,0,11,,HT001,96.28,84.23,87,3,2,1,계단식,63150,206190,12630,130410,0,0,0,,,,,,,,,,,,,,,
3,동양,120,부산시 수영구 수영동,2650010200,457-2,부산시 수영구 연수로379번길 5,35.170628,129.111333,50,0,5,5,0,0,11,,HT001,120.21,104.4,87,3,2,1,계단식,75300,237780,15060,147420,0,0,0,,,,,,,,,,,,,,,
0,드림아이데스,33㎡,부산시 수영구 수영동,2650010200,451-8,부산시 수영구 연수로401번길 5,35.169046,129.113325,14,0,13,13,480,54,12,보성종합건설(주),HT001,33.32,24.25,73,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
1,드림아이데스,39A㎡,부산시 수영구 수영동,2650010200,451-8,부산시 수영구 연수로401번길 5,35.169046,129.113325,14,0,13,13,480,54,12,보성종합건설(주),HT001,39.65,28.91,73,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
2,드림아이데스,40B㎡,부산시 수영구 수영동,2650010200,451-8,부산시 수영구 연수로401번길 5,35.169046,129.113325,14,0,13,13,480,54,12,보성종합건설(주),HT001,40.68,30.17,74,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
