,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,대평태림,55㎡,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,55.5,52.26,94,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,대평태림,64A㎡,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,64.63,60.99,94,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,대평태림,67㎡,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,67.8,63.97,94,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,대평태림,67B㎡,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,67.44,63.8,95,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,대평태림,79B㎡,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,79.8,72.3,91,3,2,20,계단식,,,,,,,,,,,,"1억 5,300",,,,,,,,,,
5,대평태림,80A㎡,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,80.1,71.97,90,3,2,3,계단식,,,,,,,,,,,,,,,,,,,,,,
6,대평태림,84A㎡,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,84.33,76.2,90,3,2,5,계단식,,,,,,,,,,,,"1억 3,500",,,,,,,,,,
7,대평태림,84㎡,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,84.03,75.9,90,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
8,대평태림,87B㎡,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,87.1,78.64,90,3,2,8,계단식,,,,,,,,,,,,,,,,,,,,,,
9,대평태림,87C㎡,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,87.11,78.65,90,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
10,대평태림,92A㎡,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,92.03,80.79,88,3,2,5,계단식,,,,,,,,,,,,,,,,,,,,,,
11,대평태림,93B㎡,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,93.85,82.61,88,3,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
12,대평태림,93C㎡,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,93.85,84.59,90,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
13,대평태림,112㎡,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,112.76,101.78,90,3,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
14,대평태림,117,부산시 영도구 대평동1가,2620010300,90,부산시 영도구 대평로 15,35.090295,129.035142,57,0,5,1,0,0,0,,HT001,117.03,106.05,91,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,하나빌(주상복합),95A㎡,부산시 영도구 대평동1가,2620010300,7,부산시 영도구 대평로20번길 23,35.092234,129.035431,84,0,15,15,824,82,92,무광종합건설(주),HT001,95.28,82.99,87,3,2,14,계단식,,,,,,,,,,,,,,,,,,,,,,
1,하나빌(주상복합),96B㎡,부산시 영도구 대평동1가,2620010300,7,부산시 영도구 대평로20번길 23,35.092234,129.035431,84,0,15,15,824,82,92,무광종합건설(주),HT001,96.21,83.81,87,3,2,28,계단식,,,,,,,,,,,,,,,,,,,,,,
2,하나빌(주상복합),97A㎡,부산시 영도구 대평동1가,2620010300,7,부산시 영도구 대평로20번길 23,35.092234,129.035431,84,0,15,15,824,82,92,무광종합건설(주),HT001,97.53,84.95,87,3,2,14,계단식,,,,,,,,,,,,,,,,,,,,,,
3,하나빌(주상복합),97B㎡,부산시 영도구 대평동1가,2620010300,7,부산시 영도구 대평로20번길 23,35.092234,129.035431,84,0,15,15,824,82,92,무광종합건설(주),HT001,97.54,84.96,87,3,2,14,계단식,,,,,,,,,,,,,,,,,,,,,,
4,하나빌(주상복합),97C,부산시 영도구 대평동1가,2620010300,7,부산시 영도구 대평로20번길 23,35.092234,129.035431,84,0,15,15,824,82,92,무광종합건설(주),HT001,97.39,84.83,87,3,2,14,계단식,,,,,,,,,,,"2억 2,000","2억 2,500",,,,,,,,,,
