,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,동부산아이존빌,61㎡,부산시 영도구 영선동2가,2620010900,175,부산시 영도구 영선대로 98,35.088438,129.043563,416,0,20,12,307,23,481,(주)동부토건,HT001,61.3,43.13,70,2,1,3,계단식,,,,,,,,,103428,103223,,,,,,,,,,,,
1,동부산아이존빌,97㎡,부산시 영도구 영선동2가,2620010900,175,부산시 영도구 영선대로 98,35.088438,129.043563,416,0,20,12,307,23,481,(주)동부토건,HT001,97.66,74.05,76,3,2,100,계단식,,,,,,,,,177561,177211,"3억 8,000","4억 2,000",,,,,,,,,,
2,동부산아이존빌,104A㎡,부산시 영도구 영선동2가,2620010900,175,부산시 영도구 영선대로 98,35.088438,129.043563,416,0,20,12,307,23,481,(주)동부토건,HT001,104.51,79.2,76,3,2,15,계단식,,,,,,,,,189910,189535,,,,,,,,,,,,
3,동부산아이존빌,111B㎡,부산시 영도구 영선동2가,2620010900,175,부산시 영도구 영선대로 98,35.088438,129.043563,416,0,20,12,307,23,481,(주)동부토건,HT001,111.07,84.94,76,3,2,174,계단식,,,,,,,,,203681,203278,"3억 6,000","4억 9,000",,3억,,"2,000/85",,"2,000/85",,,,
4,동부산아이존빌,111C㎡,부산시 영도구 영선동2가,2620010900,175,부산시 영도구 영선대로 98,35.088438,129.043563,416,0,20,12,307,23,481,(주)동부토건,HT001,111.07,84.94,76,3,2,32,계단식,,,,,,,,,203681,203278,,"4억 8,500",,,,,,,,,,
5,동부산아이존빌,134㎡,부산시 영도구 영선동2가,2620010900,175,부산시 영도구 영선대로 98,35.088438,129.043563,416,0,20,12,307,23,481,(주)동부토건,HT001,134.35,106.35,79,3,2,38,계단식,,,,,,,,,255008,254505,,"5억 2,000",,,,,,,,,,
6,동부산아이존빌,150㎡,부산시 영도구 영선동2가,2620010900,175,부산시 영도구 영선대로 98,35.088438,129.043563,416,0,20,12,307,23,481,(주)동부토건,HT001,150,121.2,81,4,2,36,계단식,,,,,,,,,290622,290048,,,,,,,,,,,,
7,동부산아이존빌,161㎡,부산시 영도구 영선동2가,2620010900,175,부산시 영도구 영선대로 98,35.088438,129.043563,416,0,20,12,307,23,481,(주)동부토건,HT001,161.82,126.92,78,4,2,1,계단식,,,,,,,,,304328,303726,,,,,,,,,,,,
8,동부산아이존빌,165,부산시 영도구 영선동2가,2620010900,175,부산시 영도구 영선대로 98,35.088438,129.043563,416,0,20,12,307,23,481,(주)동부토건,HT001,165.23,129.77,79,4,2,17,계단식,,,,,,,,,311161,310547,,,,,,,,,,,,
0,썬프라자(주상복합),58㎡,부산시 영도구 영선동2가,2620010900,71-1,부산시 영도구 영선대로 95,35.089483,129.042589,40,0,15,15,995,81,0,서유종합건설(주),HT001,58.84,48.83,83,2,1,10,계단식,19868,79471,3974,55629,0,0,0,,,,,,,,,,,,,,,
1,썬프라자(주상복합),99㎡,부산시 영도구 영선동2가,2620010900,71-1,부산시 영도구 영선대로 95,35.089483,129.042589,40,0,15,15,995,81,0,서유종합건설(주),HT001,99.7,79.56,80,3,2,20,계단식,34800,132480,6960,90720,0,0,0,,,,,,,,,,,,,,,
2,썬프라자(주상복합),133,부산시 영도구 영선동2가,2620010900,71-1,부산시 영도구 영선대로 95,35.089483,129.042589,40,0,15,15,995,81,0,서유종합건설(주),HT001,133.83,107.88,81,4,2,10,계단식,46050,161730,9210,106470,0,0,0,,,,,,,,,,,,,,,
0,유진캐슬(도시형),60,부산시 영도구 영선동2가,2620010900,23-1,부산시 영도구 절영로93번길 40-5,35.088215,129.041081,8,0,7,7,335,60,4,(주)정재건설,HT001,60.59,49.99,83,2,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
0,청성(주상복합),103,부산시 영도구 영선동2가,2620010900,67-1,부산시 영도구 영선대로 89,35.088976,129.042404,7,0,10,10,472,60,5,(주)열림종합건설,HT001,103.45,84.95,82,3,2,7,계단식,,,,,,,,,,,,,,,,,,,,,,
0,청송,99,부산시 영도구 영선동2가,2620010900,36,부산시 영도구 절영로93번길 32-6,35.087641,129.040798,5,0,6,6,281,59,6,주식회사보천건설,HT001,99.58,82.99,83,3,2,5,계단식,31650,124290,6330,86310,0,0,0,,,,,,,,,,,,,,,
0,힐링파크(도시형),52A㎡,부산시 영도구 영선동2가,2620010900,44-1,부산시 영도구 영선대로 69,35.087384,129.041487,51,0,20,20,918,69,43,(주)재성이엔씨,HT001,52.54,42.25,80,2,1,17,계단식,,,,,,,,,,,"1억 9,000","2억 1,000",,,,,,,,,,
1,힐링파크(도시형),52B㎡,부산시 영도구 영선동2가,2620010900,44-1,부산시 영도구 영선대로 69,35.087384,129.041487,51,0,20,20,918,69,43,(주)재성이엔씨,HT001,52.59,42.53,81,2,1,17,계단식,,,,,,,,,,,,2억 700,,,,,,,,,,
2,힐링파크(도시형),55,부산시 영도구 영선동2가,2620010900,44-1,부산시 영도구 영선대로 69,35.087384,129.041487,51,0,20,20,918,69,43,(주)재성이엔씨,HT001,55.74,45.17,81,2,1,17,계단식,,,,,,,,,,,,2억,,,,,,,,,,
