,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,동서,101A㎡,부산시 중구 보수동3가,2611012200,61-3,부산시 중구 흑교로59번길 16,35.10417,129.022903,17,0,10,8,166,24,13,,HT001,101.14,82.35,81,3,2,1,계단식,27000,108000,5400,75600,0,0,0,,,,,,,,,,,,,,,
1,동서,102B,부산시 중구 보수동3가,2611012200,61-3,부산시 중구 흑교로59번길 16,35.10417,129.022903,17,0,10,8,166,24,13,,HT001,102.84,83.73,81,3,2,16,계단식,27900,111600,5580,78120,0,0,0,,,,,,,,,,,,,,,
0,동양(주상복합),95A㎡,부산시 중구 보수동3가,2611012200,61-36,부산시 중구 흑교로59번길 20,35.103976,129.022821,18,0,10,10,362,44,14,(주)보해건설,HT001,95.16,84.73,89,3,2,9,계단식,43800,155880,8760,103320,0,0,0,,,,,,,,,,,,,,,
1,동양(주상복합),95B,부산시 중구 보수동3가,2611012200,61-36,부산시 중구 흑교로59번길 20,35.103976,129.022821,18,0,10,10,362,44,14,(주)보해건설,HT001,95.32,84.87,89,3,2,9,계단식,43800,155880,8760,103320,0,0,0,,,,,,,,,,,,,,,
0,보수3차봄여름가을겨울,62㎡,부산시 중구 보수동3가,2611012200,73-35,부산시 중구 대청로 23,35.103465,129.022369,98,0,15,15,730,68,98,수근종합건설(주),HT001,62.32,41.48,67,2,1,25,계단식,29700,118800,5940,83160,0,0,0,,,,"1억 9,500","2억 1,300",,,,,,,,,,
1,보수3차봄여름가을겨울,66㎡,부산시 중구 보수동3가,2611012200,73-35,부산시 중구 대청로 23,35.103465,129.022369,98,0,15,15,730,68,98,수근종합건설(주),HT001,66.44,45.27,68,2,1,24,계단식,33450,128970,6690,88830,0,0,0,,,,2억,"2억 2,000",,,,,,,,,,
2,보수3차봄여름가을겨울,85B㎡,부산시 중구 보수동3가,2611012200,73-35,부산시 중구 대청로 23,35.103465,129.022369,98,0,15,15,730,68,98,수근종합건설(주),HT001,85.68,59.09,69,3,2,25,계단식,49650,171090,9930,111510,0,0,0,,,,"2억 6,900","2억 8,500",,,,,,,,,,
3,보수3차봄여름가을겨울,85A,부산시 중구 보수동3가,2611012200,73-35,부산시 중구 대청로 23,35.103465,129.022369,98,0,15,15,730,68,98,수근종합건설(주),HT001,85.68,59.09,69,3,2,24,계단식,49650,171090,9930,111510,0,0,0,,,,"2억 6,500","2억 7,300",,,,,,,,,,
0,보수맨션,84㎡,부산시 중구 보수동3가,2611012200,46-1,부산시 중구 보수대로 94,35.104201,129.021786,36,0,7,7,0,0,0,,HT001,84.37,63.11,75,3,2,12,계단식,,,,,,,,,,,,,,,,,,,,,,
1,보수맨션,103㎡,부산시 중구 보수동3가,2611012200,46-1,부산시 중구 보수대로 94,35.104201,129.021786,36,0,7,7,0,0,0,,HT001,103.41,77.36,75,3,2,5,계단식,,,,,,,,,,,,,,,,,,,,,,
