,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,금성,35㎡,부산시 중구 부평동2가,2611012400,47-6,부산시 중구 광복로6번길 10-2,35.098739,129.025413,43,0,5,3,0,0,0,,HT001,35.54,35.54,100,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
1,금성,42A㎡,부산시 중구 부평동2가,2611012400,47-6,부산시 중구 광복로6번길 10-2,35.098739,129.025413,43,0,5,3,0,0,0,,HT001,42.31,34.38,81,1,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
2,금성,43B㎡,부산시 중구 부평동2가,2611012400,47-6,부산시 중구 광복로6번길 10-2,35.098739,129.025413,43,0,5,3,0,0,0,,HT001,43.96,36.03,82,1,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
3,금성,47,부산시 중구 부평동2가,2611012400,47-6,부산시 중구 광복로6번길 10-2,35.098739,129.025413,43,0,5,3,0,0,0,,HT001,47.6,39.67,83,1,1,30,계단식,,,,,,,,,,,,1억,,,,,,,,,,
0,부평맨션,35㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,35.7,35.7,100,2,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
1,부평맨션,40㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,40,40,100,2,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
2,부평맨션,46㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,46.28,46.28,100,2,1,2,복도식,,,,,,,,,,,,,,,,,,,,,,
3,부평맨션,48A㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,48.6,48.6,100,2,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
4,부평맨션,49B㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,49.26,49.26,100,2,1,11,복도식,,,,,,,,,,,,,,,,,,,,,,
5,부평맨션,51㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,51.24,51.24,100,2,1,2,복도식,,,,,,,,,,,,,,,,,,,,,,
6,부평맨션,64㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,64.13,64.13,100,2,1,10,복도식,,,,,,,,,,,"1억 4,000","1억 5,500",,,,,,,,,,
7,부평맨션,64㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,64.46,64.46,100,2,1,2,복도식,,,,,,,,,,,,,,,,,,,,,,
8,부평맨션,68A㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,68.1,68.1,100,2,1,22,복도식,,,,,,,,,,,,,,,,,,,,,,
9,부평맨션,69B㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,69.42,69.42,100,2,1,15,복도식,,,,,,,,,,,,,,,,,,,,,,
10,부평맨션,70C㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,70.74,70.74,100,2,1,2,복도식,,,,,,,,,,,,,,,,,,,,,,
11,부평맨션,76㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,76.03,76.03,100,2,1,4,복도식,,,,,,,,,,,,,,,,,,,,,,
12,부평맨션,79㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,79.34,79.34,100,3,2,6,복도식,,,,,,,,,,,,,,,,,,,,,,
13,부평맨션,92㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,92.56,92.56,100,3,2,1,복도식,,,,,,,,,,,,,,,,,,,,,,
14,부평맨션,97㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,97.19,97.19,100,3,2,7,복도식,,,,,,,,,,,,"2억 2,500",,,,,,,,,,
15,부평맨션,97㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,97.52,97.52,100,3,2,1,복도식,,,,,,,,,,,,,,,,,,,,,,
16,부평맨션,102A㎡,부산시 중구 부평동2가,2611012400,77,부산시 중구 흑교로 34,35.102455,129.025556,94,0,6,2,0,0,0,,HT001,102.48,102.48,100,3,2,2,복도식,,,,,,,,,,,,,,,,,,,,,,
