,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,금호,52㎡,부산시 중구 영주동,2611010100,161,부산시 중구 영주로 51,35.111683,129.030059,322,0,16,8,320,30,155,금호건설,HT001,52.64,40.46,77,2,1,12,계단식,,,,,,,,,53497,63575,,,,,,,,,,,,
1,금호,76D㎡,부산시 중구 영주동,2611010100,161,부산시 중구 영주로 51,35.111683,129.030059,322,0,16,8,320,30,155,금호건설,HT001,76.78,59,77,2,1,15,계단식,,,,,,,,,78011,92708,,,,"1억 2,000",,,,,,,,
2,금호,77㎡,부산시 중구 영주동,2611010100,161,부산시 중구 영주로 51,35.111683,129.030059,322,0,16,8,320,30,155,금호건설,HT001,77.74,59.75,77,2,1,111,계단식,,,,,,,,,79003,93886,"1억 8,000","1억 8,500",,,,,,,,,,
3,금호,99A㎡,부산시 중구 영주동,2611010100,161,부산시 중구 영주로 51,35.111683,129.030059,322,0,16,8,320,30,155,금호건설,HT001,99.89,76.78,77,3,1,16,계단식,,,,,,,,,101520,120645,,,,,,,,,,,,
4,금호,99B㎡,부산시 중구 영주동,2611010100,161,부산시 중구 영주로 51,35.111683,129.030059,322,0,16,8,320,30,155,금호건설,HT001,99.97,76.83,77,3,1,8,계단식,,,,,,,,,101587,120724,,,,,,,,,,,,
5,금호,110A㎡,부산시 중구 영주동,2611010100,161,부산시 중구 영주로 51,35.111683,129.030059,322,0,16,8,320,30,155,금호건설,HT001,110.08,84.59,77,3,1,96,계단식,,,,,,,,,111847,132917,,,,,,,,,,,,
6,금호,110B,부산시 중구 영주동,2611010100,161,부산시 중구 영주로 51,35.111683,129.030059,322,0,16,8,320,30,155,금호건설,HT001,110.42,84.86,77,3,2,64,계단식,,,,,,,,,112204,133342,"2억 3,000","2억 5,000",,,,"1억 2,000/20",,"1억 2,000/20",,,,
0,도경오벨리스(주상복합),91C㎡,부산시 중구 영주동,2611010100,587,부산시 중구 대영로 240,35.111896,129.036852,102,0,20,20,966,74,105,(주)도경종합건설,HT001,91.84,77.09,84,3,2,17,계단식,,,,,,,,,,,,"2억 6,000",,,,,,,,,,
1,도경오벨리스(주상복합),95B㎡,부산시 중구 영주동,2611010100,587,부산시 중구 대영로 240,35.111896,129.036852,102,0,20,20,966,74,105,(주)도경종합건설,HT001,95.98,80.57,84,3,2,17,계단식,,,,,,,,,,,,,,,,,,,,,,
2,도경오벨리스(주상복합),100A㎡,부산시 중구 영주동,2611010100,587,부산시 중구 대영로 240,35.111896,129.036852,102,0,20,20,966,74,105,(주)도경종합건설,HT001,100.63,84.47,84,3,2,17,계단식,,,,,,,,,,,,,,,,,,,,,,
