,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,동광맨션,58A㎡,부산시 중구 중앙동4가,2611010700,40-15,부산시 중구 동광길 66,35.105653,129.03498,19,0,5,5,0,0,0,,HT001,58.41,58.41,100,2,1,6,계단식,,,,,,,,,,,,,,,,,,,,,,
1,동광맨션,59D㎡,부산시 중구 중앙동4가,2611010700,40-15,부산시 중구 동광길 66,35.105653,129.03498,19,0,5,5,0,0,0,,HT001,59.17,59.17,100,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,동광맨션,59E㎡,부산시 중구 중앙동4가,2611010700,40-15,부산시 중구 동광길 66,35.105653,129.03498,19,0,5,5,0,0,0,,HT001,59.5,59.5,100,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,동광맨션,60B㎡,부산시 중구 중앙동4가,2611010700,40-15,부산시 중구 동광길 66,35.105653,129.03498,19,0,5,5,0,0,0,,HT001,60.16,60.16,100,2,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
4,동광맨션,60C㎡,부산시 중구 중앙동4가,2611010700,40-15,부산시 중구 동광길 66,35.105653,129.03498,19,0,5,5,0,0,0,,HT001,60.46,60.46,100,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
5,동광맨션,60F㎡,부산시 중구 중앙동4가,2611010700,40-15,부산시 중구 동광길 66,35.105653,129.03498,19,0,5,5,0,0,0,,HT001,60.5,60.5,100,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
6,동광맨션,68A㎡,부산시 중구 중앙동4가,2611010700,40-15,부산시 중구 동광길 66,35.105653,129.03498,19,0,5,5,0,0,0,,HT001,68.92,68.92,100,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
7,동광맨션,69B,부산시 중구 중앙동4가,2611010700,40-15,부산시 중구 동광길 66,35.105653,129.03498,19,0,5,5,0,0,0,,HT001,69.26,69.26,100,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,서린엘마르센트로뷰(주상복합),78C㎡,부산시 중구 중앙동4가,2611010700,19,부산시 중구 대교로 157,35.104202,129.037064,120,0,33,33,1198,59,120,청산종합건설(주),HT001,78.66,52.53,67,2,1,30,계단식,,,,,,,,,,,,,,,,,,,,,,
1,서린엘마르센트로뷰(주상복합),78C1㎡,부산시 중구 중앙동4가,2611010700,19,부산시 중구 대교로 157,35.104202,129.037064,120,0,33,33,1198,59,120,청산종합건설(주),HT001,78.76,52.42,67,2,1,15,계단식,,,,,,,,,,,,"4억 8,000",,,,,,,,,,
2,서린엘마르센트로뷰(주상복합),78D㎡,부산시 중구 중앙동4가,2611010700,19,부산시 중구 대교로 157,35.104202,129.037064,120,0,33,33,1198,59,120,청산종합건설(주),HT001,78.49,52.29,67,2,1,12,계단식,,,,,,,,,,,,,,,,,,,,,,
3,서린엘마르센트로뷰(주상복합),78D2㎡,부산시 중구 중앙동4가,2611010700,19,부산시 중구 대교로 157,35.104202,129.037064,120,0,33,33,1198,59,120,청산종합건설(주),HT001,78.49,52.29,67,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
4,서린엘마르센트로뷰(주상복합),78D1㎡,부산시 중구 중앙동4가,2611010700,19,부산시 중구 대교로 157,35.104202,129.037064,120,0,33,33,1198,59,120,청산종합건설(주),HT001,78.49,52.29,67,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
5,서린엘마르센트로뷰(주상복합),84B㎡,부산시 중구 중앙동4가,2611010700,19,부산시 중구 대교로 157,35.104202,129.037064,120,0,33,33,1198,59,120,청산종합건설(주),HT001,84.01,56.18,67,2,1,42,계단식,,,,,,,,,,,,"4억 8,000",,,,"2,000/100",,"2,000/100",,,,
6,서린엘마르센트로뷰(주상복합),84B2㎡,부산시 중구 중앙동4가,2611010700,19,부산시 중구 대교로 157,35.104202,129.037064,120,0,33,33,1198,59,120,청산종합건설(주),HT001,84.01,56.18,67,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
7,서린엘마르센트로뷰(주상복합),84B1㎡,부산시 중구 중앙동4가,2611010700,19,부산시 중구 대교로 157,35.104202,129.037064,120,0,33,33,1198,59,120,청산종합건설(주),HT001,84.01,56.18,67,2,1,1,계단식,,,,,,,,,,,,"5억 5,000",,,,,,,,,,
8,서린엘마르센트로뷰(주상복합),87A,부산시 중구 중앙동4가,2611010700,19,부산시 중구 대교로 157,35.104202,129.037064,120,0,33,33,1198,59,120,청산종합건설(주),HT001,87.75,58.88,67,3,1,15,계단식,,,,,,,,,,,,,,"3억 3,000",,"5,000/130",,"5,000/130",,,,
0,엘스퀘어(주상복합),71㎡,부산시 중구 중앙동4가,2611010700,85-5,부산시 중구 충장대로9번길 20-1,35.107124,129.037771,30,0,20,20,823,64,28,(주)태종건설개발,HT001,71.53,54.84,77,3,2,1,계단식,,,,,,,,,,,,"2억 8,000",,2억,,"2,000/70",,"2,000/70",,,,
1,엘스퀘어(주상복합),82A㎡,부산시 중구 중앙동4가,2611010700,85-5,부산시 중구 충장대로9번길 20-1,35.107124,129.037771,30,0,20,20,823,64,28,(주)태종건설개발,HT001,82.82,63.99,77,3,2,19,계단식,,,,,,,,,,,"2억 7,000","4억 2,000",,"2억 8,000",,,,,,,,
2,엘스퀘어(주상복합),82C㎡,부산시 중구 중앙동4가,2611010700,85-5,부산시 중구 충장대로9번길 20-1,35.107124,129.037771,30,0,20,20,823,64,28,(주)태종건설개발,HT001,82.7,64.46,78,3,2,6,계단식,,,,,,,,,,,,"4억 1,000",,,,,,,,,,
3,엘스퀘어(주상복합),82B,부산시 중구 중앙동4가,2611010700,85-5,부산시 중구 충장대로9번길 20-1,35.107124,129.037771,30,0,20,20,823,64,28,(주)태종건설개발,HT001,82.62,64.09,78,3,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
