,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,LIG건영,79,부산시 해운대구 반송동,2635010100,884,부산시 해운대구 신반송로 80,35.227294,129.164427,257,0,15,14,138,15,181,주식회사 건영,HT001,79.55,59.88,75,3,1,257,계단식,21375,85500,4275,59850,0,0,0,,165357,163556,"1억 3,800","1억 5,800",,,,,,,,,,
0,경동,80,부산시 해운대구 반송동,2635010100,885,부산시 해운대구 신반송로 76,35.226452,129.163031,126,0,14,14,142,12,64,(주)경동건설,HT001,80.22,59.58,74,2,1,126,복도식,16830,67320,3366,47124,0,0,0,,,,,1억,,,,,,,,,,
0,광하1.2.3차,47㎡,부산시 해운대구 반송동,2635010100,93,부산시 해운대구 신반송로 194,35.230307,129.160438,425,0,5,5,132,37,0,,HT001,47.72,41.65,87,2,1,35,계단식,16785,67140,3357,46998,0,0,0,,,,"9,700","1억 2,000",,"8,500",,,,,,,,
1,광하1.2.3차,48㎡,부산시 해운대구 반송동,2635010100,93,부산시 해운대구 신반송로 194,35.230307,129.160438,425,0,5,5,132,37,0,,HT001,48.98,42.91,88,2,1,35,계단식,16785,67140,3357,46998,0,0,0,,,,,,,,,"1,000/25",,"1,000/25",,,,
2,광하1.2.3차,53㎡,부산시 해운대구 반송동,2635010100,93,부산시 해운대구 신반송로 194,35.230307,129.160438,425,0,5,5,132,37,0,,HT001,53.85,43.97,82,2,1,150,계단식,15390,61560,3078,43092,0,0,0,,,,"9,000","1억 1,000",,"6,000",,,,,,,,
3,광하1.2.3차,66B㎡,부산시 해운대구 반송동,2635010100,93,부산시 해운대구 신반송로 194,35.230307,129.160438,425,0,5,5,132,37,0,,HT001,66.4,55.74,84,3,1,130,계단식,15885,63540,3177,44478,0,0,0,,,,,"1억 1,500",,,,,,,,,,
4,광하1.2.3차,66A㎡,부산시 해운대구 반송동,2635010100,93,부산시 해운대구 신반송로 194,35.230307,129.160438,425,0,5,5,132,37,0,,HT001,66.51,55.6,84,3,1,30,계단식,18000,72000,3600,50400,0,0,0,,,,,"1억 3,000",,,,,,,,,,
5,광하1.2.3차,88㎡,부산시 해운대구 반송동,2635010100,93,부산시 해운대구 신반송로 194,35.230307,129.160438,425,0,5,5,132,37,0,,HT001,88.93,76.63,86,3,1,40,계단식,19980,79920,3996,55944,0,0,0,,,,,,,,,,,,,,,
6,광하1.2.3차,101,부산시 해운대구 반송동,2635010100,93,부산시 해운대구 신반송로 194,35.230307,129.160438,425,0,5,5,132,37,0,,HT001,101.47,82.46,81,3,2,5,계단식,21443,85771,4289,60039,0,0,0,,,,,,,,,,,,,,,
0,남흥,76㎡,부산시 해운대구 반송동,2635010100,887,부산시 해운대구 신반송로 163,35.227549,129.162365,450,0,17,15,248,18,350,남흥건설주식회사,HT001,76.5,59.95,78,3,1,180,계단식,,,,,,,,,152160,145818,"1억 4,500","1억 7,500",,,,,,,,,,
1,남흥,103,부산시 해운대구 반송동,2635010100,887,부산시 해운대구 신반송로 163,35.227549,129.162365,450,0,17,15,248,18,350,남흥건설주식회사,HT001,103.68,84.88,82,3,2,270,계단식,,,,,,,,,215434,206455,2억,"2억 2,500",,,,,,,,,,
0,동화마을5(주상복합),65㎡,부산시 해운대구 반송동,2635010100,697,부산시 해운대구 반송로 816,35.226515,129.146718,56,0,15,15,751,68,56,병산종합건설(주),HT001,65.34,45.21,69,3,1,14,계단식,,,,,,,,,,,,,,,,,,,,,,
1,동화마을5(주상복합),78B㎡,부산시 해운대구 반송동,2635010100,697,부산시 해운대구 반송로 816,35.226515,129.146718,56,0,15,15,751,68,56,병산종합건설(주),HT001,78.28,55.41,71,3,1,28,계단식,,,,,,,,,,,,"1억 8,900",,,,,,,,,,
2,동화마을5(주상복합),78A,부산시 해운대구 반송동,2635010100,697,부산시 해운대구 반송로 816,35.226515,129.146718,56,0,15,15,751,68,56,병산종합건설(주),HT001,78.03,54.66,70,3,1,14,계단식,,,,,,,,,,,,,,"1억 6,000",,,,,,,,
0,벽산삼협한솔,78,부산시 해운대구 반송동,2635010100,892,부산시 해운대구 신반송로 29,35.227108,129.159459,764,0,24,16,209,11,431,벽산개발(주)외1,HT001,78.84,59.91,76,3,1,764,계단식,,,,,,,,,156760,150399,"1억 5,000","1억 7,400",,,,,,,,,,
0,삼정그린코아,76㎡,부산시 해운대구 반송동,2635010100,78,부산시 해운대구 신반송로 196,35.23107,129.15988,299,0,20,19,293,26,215,(주)삼정주택,HT001,76.29,59.88,78,3,1,119,복도식,17865,71460,3573,50022,0,0,0,,100817,100041,,"1억 2,500",,,,,,,,,,
1,삼정그린코아,108㎡,부산시 해운대구 반송동,2635010100,78,부산시 해운대구 신반송로 196,35.23107,129.15988,299,0,20,19,293,26,215,(주)삼정주택,HT001,108.15,84.9,79,3,2,120,복도식,29025,116100,5805,81270,0,0,0,,142941,141842,"1억 9,000","2억 1,000",,"1억 4,000",,,,,,,,
2,삼정그린코아,108㎡,부산시 해운대구 반송동,2635010100,78,부산시 해운대구 신반송로 196,35.23107,129.15988,299,0,20,19,293,26,215,(주)삼정주택,HT001,108.25,84.96,78,3,2,20,계단식,29025,116100,5805,81270,0,0,0,,143042,141942,,,,,,,,,,,,
3,삼정그린코아,151,부산시 해운대구 반송동,2635010100,78,부산시 해운대구 신반송로 196,35.23107,129.15988,299,0,20,19,293,26,215,(주)삼정주택,HT001,151.1,118.62,79,4,2,40,복도식,51450,175770,10290,114030,0,0,0,,199714,198177,,"2억 8,500",,,,,,,,,,
0,삼한3차,106B㎡,부산시 해운대구 반송동,2635010100,883,부산시 해운대구 신반송로 96,35.22812,129.16437,143,0,24,24,226,19,150,삼한건설(주),HT001,106.88,84.6,79,3,2,120,계단식,31200,123120,6240,85680,0,0,0,,,,"1억 8,500","1억 9,500",,,,,,,,,,
1,삼한3차,106A,부산시 해운대구 반송동,2635010100,883,부산시 해운대구 신반송로 96,35.22812,129.16437,143,0,24,24,226,19,150,삼한건설(주),HT001,106.55,84.33,79,3,2,23,계단식,30750,121950,6150,85050,0,0,0,,,,,"1억 8,500",,,,,,,,,,
0,삼한5차,73㎡,부산시 해운대구 반송동,2635010100,886,부산시 해운대구 신반송로 72,35.226581,129.161736,298,0,19,18,169,13,295,주식회사삼한종합건설,HT001,73.87,55.18,75,3,1,70,계단식,19508,78031,3902,54621,0,0,0,,139634,134036,"1억 4,000","1억 5,800",,,,,,,,,,
1,삼한5차,80A㎡,부산시 해운대구 반송동,2635010100,886,부산시 해운대구 신반송로 72,35.226581,129.161736,298,0,19,18,169,13,295,주식회사삼한종합건설,HT001,80.22,59.92,75,3,1,152,계단식,24075,96300,4815,67410,0,0,0,,151629,145550,"1억 5,500","1억 7,000",,,,,,,,,,
2,삼한5차,80B,부산시 해운대구 반송동,2635010100,886,부산시 해운대구 신반송로 72,35.226581,129.161736,298,0,19,18,169,13,295,주식회사삼한종합건설,HT001,80.25,59.94,75,3,1,76,계단식,24075,96300,4815,67410,0,0,0,,151679,145599,,"1억 6,500",,,,,,,,,,
