,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,골든파라다이스(도시형),21A㎡,부산시 해운대구 재송동,2635010400,1076-14,부산시 해운대구 재송1로32번길 22,35.186786,129.122484,20,0,5,5,401,79,5,디엠종합건설(주),HT001,21.7,16.06,74,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
1,골든파라다이스(도시형),22B㎡,부산시 해운대구 재송동,2635010400,1076-14,부산시 해운대구 재송1로32번길 22,35.186786,129.122484,20,0,5,5,401,79,5,디엠종합건설(주),HT001,22.04,16.31,74,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
2,골든파라다이스(도시형),30,부산시 해운대구 재송동,2635010400,1076-14,부산시 해운대구 재송1로32번길 22,35.186786,129.122484,20,0,5,5,401,79,5,디엠종합건설(주),HT001,30.2,22.34,74,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,금호,76A㎡,부산시 해운대구 재송동,2635010400,1041-3,부산시 해운대구 재반로 141,35.191249,129.127194,477,0,22,5,339,26,332,(주)금호개발,HT001,76.35,58.77,77,3,1,21,복합식,,,,,,,,,108181,107926,,,,,,,,,,,,
1,금호,77B㎡,부산시 해운대구 재송동,2635010400,1041-3,부산시 해운대구 재반로 141,35.191249,129.127194,477,0,22,5,339,26,332,(주)금호개발,HT001,77.53,59.67,77,3,1,20,계단식,,,,,,,,,109838,109579,,,,,,,,,,,,
2,금호,81㎡,부산시 해운대구 재송동,2635010400,1041-3,부산시 해운대구 재반로 141,35.191249,129.127194,477,0,22,5,339,26,332,(주)금호개발,HT001,81.16,59.95,74,3,1,173,복합식,,,,,,,,,110363,110102,,"1억 6,000","1억 4,000","1억 5,000",,,,,,,,
3,금호,96㎡,부산시 해운대구 재송동,2635010400,1041-3,부산시 해운대구 재반로 141,35.191249,129.127194,477,0,22,5,339,26,332,(주)금호개발,HT001,96.72,74.44,77,3,1,189,복합식,,,,,,,,,137036,136712,"2억 1,000","2억 4,700",,,,,,,,,,
4,금호,110,부산시 해운대구 재송동,2635010400,1041-3,부산시 해운대구 재반로 141,35.191249,129.127194,477,0,22,5,339,26,332,(주)금호개발,HT001,110.27,84.87,77,3,2,74,복합식,,,,,,,,,156226,155856,,"2억 6,000",,,,,,,,,,
0,"남성선파크타운(1,2동)",56㎡,부산시 해운대구 재송동,2635010400,1151-2,부산시 해운대구 재송2로 17,35.193001,129.130743,180,0,6,6,0,0,0,남성건설,HT001,56.19,49.95,89,2,1,48,계단식,16718,66871,3344,46809,0,0,0,,,,"1억 2,000","1억 4,000",,,,,,,,,,
1,"남성선파크타운(1,2동)",62㎡,부산시 해운대구 재송동,2635010400,1151-2,부산시 해운대구 재송2로 17,35.193001,129.130743,180,0,6,6,0,0,0,남성건설,HT001,62.34,56.1,90,3,1,48,계단식,20588,82351,4118,57645,0,0,0,,,,,"1억 5,000",,,,,,,,,,
2,"남성선파크타운(1,2동)",71㎡,부산시 해운대구 재송동,2635010400,1151-2,부산시 해운대구 재송2로 17,35.193001,129.130743,180,0,6,6,0,0,0,남성건설,HT001,71.69,65.45,91,3,1,48,계단식,23400,93600,4680,65520,0,0,0,,,,,,,,,,,,,,,
3,"남성선파크타운(1,2동)",76,부산시 해운대구 재송동,2635010400,1151-2,부산시 해운대구 재송2로 17,35.193001,129.130743,180,0,6,6,0,0,0,남성건설,HT001,76.85,70.61,92,3,1,36,계단식,27000,108000,5400,75600,0,0,0,,,,,,,,,,,,,,,
0,"남성선파크타운(3,4동)",48㎡,부산시 해운대구 재송동,2635010400,1164,부산시 해운대구 재송2로23번길 36,35.192808,129.132146,126,0,6,6,0,0,0,,HT001,48.29,42.05,87,2,1,18,계단식,13388,53551,2678,37485,0,0,0,,,,,,,,,,,,,,,
1,"남성선파크타운(3,4동)",69㎡,부산시 해운대구 재송동,2635010400,1164,부산시 해운대구 재송2로23번길 36,35.192808,129.132146,126,0,6,6,0,0,0,,HT001,69.27,56.79,82,2,1,66,계단식,20588,82351,4118,57645,0,0,0,,,,,,,"8,000",,,,,,,,
2,"남성선파크타운(3,4동)",71,부산시 해운대구 재송동,2635010400,1164,부산시 해운대구 재송2로23번길 36,35.192808,129.132146,126,0,6,6,0,0,0,,HT001,71.69,65.45,91,2,1,42,계단식,23400,93600,4680,65520,0,0,0,,,,,,"8,000",1억,,,,,,,,
0,"남성선파크타운(5,6동)",48㎡,부산시 해운대구 재송동,2635010400,1163-1,부산시 해운대구 재송2로23번길 50,35.192992,129.13272,180,0,6,6,0,0,0,,HT001,48.29,42.05,87,2,1,96,계단식,13388,53551,2678,37485,0,0,0,,,,"7,500","8,500",,,500/30,"1,000/25",500/30,"1,000/25",,,,
