,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,JS타운1(도시형),19A㎡,부산시 해운대구 중동,2635010600,1323-3,부산시 해운대구 좌동로14번길 22,35.167612,129.170454,28,0,5,5,191,59,8,(주)현종종합건설,HT001,19.55,14.39,74,1,1,2,계단식,18000,46800,3600,25200,0,0,0,,,,,,,,,,,,,,,
1,JS타운1(도시형),20B㎡,부산시 해운대구 중동,2635010600,1323-3,부산시 해운대구 좌동로14번길 22,35.167612,129.170454,28,0,5,5,191,59,8,(주)현종종합건설,HT001,20.16,14.84,74,1,1,10,계단식,18600,48360,3720,26040,0,0,0,,,,,,,,,,,,,,,
2,JS타운1(도시형),20C㎡,부산시 해운대구 중동,2635010600,1323-3,부산시 해운대구 좌동로14번길 22,35.167612,129.170454,28,0,5,5,191,59,8,(주)현종종합건설,HT001,20.62,15.18,74,1,1,2,계단식,19140,49764,3828,26796,0,0,0,,,,,,,,,,,,,,,
3,JS타운1(도시형),22A㎡,부산시 해운대구 중동,2635010600,1323-3,부산시 해운대구 좌동로14번길 22,35.167612,129.170454,28,0,5,5,191,59,8,(주)현종종합건설,HT001,22.79,16.77,74,1,1,2,계단식,20880,54288,4176,29232,0,0,0,,,,,,,,,,,,,,,
4,JS타운1(도시형),23B㎡,부산시 해운대구 중동,2635010600,1323-3,부산시 해운대구 좌동로14번길 22,35.167612,129.170454,28,0,5,5,191,59,8,(주)현종종합건설,HT001,23.32,17.16,74,1,1,4,계단식,21540,56004,4308,30156,0,0,0,,,,,,,,,,,,,,,
5,JS타운1(도시형),23C㎡,부산시 해운대구 중동,2635010600,1323-3,부산시 해운대구 좌동로14번길 22,35.167612,129.170454,28,0,5,5,191,59,8,(주)현종종합건설,HT001,23.1,17,74,1,1,2,계단식,21480,55848,4296,30072,0,0,0,,,,,,,,,,,,,,,
6,JS타운1(도시형),24D,부산시 해운대구 중동,2635010600,1323-3,부산시 해운대구 좌동로14번길 22,35.167612,129.170454,28,0,5,5,191,59,8,(주)현종종합건설,HT001,24.73,18.2,74,1,1,6,계단식,22680,58968,4536,31752,0,0,0,,,,,,,,,,,,,,,
0,경동메르빌골드,124㎡,부산시 해운대구 중동,2635010600,1507-4,부산시 해운대구 달맞이길65번길 89,35.15894,129.17607,46,0,6,5,180,45,86,경동건설(주),HT001,124.43,101.59,82,3,2,10,계단식,224100,551790,44820,282870,0,0,0,,,,,"8억 5,000",,,,,,,,,,
1,경동메르빌골드,128㎡,부산시 해운대구 중동,2635010600,1507-4,부산시 해운대구 달맞이길65번길 89,35.15894,129.17607,46,0,6,5,180,45,86,경동건설(주),HT001,128.75,107.08,83,3,2,12,계단식,246600,594540,49320,298620,0,0,0,,,,,"8억 8,000",,3억,"3,000/180",1억/120,"3,000/180",1억/120,,,,
2,경동메르빌골드,161㎡,부산시 해운대구 중동,2635010600,1507-4,부산시 해운대구 달맞이길65번길 89,35.15894,129.17607,46,0,6,5,180,45,86,경동건설(주),HT001,161.82,140.13,87,4,2,12,계단식,289800,676620,57960,328860,0,0,0,,,,,,,,,,,,,,,
3,경동메르빌골드,184,부산시 해운대구 중동,2635010600,1507-4,부산시 해운대구 달맞이길65번길 89,35.15894,129.17607,46,0,6,5,180,45,86,경동건설(주),HT001,184.26,161.74,88,4,2,12,계단식,360900,811710,72180,378630,0,0,0,,,,,"8억 5,000",,,,2억/150,,2억/150,,,,
0,공림비치힐,88㎡,부산시 해운대구 중동,2635010600,1497-3,부산시 해운대구 달맞이길117번다길 54,35.159273,129.177912,12,0,6,6,184,35,14,공림건설 주식회사,HT001,88.77,73.31,83,3,2,1,계단식,35250,133650,7050,91350,0,0,0,,,,,,,,,,,,,,,
1,공림비치힐,96㎡,부산시 해운대구 중동,2635010600,1497-3,부산시 해운대구 달맞이길117번다길 54,35.159273,129.177912,12,0,6,6,184,35,14,공림건설 주식회사,HT001,96.5,79.69,83,3,2,1,계단식,48750,168750,9750,110250,0,0,0,,,,,,,,,,,,,,,
2,공림비치힐,102,부산시 해운대구 중동,2635010600,1497-3,부산시 해운대구 달맞이길117번다길 54,35.159273,129.177912,12,0,6,6,184,35,14,공림건설 주식회사,HT001,102.07,84.29,83,3,2,10,계단식,53700,181620,10740,117180,0,0,0,,,,,"4억 5,000",,,,,,,,,,
0,그린힐1차,78㎡,부산시 해운대구 중동,2635010600,1480-5,부산시 해운대구 달맞이길 221,35.160446,129.183778,17,0,6,5,296,51,18,(주)종합건설에스엘에이,HT001,78.84,65.37,83,3,1,10,계단식,86550,267030,17310,163170,0,0,0,,,,"3억 9,000","4억 2,000",,"2억 5,000",,"1,000/100",,"1,000/100",,,,
1,그린힐1차,87㎡,부산시 해운대구 중동,2635010600,1480-5,부산시 해운대구 달맞이길 221,35.160446,129.183778,17,0,6,5,296,51,18,(주)종합건설에스엘에이,HT001,87.36,72.44,83,3,2,5,계단식,97800,296280,19560,178920,0,0,0,,,,5억,"5억 5,000",,,,,,,,,,
