,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,강서월드메르디앙,76㎡,서울시 강서구 내발산동,1150010600,659-1,서울시 강서구 공항대로42길 54-26,37.556402,126.842864,160,0,15,10,249,25,247,월드건설(주),HT001,76.21,59.6,78,3,2,20,계단식,266400,632160,53280,312480,0,0,0,,151389,161739,,,,,,,,,,,,
1,강서월드메르디앙,107㎡,서울시 강서구 내발산동,1150010600,659-1,서울시 강서구 공항대로42길 54-26,37.556402,126.842864,160,0,15,10,249,25,247,월드건설(주),HT001,107.48,84.89,79,3,2,111,계단식,407700,900630,81540,411390,0,0,0,,215632,230374,9억,11억,,,2억/120,"3억 5,000/120",2억/120,"3억 5,000/120",,,,
2,강서월드메르디앙,141,서울시 강서구 내발산동,1150010600,659-1,서울시 강서구 공항대로42길 54-26,37.556402,126.842864,160,0,15,10,249,25,247,월드건설(주),HT001,141.38,112.69,80,4,2,29,계단식,546525,1126440,109305,470610,0,0,0,,286240,305810,"9억 9,500",13억,,,,,,,,,,
0,강성레스트빌,74A㎡,서울시 강서구 내발산동,1150010600,717-20,서울시 강서구 강서로45라길 52,37.549906,126.834692,36,0,11,7,239,30,41,강성종합건설(주),HT001,74.88,59.09,79,3,2,11,계단식,104100,312660,20820,187740,0,0,0,,,,,,,,,,,,,,,
1,강성레스트빌,76B㎡,서울시 강서구 내발산동,1150010600,717-20,서울시 강서구 강서로45라길 52,37.549906,126.834692,36,0,11,7,239,30,41,강성종합건설(주),HT001,76.22,59.92,79,3,2,2,계단식,105900,317340,21180,190260,0,0,0,,,,,,,,,,,,,,,
2,강성레스트빌,89㎡,서울시 강서구 내발산동,1150010600,717-20,서울시 강서구 강서로45라길 52,37.549906,126.834692,36,0,11,7,239,30,41,강성종합건설(주),HT001,89.43,71.32,80,3,2,3,계단식,131400,375660,26280,217980,0,0,0,,,,,,,,,,,,,,,
3,강성레스트빌,106,서울시 강서구 내발산동,1150010600,717-20,서울시 강서구 강서로45라길 52,37.549906,126.834692,36,0,11,7,239,30,41,강성종합건설(주),HT001,106.07,84.76,80,3,2,20,계단식,211500,527850,42300,274050,0,0,0,,,,"6억 8,000",7억,,,,,,,,,,
0,광남,59㎡,서울시 강서구 내발산동,1150010600,719,서울시 강서구 강서로45나길 60,37.550746,126.835754,18,0,7,7,269,55,19,광남건설주식회사,HT001,59.36,52.03,88,2,1,1,복도식,58200,193320,11640,123480,0,0,0,,,,,,,,,,,,,,,
1,광남,80A㎡,서울시 강서구 내발산동,1150010600,719,서울시 강서구 강서로45나길 60,37.550746,126.835754,18,0,7,7,269,55,19,광남건설주식회사,HT001,80.11,70.21,88,3,2,1,복도식,85650,264690,17130,161910,0,0,0,,,,,,,,,,,,,,,
2,광남,81A㎡,서울시 강서구 내발산동,1150010600,719,서울시 강서구 강서로45나길 60,37.550746,126.835754,18,0,7,7,269,55,19,광남건설주식회사,HT001,81.22,71.18,88,3,2,1,복도식,89250,274050,17850,166950,0,0,0,,,,,,,,,,,,,,,
3,광남,89㎡,서울시 강서구 내발산동,1150010600,719,서울시 강서구 강서로45나길 60,37.550746,126.835754,18,0,7,7,269,55,19,광남건설주식회사,HT001,89.48,78.42,88,3,2,1,복도식,98700,298620,19740,180180,0,0,0,,,,,,,,,,,,,,,
4,광남,91㎡,서울시 강서구 내발산동,1150010600,719,서울시 강서구 강서로45나길 60,37.550746,126.835754,18,0,7,7,269,55,19,광남건설주식회사,HT001,91.8,80.45,88,3,2,1,복도식,99600,300960,19920,181440,0,0,0,,,,,,,,,,,,,,,
5,광남,95A㎡,서울시 강서구 내발산동,1150010600,719,서울시 강서구 강서로45나길 60,37.550746,126.835754,18,0,7,7,269,55,19,광남건설주식회사,HT001,95.72,83.9,88,3,2,5,복도식,109050,325530,21810,194670,0,0,0,,,,,,,,,,,,,,,
6,광남,96B㎡,서울시 강서구 내발산동,1150010600,719,서울시 강서구 강서로45나길 60,37.550746,126.835754,18,0,7,7,269,55,19,광남건설주식회사,HT001,96.83,84.87,88,3,2,4,복도식,109050,325530,21810,194670,0,0,0,,,,,,,,,,,,,,,
7,광남,96C,서울시 강서구 내발산동,1150010600,719,서울시 강서구 강서로45나길 60,37.550746,126.835754,18,0,7,7,269,55,19,광남건설주식회사,HT001,96.86,84.9,88,3,2,4,복도식,109050,325530,21810,194670,0,0,0,,,,,,,,,,,,,,,
0,그린,86㎡,서울시 강서구 내발산동,1150010600,708-1,서울시 강서구 강서로47가길 24,37.551652,126.835389,19,0,7,5,202,37,25,석재종합건설(주),HT001,86.73,76.32,88,3,2,4,계단식,107250,320850,21450,192150,0,0,0,,,,,,,,,,,,,,,
1,그린,95㎡,서울시 강서구 내발산동,1150010600,708-1,서울시 강서구 강서로47가길 24,37.551652,126.835389,19,0,7,5,202,37,25,석재종합건설(주),HT001,95.19,83.76,88,3,2,4,계단식,113550,337230,22710,200970,0,0,0,,,,,,,,,,,,,,,
2,그린,96㎡,서울시 강서구 내발산동,1150010600,708-1,서울시 강서구 강서로47가길 24,37.551652,126.835389,19,0,7,5,202,37,25,석재종합건설(주),HT001,96.45,84.87,88,3,2,5,계단식,118050,348930,23610,207270,0,0,0,,,,,,,,,,,,,,,
3,그린,122㎡,서울시 강서구 내발산동,1150010600,708-1,서울시 강서구 강서로47가길 24,37.551652,126.835389,19,0,7,5,202,37,25,석재종합건설(주),HT001,122.49,107.79,88,4,2,5,계단식,145800,403020,29160,228060,0,0,0,,,,,,,,,,,,,,,
4,그린,194,서울시 강서구 내발산동,1150010600,708-1,서울시 강서구 강서로47가길 24,37.551652,126.835389,19,0,7,5,202,37,25,석재종합건설(주),HT001,194.46,154.74,80,5,2,1,계단식,197100,500490,39420,263970,0,0,0,,,,,,,,,,,,,,,
0,그린씨티,55㎡,서울시 강서구 내발산동,1150010600,716-16,서울시 강서구 강서로47라길 79,37.54968,126.83321,35,0,7,7,242,42,38,그린씨티종합건설,HT001,55.31,44.04,80,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,그린씨티,66㎡,서울시 강서구 내발산동,1150010600,716-16,서울시 강서구 강서로47라길 79,37.54968,126.83321,35,0,7,7,242,42,38,그린씨티종합건설,HT001,66.67,53.85,81,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,그린씨티,75㎡,서울시 강서구 내발산동,1150010600,716-16,서울시 강서구 강서로47라길 79,37.54968,126.83321,35,0,7,7,242,42,38,그린씨티종합건설,HT001,75.94,61.52,81,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
3,그린씨티,88㎡,서울시 강서구 내발산동,1150010600,716-16,서울시 강서구 강서로47라길 79,37.54968,126.83321,35,0,7,7,242,42,38,그린씨티종합건설,HT001,88.35,71.17,81,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,그린씨티,100A㎡,서울시 강서구 내발산동,1150010600,716-16,서울시 강서구 강서로47라길 79,37.54968,126.83321,35,0,7,7,242,42,38,그린씨티종합건설,HT001,100.84,81.79,81,3,2,5,계단식,,,,,,,,,,,,,,,,,,,,,,
5,그린씨티,100C㎡,서울시 강서구 내발산동,1150010600,716-16,서울시 강서구 강서로47라길 79,37.54968,126.83321,35,0,7,7,242,42,38,그린씨티종합건설,HT001,100.64,81.91,81,3,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
6,그린씨티,103B,서울시 강서구 내발산동,1150010600,716-16,서울시 강서구 강서로47라길 79,37.54968,126.83321,35,0,7,7,242,42,38,그린씨티종합건설,HT001,103.81,84.57,81,3,2,20,계단식,,,,,,,,,,,,,,,,,,,,,,
0,금강,71A㎡,서울시 강서구 내발산동,1150010600,715-5,서울시 강서구 강서로45라길 15,37.54874,126.83372,37,0,8,7,284,40,37,광성토건주식회사,HT001,71.76,49.19,69,3,1,1,복도식,85200,263520,17040,161280,0,0,0,,,,,,,,,,,,,,,
1,금강,73B㎡,서울시 강서구 내발산동,1150010600,715-5,서울시 강서구 강서로45라길 15,37.54874,126.83372,37,0,8,7,284,40,37,광성토건주식회사,HT001,73,50.2,69,3,1,1,복도식,85200,263520,17040,161280,0,0,0,,,,,,,,,,,,,,,
2,금강,85㎡,서울시 강서구 내발산동,1150010600,715-5,서울시 강서구 강서로45라길 15,37.54874,126.83372,37,0,8,7,284,40,37,광성토건주식회사,HT001,85.97,59.17,69,3,1,2,복도식,118950,351270,23790,208530,0,0,0,,,,,,,,,,,,,,,
3,금강,92㎡,서울시 강서구 내발산동,1150010600,715-5,서울시 강서구 강서로45라길 15,37.54874,126.83372,37,0,8,7,284,40,37,광성토건주식회사,HT001,92.84,64.11,69,3,2,24,복도식,123300,360270,24660,212310,0,0,0,,,,"5억 5,000","5억 7,000",,,,,,,,,,
