,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,드림시드,102㎡,서울시 성동구 사근동,1120010600,198-1,서울시 성동구 사근동10길 7,37.561142,127.048635,20,0,10,10,292,38,30,,HT001,102.45,84.97,83,3,2,9,계단식,129600,372240,25920,216720,0,0,0,,,,,,,,,,,,,,,
1,드림시드,120㎡,서울시 성동구 사근동,1120010600,198-1,서울시 성동구 사근동10길 7,37.561142,127.048635,20,0,10,10,292,38,30,,HT001,120.01,100.16,83,3,2,1,계단식,114450,339570,22890,202230,0,0,0,,,,,,,,,,,,,,,
2,드림시드,143㎡,서울시 성동구 사근동,1120010600,198-1,서울시 성동구 사근동10길 7,37.561142,127.048635,20,0,10,10,292,38,30,,HT001,143.39,119.67,83,4,2,1,계단식,137700,387630,27540,222390,0,0,0,,,,,,,,,,,,,,,
3,드림시드,151,서울시 성동구 사근동,1120010600,198-1,서울시 성동구 사근동10길 7,37.561142,127.048635,20,0,10,10,292,38,30,,HT001,151.34,126.71,84,6,2,9,계단식,184500,476550,36900,255150,0,0,0,,,,,,,,,,,,,,,
0,사근벽산,31㎡,서울시 성동구 사근동,1120010600,314,서울시 성동구 살곶이길 176,37.560626,127.049578,133,0,19,2,373,25,137,"벽산개발(주),이연건설(주)",HT001,31.35,20.87,67,1,1,1,계단식,28800,115200,5760,80640,0,0,0,,,,,,,,,,,,,,,
1,사근벽산,80㎡,서울시 성동구 사근동,1120010600,314,서울시 성동구 살곶이길 176,37.560626,127.049578,133,0,19,2,373,25,137,"벽산개발(주),이연건설(주)",HT001,80.58,59.84,74,3,1,39,계단식,253800,608220,50760,303660,0,0,0,,,,"6억 3,000","7억 5,000",,"4억 5,000",,,,,,,,
2,사근벽산,108㎡,서울시 성동구 사근동,1120010600,314,서울시 성동구 살곶이길 176,37.560626,127.049578,133,0,19,2,373,25,137,"벽산개발(주),이연건설(주)",HT001,108.08,84.8,78,3,2,76,계단식,315900,726210,63180,347130,0,0,0,,,,8억,"9억 5,000",,,,,,,,,,
3,사근벽산,127,서울시 성동구 사근동,1120010600,314,서울시 성동구 살곶이길 176,37.560626,127.049578,133,0,19,2,373,25,137,"벽산개발(주),이연건설(주)",HT001,127.51,84.88,67,4,2,17,계단식,352800,796320,70560,372960,0,0,0,,,,,,,,,,,,,,,
0,"어반큐브(민간임대,도시형)",25㎡,서울시 성동구 사근동,1120010600,231-28,서울시 성동구 살곶이길 152,37.562651,127.048582,94,94,7,6,228,45,52,(주)평화건설,HT001,25.18,17.81,71,1,1,55,계단식,32550,126630,6510,87570,0,0,0,,,,,,,,,,,,,,,
1,"어반큐브(민간임대,도시형)",50,서울시 성동구 사근동,1120010600,231-28,서울시 성동구 살곶이길 152,37.562651,127.048582,94,94,7,6,228,45,52,(주)평화건설,HT001,50.17,35.49,71,2,1,39,계단식,75750,238950,15150,148050,0,0,0,,,,,,,,,,,,,,,
