,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,금호현대,81㎡,서울시 성동구 응봉동,1120010800,98,서울시 성동구 독서당로 377,37.551418,127.030897,644,0,14,10,213,0,515,현대산업개발(주),HT001,81.05,59.91,74,2,1,176,복도식,400500,886950,80100,406350,0,0,0,,151903,171051,"8억 3,000","9억 5,000","3억 4,650","4억 8,000",,,,,,,,
1,금호현대,104㎡,서울시 성동구 응봉동,1120010800,98,서울시 성동구 독서당로 377,37.551418,127.030897,644,0,14,10,213,0,515,현대산업개발(주),HT001,104.56,79.8,76,3,1,336,복도식,617400,1239840,123480,498960,0,0,0,,202334,227840,10억,12억,,,,,,,,,,
2,금호현대,143,서울시 성동구 응봉동,1120010800,98,서울시 성동구 독서당로 377,37.551418,127.030897,644,0,14,10,213,0,515,현대산업개발(주),HT001,143.97,120,83,4,2,132,계단식,691425,1358280,138285,528570,0,0,0,,304261,342616,12억,"13억 5,000",6억,"7억 2,000",,,,,,,,
0,대림1차,85㎡,서울시 성동구 응봉동,1120010800,100,서울시 성동구 독서당로62길 43,37.55179,127.033,855,0,15,15,208,0,855,대림산업(주),HT002,85.02,63.18,74,2,1,75,복도식,636300,1270080,127260,506520,0,0,0,,292430,175281,11억,12억,3억,"4억 5,000",,2억/80,,2억/80,,,,
1,대림1차,103㎡,서울시 성동구 응봉동,1120010800,100,서울시 성동구 독서당로62길 43,37.55179,127.033,855,0,15,15,208,0,855,대림산업(주),HT002,103.06,75.51,73,3,1,360,복도식,759150,1466640,151830,555660,0,0,0,,349499,209488,,13억,,"4억 7,000",,,,,,,,
2,대림1차,133㎡,서울시 성동구 응봉동,1120010800,100,서울시 성동구 독서당로62길 43,37.55179,127.033,855,0,15,15,208,0,855,대림산업(주),HT002,133.53,113.71,85,4,2,270,계단식,1386000,2368800,277200,705600,60480,50400,10080,,526309,315466,,14억,"5억 8,000",8억,,2억/240,,2억/240,,,,
3,대림1차,147,서울시 성동구 응봉동,1120010800,100,서울시 성동구 독서당로62길 43,37.55179,127.033,855,0,15,15,208,0,855,대림산업(주),HT002,147.53,126.66,86,4,2,150,계단식,1402200,2393910,280440,711270,87696,73080,14616,,586248,351393,,"17억 5,000",,8억,,,,,,,,
0,대림2차,81㎡,서울시 성동구 응봉동,1120010800,97,서울시 성동구 독서당로 431,37.552908,127.032326,410,0,15,13,231,19,369,대림산업(주),HT001,81.29,59.91,74,2,1,156,복도식,404100,893790,80820,408870,0,0,0,,162623,168375,"8억 2,000",11억,,"3억 9,000",,,,,,,,
1,대림2차,112,서울시 성동구 응봉동,1120010800,97,서울시 성동구 독서당로 431,37.552908,127.032326,410,0,15,13,231,19,369,대림산업(주),HT001,112.45,84.53,75,3,1,254,복도식,557550,1144080,111510,475020,0,0,0,,229453,237568,10억,12억,,"4억 9,000",,,,,,,,
0,대림강변타운,79A㎡,서울시 성동구 응봉동,1120010800,15,서울시 성동구 고산자로 160,37.553695,127.036017,1150,0,23,19,295,19,1349,대림산업(주),HT001,79.8,59.76,75,3,1,240,계단식,617400,1239840,123480,498960,0,0,0,,152080,148842,"10억 1,000",12억,,,1억/200,2억/130,1억/200,2억/130,,,,
1,대림강변타운,79B㎡,서울시 성동구 응봉동,1120010800,15,서울시 성동구 고산자로 160,37.553695,127.036017,1150,0,23,19,295,19,1349,대림산업(주),HT001,79.8,59.76,75,2,1,240,계단식,617400,1239840,123480,498960,0,0,0,,152080,148842,10억,"11억 5,000",,"5억 2,000",,2억/150,,2억/150,,,,
2,대림강변타운,107㎡,서울시 성동구 응봉동,1120010800,15,서울시 성동구 고산자로 160,37.553695,127.036017,1150,0,23,19,295,19,1349,대림산업(주),HT001,107.73,84.42,78,3,2,441,계단식,1193400,2070270,238680,638190,0,0,0,,214836,210261,14억,"15억 5,000",7억,"7억 5,000",,,,,,,,
3,대림강변타운,142S㎡,서울시 성동구 응봉동,1120010800,15,서울시 성동구 고산자로 160,37.553695,127.036017,1150,0,23,19,295,19,1349,대림산업(주),HT001,142.53,114.88,81,4,2,137,계단식,1492200,2533410,298440,742770,238896,199080,39816,,292352,286127,,17억,,"10억 5,000",,2억/260,,2억/260,,,,
4,대림강변타운,142N,서울시 성동구 응봉동,1120010800,15,서울시 성동구 고산자로 160,37.553695,127.036017,1150,0,23,19,295,19,1349,대림산업(주),HT001,142.04,114.88,81,4,2,92,계단식,1513800,2566890,302760,750330,275184,229320,45864,,292352,286127,,,,"10억 5,000",,,,,,,,
0,서울숲리버그린동아,81㎡,서울시 성동구 응봉동,1120010800,276,서울시 성동구 고산자로4길 34,37.5535,127.037581,375,0,25,9,295,19,417,동아건설산업(주),HT001,81.69,59.98,73,3,2,162,계단식,526050,1093680,105210,462420,0,0,0,,167030,170333,10억,"11억 2,000","5억 5,000",6억,"1억 5,000/170",2억/150,"1억 5,000/170",2억/150,,,,
1,서울숲리버그린동아,107C㎡,서울시 성동구 응봉동,1120010800,276,서울시 성동구 고산자로4길 34,37.5535,127.037581,375,0,25,9,295,19,417,동아건설산업(주),HT001,107.97,84.65,78,3,2,46,계단식,1119600,1955880,223920,612360,0,0,0,,235731,240392,,,,"6억 5,000",,,,,,,,
2,서울숲리버그린동아,108N㎡,서울시 성동구 응봉동,1120010800,276,서울시 성동구 고산자로4길 34,37.5535,127.037581,375,0,25,9,295,19,417,동아건설산업(주),HT001,108.21,84.83,78,3,2,96,계단식,1119600,1955880,223920,612360,0,0,0,,236233,240903,"11억 2,000",14억,,,,,,,,,,
3,서울숲리버그린동아,141,서울시 성동구 응봉동,1120010800,276,서울시 성동구 고산자로4길 34,37.5535,127.037581,375,0,25,9,295,19,417,동아건설산업(주),HT001,141.57,114.86,81,4,2,71,계단식,1384200,2366010,276840,704970,57456,47880,9576,,319859,326183,"15억 5,000","19억 5,000","6억 5,000",10억,2억/240,"2억 5,000/230",2억/240,"2억 5,000/230",,,,
0,신동아,81㎡,서울시 성동구 응봉동,1120010800,275,서울시 성동구 독서당로 375,37.54981,127.029299,434,0,15,12,282,26,377,신동아건설(주),HT001,81.64,59.97,73,2,1,210,복도식,403200,892080,80640,408240,0,0,0,,184076,186044,"7억 2,000","10억 6,000",,5억,,,,,,,,
1,신동아,97A㎡,서울시 성동구 응봉동,1120010800,275,서울시 성동구 독서당로 375,37.54981,127.029299,434,0,15,12,282,26,377,신동아건설(주),HT001,97.4,76.67,79,3,1,24,복도식,500850,1053360,100170,452340,0,0,0,,235337,237852,"8억 5,000","11억 9,000",,,,,,,,,,
2,신동아,97B㎡,서울시 성동구 응봉동,1120010800,275,서울시 성동구 독서당로 375,37.54981,127.029299,434,0,15,12,282,26,377,신동아건설(주),HT001,97.49,76.76,79,3,1,24,복도식,500850,1053360,100170,452340,0,0,0,,235613,238131,,"11억 3,000",,,,,,,,,,
3,신동아,103㎡,서울시 성동구 응봉동,1120010800,275,서울시 성동구 독서당로 375,37.54981,127.029299,434,0,15,12,282,26,377,신동아건설(주),HT001,103.65,84.81,82,3,2,148,계단식,620550,1244880,124110,500220,0,0,0,,260322,263104,"9억 9,000","13억 7,000",,,,,,,,,,
4,신동아,136,서울시 성동구 응봉동,1120010800,275,서울시 성동구 독서당로 375,37.54981,127.029299,434,0,15,12,282,26,377,신동아건설(주),HT001,136.39,114.72,84,4,2,28,계단식,675675,1333080,135135,522270,0,0,0,,352130,355893,,"12억 5,000",,,,,,,,,,
