,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,더프라임(주상복합),22A㎡,서울시 성북구 동선동1가,1129011600,124,서울시 성북구 동소문로20가길 54,37.593598,127.019036,15,0,7,7,280,59,9,(주)포스트건설산업,HT001,22.37,16.94,76,1,1,6,계단식,,,,,,,,,,,,,,"2억 1,000",,,,,,,,
1,더프라임(주상복합),23B㎡,서울시 성북구 동선동1가,1129011600,124,서울시 성북구 동소문로20가길 54,37.593598,127.019036,15,0,7,7,280,59,9,(주)포스트건설산업,HT001,23.68,17.93,76,1,1,6,계단식,,,,,,,,,,,,,,,,,,,,,,
2,더프라임(주상복합),34,서울시 성북구 동선동1가,1129011600,124,서울시 성북구 동소문로20가길 54,37.593598,127.019036,15,0,7,7,280,59,9,(주)포스트건설산업,HT001,34.12,25.84,76,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
0,바로세움원(도시형),19A㎡,서울시 성북구 동선동1가,1129011600,121-5,서울시 성북구 동소문로24길 13-9,37.59334,127.018991,27,0,8,8,353,59,7,주식회사 윤보종합건설,HT001,19.32,12.17,63,1,1,3,복도식,,,,,,,,,,,,,,,,,,,,,,
1,바로세움원(도시형),20B,서울시 성북구 동선동1가,1129011600,121-5,서울시 성북구 동소문로24길 13-9,37.59334,127.018991,27,0,8,8,353,59,7,주식회사 윤보종합건설,HT001,20.65,12.99,63,1,1,24,복도식,,,,,,,,,,,,,,,,,,,,,,
0,코아루센타시아(주상복합),101A㎡,서울시 성북구 동선동1가,1129011600,121-6,서울시 성북구 동소문로20나길 47,37.592894,127.018968,56,0,11,11,390,58,106,동일건설(주),HT001,101.36,84.15,83,3,2,14,계단식,,,,,,,,,,,,"8억 3,000",,,,,,,,,,
1,코아루센타시아(주상복합),101B㎡,서울시 성북구 동선동1가,1129011600,121-6,서울시 성북구 동소문로20나길 47,37.592894,127.018968,56,0,11,11,390,58,106,동일건설(주),HT001,101.73,84.46,83,3,2,14,계단식,,,,,,,,,,,"8억 9,000",9억,,,,,,,,,,
2,코아루센타시아(주상복합),136B㎡,서울시 성북구 동선동1가,1129011600,121-6,서울시 성북구 동소문로20나길 47,37.592894,127.018968,56,0,11,11,390,58,106,동일건설(주),HT001,136.13,113.02,83,4,2,14,계단식,,,,,,,,,,,"8억 5,000","9억 5,000",,,,,,,,,,
3,코아루센타시아(주상복합),136A㎡,서울시 성북구 동선동1가,1129011600,121-6,서울시 성북구 동소문로20나길 47,37.592894,127.018968,56,0,11,11,390,58,106,동일건설(주),HT001,136.9,113.66,83,4,2,7,계단식,,,,,,,,,,,,"8억 9,500",,,,,,,,,,
4,코아루센타시아(주상복합),136C,서울시 성북구 동선동1가,1129011600,121-6,서울시 성북구 동소문로20나길 47,37.592894,127.018968,56,0,11,11,390,58,106,동일건설(주),HT001,136.17,113.05,83,4,2,7,계단식,,,,,,,,,,,,10억,,"5억 8,000",,,,,,,,
