,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,경남아너스빌,83㎡,서울시 영등포구 영등포동7가,1156010800,46-1,서울시 영등포구 양산로 177,37.524284,126.902753,600,0,21,18,360,24,706,경남기업(주),HT001,83.99,59.9,71,3,1,248,복도식,342000,775800,68400,365400,0,0,0,,140859,140881,"8억 2,000","10억 2,000","4억 3,000","4억 6,200","5,000/160",1억/140,"5,000/160",1억/140,,,,
1,경남아너스빌,107A㎡,서울시 영등포구 영등포동7가,1156010800,46-1,서울시 영등포구 양산로 177,37.524284,126.902753,600,0,21,18,360,24,706,경남기업(주),HT001,107.91,84.82,79,3,2,42,계단식,595350,1204560,119070,490140,0,0,0,,199460,199491,,11억,,,,,,,,,,
2,경남아너스빌,108B㎡,서울시 영등포구 영등포동7가,1156010800,46-1,서울시 영등포구 양산로 177,37.524284,126.902753,600,0,21,18,360,24,706,경남기업(주),HT001,108.05,84.93,79,3,2,162,계단식,595350,1204560,119070,490140,0,0,0,,199719,199750,"10억 8,000",13억,,"5억 3,000",,,,,,,,
3,경남아너스빌,141,서울시 영등포구 영등포동7가,1156010800,46-1,서울시 영등포구 양산로 177,37.524284,126.902753,600,0,21,18,360,24,706,경남기업(주),HT001,141.02,114.77,81,4,2,148,계단식,740250,1436400,148050,548100,0,0,0,,269890,269932,"13억 5,000",14억,,,,,,,,,,
0,골든빌,37A㎡,서울시 영등포구 영등포동7가,1156010800,80-1,서울시 영등포구 국회대로50길 5-1,37.524883,126.90634,12,0,6,6,284,59,5,,HT001,37.5,28.55,76,1,1,4,계단식,,,,,,,,,,,"2억 6,000","2억 8,000",,,,,,,,,,
1,골든빌,37B㎡,서울시 영등포구 영등포동7가,1156010800,80-1,서울시 영등포구 국회대로50길 5-1,37.524883,126.90634,12,0,6,6,284,59,5,,HT001,37.78,28.76,76,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,골든빌,38,서울시 영등포구 영등포동7가,1156010800,80-1,서울시 영등포구 국회대로50길 5-1,37.524883,126.90634,12,0,6,6,284,59,5,,HT001,38.71,29.47,76,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,골든힐(도시형),34C㎡,서울시 영등포구 영등포동7가,1156010800,94-355,서울시 영등포구 국회대로56길 4,37.524605,126.908784,29,0,10,9,388,57,38,(주)창성종합건설,HT001,34.69,30.34,87,2,1,4,계단식,148200,344160,29640,166320,0,0,0,,,,"3억 3,000","3억 5,000",,,,,,,,,,
1,골든힐(도시형),34B㎡,서울시 영등포구 영등포동7가,1156010800,94-355,서울시 영등포구 국회대로56길 4,37.524605,126.908784,29,0,10,9,388,57,38,(주)창성종합건설,HT001,34.37,29.99,87,1,1,3,계단식,148200,344160,29640,166320,0,0,0,,,,,,,,,,,,,,,
2,골든힐(도시형),34A㎡,서울시 영등포구 영등포동7가,1156010800,94-355,서울시 영등포구 국회대로56길 4,37.524605,126.908784,29,0,10,9,388,57,38,(주)창성종합건설,HT001,34.29,29.92,87,1,1,1,계단식,147300,342240,29460,165480,0,0,0,,,,,,,,,,,,,,,
3,골든힐(도시형),41B㎡,서울시 영등포구 영등포동7가,1156010800,94-355,서울시 영등포구 국회대로56길 4,37.524605,126.908784,29,0,10,9,388,57,38,(주)창성종합건설,HT001,41.81,36.58,87,3,1,4,계단식,159000,367200,31800,176400,0,0,0,,,,,"3억 6,500",,,,,,,,,,
4,골든힐(도시형),41C㎡,서울시 영등포구 영등포동7가,1156010800,94-355,서울시 영등포구 국회대로56길 4,37.524605,126.908784,29,0,10,9,388,57,38,(주)창성종합건설,HT001,41.32,34.97,85,2,1,4,계단식,155400,359520,31080,173040,0,0,0,,,,,,,,,,,,,,,
5,골든힐(도시형),43A㎡,서울시 영등포구 영등포동7가,1156010800,94-355,서울시 영등포구 국회대로56길 4,37.524605,126.908784,29,0,10,9,388,57,38,(주)창성종합건설,HT001,43.72,38.14,87,3,1,3,계단식,162600,374880,32520,179760,0,0,0,,,,,,,,,,,,,,,
6,골든힐(도시형),51㎡,서울시 영등포구 영등포동7가,1156010800,94-355,서울시 영등포구 국회대로56길 4,37.524605,126.908784,29,0,10,9,388,57,38,(주)창성종합건설,HT001,51.28,44.86,87,3,2,4,계단식,177900,407520,35580,194040,0,0,0,,,,"4억 3,000","4억 7,500",,,,,,,,,,
7,골든힐(도시형),51㎡,서울시 영등포구 영등포동7가,1156010800,94-355,서울시 영등포구 국회대로56길 4,37.524605,126.908784,29,0,10,9,388,57,38,(주)창성종합건설,HT001,51.02,44.51,87,2,1,2,계단식,176100,403680,35220,192360,0,0,0,,,,,,,,,,,,,,,
8,골든힐(도시형),55,서울시 영등포구 영등포동7가,1156010800,94-355,서울시 영등포구 국회대로56길 4,37.524605,126.908784,29,0,10,9,388,57,38,(주)창성종합건설,HT001,55.06,46.7,85,3,2,4,계단식,178800,409440,35760,194880,0,0,0,,,,,,,,,,,,,,,
0,근상프리즘(주상복합),105,서울시 영등포구 영등포동7가,1156010800,29-130,서울시 영등포구 국회대로54길 27,37.523261,126.909002,19,0,13,12,398,57,28,(주)근상건설,HT001,105.75,82.79,78,3,2,19,계단식,,,,,,,,,,,,,,,,,,,,,,
0,"글로벌엠제이7(민간임대,도시형)",19A㎡,서울시 영등포구 영등포동7가,1156010800,29-124,서울시 영등포구 국회대로54길 21,37.523606,126.908592,20,20,11,11,399,57,10,(주)글로벌엠제이건설,HT001,19.47,13.95,72,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,"글로벌엠제이7(민간임대,도시형)",19B㎡,서울시 영등포구 영등포동7가,1156010800,29-124,서울시 영등포구 국회대로54길 21,37.523606,126.908592,20,20,11,11,399,57,10,(주)글로벌엠제이건설,HT001,19.53,13.99,72,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,"글로벌엠제이7(민간임대,도시형)",19C㎡,서울시 영등포구 영등포동7가,1156010800,29-124,서울시 영등포구 국회대로54길 21,37.523606,126.908592,20,20,11,11,399,57,10,(주)글로벌엠제이건설,HT001,19.55,14.01,72,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
3,"글로벌엠제이7(민간임대,도시형)",20A㎡,서울시 영등포구 영등포동7가,1156010800,29-124,서울시 영등포구 국회대로54길 21,37.523606,126.908592,20,20,11,11,399,57,10,(주)글로벌엠제이건설,HT001,20.29,14.54,72,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
4,"글로벌엠제이7(민간임대,도시형)",21B,서울시 영등포구 영등포동7가,1156010800,29-124,서울시 영등포구 국회대로54길 21,37.523606,126.908592,20,20,11,11,399,57,10,(주)글로벌엠제이건설,HT001,21.16,15.16,72,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
