,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,DK밸리뷰용산(도시형),33A㎡,서울시 용산구 한강로3가,1117012800,65-231번지 일대,서울시 용산구,37.525025,126.964488,24,0,20,17,0,0,0,(주)디케이건설,HT001,33.41,24.21,72,2,1,4,계단식,,,,,,,,,,,,,,,,1억/150,,1억/150,,,,
1,DK밸리뷰용산(도시형),35C㎡,서울시 용산구 한강로3가,1117012800,65-231번지 일대,서울시 용산구,37.525025,126.964488,24,0,20,17,0,0,0,(주)디케이건설,HT001,35.33,25.6,72,2,1,4,계단식,,,,,,,,,,,,,,"4억 7,000",,"5,000/180",,"5,000/180",,,,
2,DK밸리뷰용산(도시형),35E㎡,서울시 용산구 한강로3가,1117012800,65-231번지 일대,서울시 용산구,37.525025,126.964488,24,0,20,17,0,0,0,(주)디케이건설,HT001,35.43,25.67,72,2,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
3,DK밸리뷰용산(도시형),36B㎡,서울시 용산구 한강로3가,1117012800,65-231번지 일대,서울시 용산구,37.525025,126.964488,24,0,20,17,0,0,0,(주)디케이건설,HT001,36.3,26.3,72,2,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
4,DK밸리뷰용산(도시형),37D,서울시 용산구 한강로3가,1117012800,65-231번지 일대,서울시 용산구,37.525025,126.964488,24,0,20,17,0,0,0,(주)디케이건설,HT001,37,26.81,72,2,1,4,계단식,,,,,,,,,,,,10억,,5억,,,,,,,,
0,GS한강에클라트(주상복합),90㎡,서울시 용산구 한강로3가,1117012800,16-85,서울시 용산구 이촌로 1,37.531529,126.955428,89,0,26,26,748,42,300,GS건설(주),HT001,90.18,68.59,76,2,1,15,복합식,615825,1237320,123165,498330,0,0,0,,,,,,,,,,,,,,,
1,GS한강에클라트(주상복합),104E㎡,서울시 용산구 한강로3가,1117012800,16-85,서울시 용산구 이촌로 1,37.531529,126.955428,89,0,26,26,748,42,300,GS건설(주),HT001,104.82,79.73,76,3,2,14,계단식,615825,1237320,123165,498330,0,0,0,,,,13억,14억,,"6억 5,000",,,,,,,,
2,GS한강에클라트(주상복합),106B㎡,서울시 용산구 한강로3가,1117012800,16-85,서울시 용산구 이촌로 1,37.531529,126.955428,89,0,26,26,748,42,300,GS건설(주),HT001,106.18,80.77,76,3,2,15,계단식,756000,1461600,151200,554400,0,0,0,,,,,13억,,,,,,,,,,
3,GS한강에클라트(주상복합),108D㎡,서울시 용산구 한강로3가,1117012800,16-85,서울시 용산구 이촌로 1,37.531529,126.955428,89,0,26,26,748,42,300,GS건설(주),HT001,108.17,82.28,76,3,2,15,계단식,1121400,1958670,224280,612990,0,0,0,,,,"14억 9,000",15억,,,,,,,,,,
4,GS한강에클라트(주상복합),111C㎡,서울시 용산구 한강로3가,1117012800,16-85,서울시 용산구 이촌로 1,37.531529,126.955428,89,0,26,26,748,42,300,GS건설(주),HT001,111.4,84.73,76,3,2,15,계단식,1215000,2103750,243000,645750,0,0,0,,,,,15억,"6억 5,000","6억 9,000",,"3,000/400",,"3,000/400",,,,
5,GS한강에클라트(주상복합),136,서울시 용산구 한강로3가,1117012800,16-85,서울시 용산구 이촌로 1,37.531529,126.955428,89,0,26,26,748,42,300,GS건설(주),HT001,136.16,103.57,76,3,2,15,계단식,1319400,2265570,263880,682290,0,0,0,,,,,22억,,,,,,,,,,
0,센트럴파크(주상복합),128B㎡,서울시 용산구 한강로3가,1117012800,98,서울시 용산구 서빙고로 17,37.525766,126.967857,1140,194,43,32,805,59,2005,(주)효 성,HT005,128.77,92.91,72,3,2,24,계단식,,,,,,,,,,,25억,"27억 5,000","12억 7,000",13억,1억/600,12억/100,1억/600,12억/100,,,,
1,센트럴파크(주상복합),128C㎡,서울시 용산구 한강로3가,1117012800,98,서울시 용산구 서빙고로 17,37.525766,126.967857,1140,194,43,32,805,59,2005,(주)효 성,HT005,128,92.17,72,3,2,24,계단식,,,,,,,,,,,25억,28억,"12억 5,000","13억 5,000",0/600,12억/100,0/600,12억/100,,,,
2,센트럴파크(주상복합),130A㎡,서울시 용산구 한강로3가,1117012800,98,서울시 용산구 서빙고로 17,37.525766,126.967857,1140,194,43,32,805,59,2005,(주)효 성,HT005,130.47,92.73,71,3,2,24,계단식,,,,,,,,,,,26억,28억,13억,15억,700/700,6억/320,700/700,6억/320,,,,
3,센트럴파크(주상복합),142㎡,서울시 용산구 한강로3가,1117012800,98,서울시 용산구 서빙고로 17,37.525766,126.967857,1140,194,43,32,805,59,2005,(주)효 성,HT005,142.38,102.86,72,3,2,288,계단식,,,,,,,,,,,28억,39억,"14억 7,000",18억,0/670,12억/180,0/670,12억/180,,,,
4,센트럴파크(주상복합),158B㎡,서울시 용산구 한강로3가,1117012800,98,서울시 용산구 서빙고로 17,37.525766,126.967857,1140,194,43,32,805,59,2005,(주)효 성,HT005,158.78,114.5,72,3,2,288,계단식,,,,,,,,,,,32억,47억,15억,24억,0/780,16억/120,0/780,16억/120,,,,
5,센트럴파크(주상복합),160A㎡,서울시 용산구 한강로3가,1117012800,98,서울시 용산구 서빙고로 17,37.525766,126.967857,1140,194,43,32,805,59,2005,(주)효 성,HT005,160.4,114.89,72,3,2,220,계단식,,,,,,,,,,,31억,45억,15억,21억,0/800,15억/180,0/800,15억/180,,,,
6,센트럴파크(주상복합),188㎡,서울시 용산구 한강로3가,1117012800,98,서울시 용산구 서빙고로 17,37.525766,126.967857,1140,194,43,32,805,59,2005,(주)효 성,HT005,188.5,135.38,72,3,2,68,계단식,,,,,,,,,,,"38억 5,000",47억,18억,25억,0/950,10억/600,0/950,10억/600,,,,
7,센트럴파크(주상복합),307P㎡,서울시 용산구 한강로3가,1117012800,98,서울시 용산구 서빙고로 17,37.525766,126.967857,1140,194,43,32,805,59,2005,(주)효 성,HT005,307.04,217.94,71,3,2,2,계단식,,,,,,,,,,,,,,45억,,,,,,,,
8,센트럴파크(주상복합),315P㎡,서울시 용산구 한강로3가,1117012800,98,서울시 용산구 서빙고로 17,37.525766,126.967857,1140,194,43,32,805,59,2005,(주)효 성,HT005,315.67,224.95,71,3,2,6,계단식,,,,,,,,,,,,,,,,,,,,,,
9,센트럴파크(주상복합),334P,서울시 용산구 한강로3가,1117012800,98,서울시 용산구 서빙고로 17,37.525766,126.967857,1140,194,43,32,805,59,2005,(주)효 성,HT005,334.63,237.67,71,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
0,용산시티파크1단지(주상복합),137A㎡,서울시 용산구 한강로3가,1117012800,63-389,서울시 용산구 서빙고로 35,37.525255,126.969487,421,0,43,38,548,29,631,"대우건설,롯데건설",HT002,137.7,114.17,83,3,2,30,계단식,2435400,3995370,487080,1072890,1971792,1643160,328632,,558303,503227,32억,33억,,11억,0/500,1억/500,0/500,1억/500,,,,
1,용산시티파크1단지(주상복합),140B㎡,서울시 용산구 한강로3가,1117012800,63-389,서울시 용산구 서빙고로 35,37.525255,126.969487,421,0,43,38,548,29,631,"대우건설,롯데건설",HT002,140.28,116.31,83,3,2,72,계단식,2647800,4324590,529560,1147230,2498544,2082120,416424,,568768,512660,27억,30억,,12억,,,,,,,,
2,용산시티파크1단지(주상복합),172㎡,서울시 용산구 한강로3가,1117012800,63-389,서울시 용산구 서빙고로 35,37.525255,126.969487,421,0,43,38,548,29,631,"대우건설,롯데건설",HT002,172.91,143.36,83,3,2,31,계단식,3177000,5144850,635400,1332450,3854160,3211800,642360,,701045,631888,,39억,,,,,,,,,,
3,용산시티파크1단지(주상복합),174A㎡,서울시 용산구 한강로3가,1117012800,63-389,서울시 용산구 서빙고로 35,37.525255,126.969487,421,0,43,38,548,29,631,"대우건설,롯데건설",HT002,174.83,144.95,83,3,2,31,계단식,2980800,4840740,596160,1263780,3324384,2770320,554064,,708821,638896,35억,"36억 5,000",,,,,,,,,,
4,용산시티파크1단지(주상복합),176B㎡,서울시 용산구 한강로3가,1117012800,63-389,서울시 용산구 서빙고로 35,37.525255,126.969487,421,0,43,38,548,29,631,"대우건설,롯데건설",HT002,176.74,146.53,83,3,2,74,계단식,3076200,4988610,615240,1297170,3560976,2967480,593496,,716547,645860,,30억,,,0/650,8억/360,0/650,8억/360,,,,
5,용산시티파크1단지(주상복합),176C㎡,서울시 용산구 한강로3가,1117012800,63-389,서울시 용산구 서빙고로 35,37.525255,126.969487,421,0,43,38,548,29,631,"대우건설,롯데건설",HT002,176.77,146.56,83,3,2,74,계단식,3076200,4988610,615240,1297170,3560976,2967480,593496,,716694,645992,30억,35억,,,0/650,10억/650,0/650,10억/650,,,,
6,용산시티파크1단지(주상복합),214㎡,서울시 용산구 한강로3가,1117012800,63-389,서울시 용산구 서빙고로 35,37.525255,126.969487,421,0,43,38,548,29,631,"대우건설,롯데건설",HT002,214.11,177.52,83,3,2,31,계단식,3738600,6015330,747720,1529010,6145488,5121240,1024248,,868092,782455,,50억,,,0/800,2억/850,0/800,2억/850,,,,
7,용산시티파크1단지(주상복합),219㎡,서울시 용산구 한강로3가,1117012800,63-389,서울시 용산구 서빙고로 35,37.525255,126.969487,421,0,43,38,548,29,631,"대우건설,롯데건설",HT002,219.39,181.89,83,3,2,74,계단식,3745800,6026490,749160,1531530,6174864,5145720,1029144,,889461,801717,38억,45억,16억,25억,900/900,13억/200,900/900,13억/200,,,,
8,용산시티파크1단지(주상복합),281㎡,서울시 용산구 한강로3가,1117012800,63-389,서울시 용산구 서빙고로 35,37.525255,126.969487,421,0,43,38,548,29,631,"대우건설,롯데건설",HT002,281.03,233,83,3,3,2,계단식,5391000,8576550,1078200,2107350,13592880,11327400,2265480,,1139395,1026994,,,,,,,,,,,,
9,용산시티파크1단지(주상복합),292,서울시 용산구 한강로3가,1117012800,63-389,서울시 용산구 서빙고로 35,37.525255,126.969487,421,0,43,38,548,29,631,"대우건설,롯데건설",HT002,292.2,242.26,83,3,3,2,계단식,5691600,9042480,1138320,2212560,15300288,12750240,2550048,,1184677,1067809,,,,43억,,,,,,,,
0,용산시티파크2단지(주상복합),142㎡,서울시 용산구 한강로3가,1117012800,63-387,서울시 용산구 서빙고로 31,37.525916,126.969852,208,0,33,29,548,29,430,롯데건설(주),HT002,142.71,117.62,82,3,2,28,계단식,2732400,4455720,546480,1176840,2708352,2256960,451392,,644571,591929,,35억,,,"2,000/490",9억/160,"2,000/490",9억/160,,,,
1,용산시티파크2단지(주상복합),150㎡,서울시 용산구 한강로3가,1117012800,63-387,서울시 용산구 서빙고로 31,37.525916,126.969852,208,0,33,29,548,29,430,롯데건설(주),HT002,150.51,124.05,82,3,2,24,계단식,2851200,4639860,570240,1218420,3002976,2502480,500496,,679808,624288,,34억,,13억,"5,000/550",1억/550,"5,000/550",1억/550,,,,
2,용산시티파크2단지(주상복합),176A㎡,서울시 용산구 한강로3가,1117012800,63-387,서울시 용산구 서빙고로 31,37.525916,126.969852,208,0,33,29,548,29,430,롯데건설(주),HT002,176.72,145.65,82,3,2,27,계단식,3430800,5538240,686160,1421280,4889664,4074720,814944,,798179,732991,,,,17억,650/650,1억/700,650/650,1억/700,,,,
3,용산시티파크2단지(주상복합),176B㎡,서울시 용산구 한강로3가,1117012800,63-387,서울시 용산구 서빙고로 31,37.525916,126.969852,208,0,33,29,548,29,430,롯데건설(주),HT002,176.99,145.87,82,3,2,24,계단식,3812400,6129720,762480,1554840,6446592,5372160,1074432,,799384,734099,42억,45억,,,0/750,1억/750,0/750,1억/750,,,,
4,용산시티파크2단지(주상복합),181B㎡,서울시 용산구 한강로3가,1117012800,63-387,서울시 용산구 서빙고로 31,37.525916,126.969852,208,0,33,29,548,29,430,롯데건설(주),HT002,181.62,149.69,82,3,2,28,계단식,3747600,6029280,749520,1532160,6182208,5151840,1030368,,820318,753323,,38억,,,,,,,,,,
5,용산시티파크2단지(주상복합),181A㎡,서울시 용산구 한강로3가,1117012800,63-387,서울시 용산구 서빙고로 31,37.525916,126.969852,208,0,33,29,548,29,430,롯데건설(주),HT002,181.06,149.23,82,3,2,25,계단식,3945600,6336180,789120,1601460,6990048,5825040,1165008,,817798,751008,,,,,,,,,,,,
6,용산시티파크2단지(주상복합),223B㎡,서울시 용산구 한강로3가,1117012800,63-387,서울시 용산구 서빙고로 31,37.525916,126.969852,208,0,33,29,548,29,430,롯데건설(주),HT002,223.87,184.51,82,3,2,27,계단식,3362400,5432220,672480,1397340,4610592,3842160,768432,,1011136,928556,40억,45억,17억,20억,,1억/1000,,1억/1000,,,,
7,용산시티파크2단지(주상복합),223A,서울시 용산구 한강로3가,1117012800,63-387,서울시 용산구 서빙고로 31,37.525916,126.969852,208,0,33,29,548,29,430,롯데건설(주),HT002,223.85,184.49,82,3,2,25,계단식,4341600,6949980,868320,1740060,8605728,7171440,1434288,,1011026,928456,42억,45억,18억,20억,,,,,,,,
0,용산시티하우스(도시형),23E㎡,서울시 용산구 한강로3가,1117012800,65-7,서울시 용산구 한강대로14길 37,37.524416,126.966286,62,0,9,8,199,31,21,첨단바로세움종합건설(주),HT001,23.63,17.57,74,1,1,1,복도식,63600,207360,12720,131040,0,0,0,,,,,,,,,,,,,,,
1,용산시티하우스(도시형),25C㎡,서울시 용산구 한강로3가,1117012800,65-7,서울시 용산구 한강대로14길 37,37.524416,126.966286,62,0,9,8,199,31,21,첨단바로세움종합건설(주),HT001,25.73,19.2,75,1,1,6,복도식,63600,207360,12720,131040,0,0,0,,,,,"2억 9,000",,,,1억/50,,1억/50,,,,
2,용산시티하우스(도시형),25H㎡,서울시 용산구 한강로3가,1117012800,65-7,서울시 용산구 한강대로14길 37,37.524416,126.966286,62,0,9,8,199,31,21,첨단바로세움종합건설(주),HT001,25.62,19.12,75,1,1,4,복도식,61350,201510,12270,127890,0,0,0,,,,,,,,,,,,,,,
3,용산시티하우스(도시형),25I㎡,서울시 용산구 한강로3가,1117012800,65-7,서울시 용산구 한강대로14길 37,37.524416,126.966286,62,0,9,8,199,31,21,첨단바로세움종합건설(주),HT001,25,19,76,1,1,3,복도식,61350,201510,12270,127890,0,0,0,,,,,,,,,,,,,,,
4,용산시티하우스(도시형),26A㎡,서울시 용산구 한강로3가,1117012800,65-7,서울시 용산구 한강대로14길 37,37.524416,126.966286,62,0,9,8,199,31,21,첨단바로세움종합건설(주),HT001,26.88,19.9,74,1,1,24,복도식,61350,201510,12270,127890,0,0,0,,,,,3억,,"1억 9,000",,,,,,,,
5,용산시티하우스(도시형),26B㎡,서울시 용산구 한강로3가,1117012800,65-7,서울시 용산구 한강대로14길 37,37.524416,126.966286,62,0,9,8,199,31,21,첨단바로세움종합건설(주),HT001,26.24,19.89,76,1,1,18,복도식,61350,201510,12270,127890,0,0,0,,,,,,,,,,,,,,,
6,용산시티하우스(도시형),26D㎡,서울시 용산구 한강로3가,1117012800,65-7,서울시 용산구 한강대로14길 37,37.524416,126.966286,62,0,9,8,199,31,21,첨단바로세움종합건설(주),HT001,26.56,19.8,75,1,1,1,복도식,58650,194490,11730,124110,0,0,0,,,,,,,,,,,,,,,
7,용산시티하우스(도시형),30F㎡,서울시 용산구 한강로3가,1117012800,65-7,서울시 용산구 한강대로14길 37,37.524416,126.966286,62,0,9,8,199,31,21,첨단바로세움종합건설(주),HT001,30.28,22.62,75,1,1,4,복도식,66300,214380,13260,134820,0,0,0,,,,,,,,,,,,,,,
8,용산시티하우스(도시형),31G,서울시 용산구 한강로3가,1117012800,65-7,서울시 용산구 한강대로14길 37,37.524416,126.966286,62,0,9,8,199,31,21,첨단바로세움종합건설(주),HT001,31.17,23.7,76,1,1,1,복도식,66300,214380,13260,134820,0,0,0,,,,,,,,,,,,,,,
0,원효전자,61B㎡,서울시 용산구 한강로3가,1117012800,16-20,서울시 용산구 청파로 83,37.533441,126.960385,66,0,4,4,0,0,0,,HT001,61.09,55.77,91,2,1,27,계단식,156600,423540,31320,235620,0,0,0,,,,,10억,,,,,,,,,,
