,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,MJ더퍼스트이대(주상복합),20D㎡,서울시 서대문구 대현동,1141011200,90-66,서울시 서대문구 이화여대1길 25,37.557139,126.944348,16,0,15,15,728,57,8,미래앤진흥 주식회사,HT001,20.87,15.2,73,1,1,4,복도식,,,,,,,,,,,,"2억 4,000",,,,,,,,,,
1,MJ더퍼스트이대(주상복합),23A㎡,서울시 서대문구 대현동,1141011200,90-66,서울시 서대문구 이화여대1길 25,37.557139,126.944348,16,0,15,15,728,57,8,미래앤진흥 주식회사,HT001,23.7,17.27,73,1,1,4,복도식,,,,,,,,,,,,,,,,,,,,,,
2,MJ더퍼스트이대(주상복합),26C㎡,서울시 서대문구 대현동,1141011200,90-66,서울시 서대문구 이화여대1길 25,37.557139,126.944348,16,0,15,15,728,57,8,미래앤진흥 주식회사,HT001,26.09,19.01,73,1,1,4,복도식,,,,,,,,,,,,,,,,,,,,,,
3,MJ더퍼스트이대(주상복합),28B,서울시 서대문구 대현동,1141011200,90-66,서울시 서대문구 이화여대1길 25,37.557139,126.944348,16,0,15,15,728,57,8,미래앤진흥 주식회사,HT001,28.4,20.69,73,1,1,4,복도식,,,,,,,,,,,,,,,,,,,,,,
0,대현,65A㎡,서울시 서대문구 대현동,1141011200,53-4,서울시 서대문구 이화여대8길 10,37.558678,126.946348,11,0,5,5,0,0,0,,HT001,65.39,62.35,95,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,대현,65B㎡,서울시 서대문구 대현동,1141011200,53-4,서울시 서대문구 이화여대8길 10,37.558678,126.946348,11,0,5,5,0,0,0,,HT001,65.75,62.68,95,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,대현,65E㎡,서울시 서대문구 대현동,1141011200,53-4,서울시 서대문구 이화여대8길 10,37.558678,126.946348,11,0,5,5,0,0,0,,HT001,65.49,62.45,95,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,대현,66C㎡,서울시 서대문구 대현동,1141011200,53-4,서울시 서대문구 이화여대8길 10,37.558678,126.946348,11,0,5,5,0,0,0,,HT001,66.22,63.11,95,3,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
4,대현,66D㎡,서울시 서대문구 대현동,1141011200,53-4,서울시 서대문구 이화여대8길 10,37.558678,126.946348,11,0,5,5,0,0,0,,HT001,66.84,63.67,95,3,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
5,대현,67F㎡,서울시 서대문구 대현동,1141011200,53-4,서울시 서대문구 이화여대8길 10,37.558678,126.946348,11,0,5,5,0,0,0,,HT001,67.34,64.13,95,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
6,대현,68A㎡,서울시 서대문구 대현동,1141011200,53-4,서울시 서대문구 이화여대8길 10,37.558678,126.946348,11,0,5,5,0,0,0,,HT001,68.73,65.79,96,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
7,대현,69B㎡,서울시 서대문구 대현동,1141011200,53-4,서울시 서대문구 이화여대8길 10,37.558678,126.946348,11,0,5,5,0,0,0,,HT001,69.52,66.51,96,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
8,대현,74,서울시 서대문구 대현동,1141011200,53-4,서울시 서대문구 이화여대8길 10,37.558678,126.946348,11,0,5,5,0,0,0,,HT001,74.05,70.71,95,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
