,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,강변,89㎡,서울시 서초구 잠원동,1165010600,53-15,서울시 서초구 잠원로 166-17,37.517893,127.012699,360,0,15,15,243,16,324,한신공영,HT005,89.35,66.29,74,3,1,150,복도식,1791000,2996550,358200,847350,740880,617400,123480,,355972,227158,18억,19억,"4억 8,000","6억 5,000",1억/180,4억/80,1억/180,4억/80,,,,
1,강변,101,서울시 서초구 잠원동,1165010600,53-15,서울시 서초구 잠원로 166-17,37.517893,127.012699,360,0,15,15,243,16,324,한신공영,HT005,101.08,84.53,84,3,2,210,계단식,2440800,4003740,488160,1074780,1985184,1654320,330864,,453919,289662,"20억 5,000",23억,"7억 3,000",8억,2억/220,5억/100,2억/220,5억/100,,,,
0,금호베스트빌,101㎡,서울시 서초구 잠원동,1165010600,58,서울시 서초구 나루터로 46,37.514715,127.014155,117,0,17,9,298,23,216,금호산업(주),HT005,101.34,84.97,84,3,2,41,계단식,2482200,4067910,496440,1089270,2087856,1739880,347976,,,,23억,25억,,,,2억/320,,2억/320,,,,
1,금호베스트빌,166,서울시 서초구 잠원동,1165010600,58,서울시 서초구 나루터로 46,37.514715,127.014155,117,0,17,9,298,23,216,금호산업(주),HT005,166.07,140.36,85,4,2,76,계단식,3043800,4938390,608760,1285830,3480624,2900520,580104,,,,"26억 7,000",27억,13억,19억,8억/190,11억/100,8억/190,11억/100,,,,
0,노블레스,145D㎡,서울시 서초구 잠원동,1165010600,59-12,서울시 서초구 신반포로 287,37.50968,127.01522,19,0,10,9,299,36,38,이오산업,HT001,145.64,135.27,93,4,2,1,계단식,1728000,2898900,345600,825300,635040,529200,105840,,,,,,,,,,,,,,,
1,노블레스,163B㎡,서울시 서초구 잠원동,1165010600,59-12,서울시 서초구 신반포로 287,37.50968,127.01522,19,0,10,9,299,36,38,이오산업,HT001,163.66,152.01,93,4,2,10,계단식,2062800,3417840,412560,942480,1197504,997920,199584,,,,"20억 5,000",21억,,,,,,,,,,
2,노블레스,164C㎡,서울시 서초구 잠원동,1165010600,59-12,서울시 서초구 신반포로 287,37.50968,127.01522,19,0,10,9,299,36,38,이오산업,HT001,164.5,152.78,93,4,2,7,계단식,2062800,3417840,412560,942480,1197504,997920,199584,,,,"20억 5,000",25억,,,,,,,,,,
3,노블레스,199A,서울시 서초구 잠원동,1165010600,59-12,서울시 서초구 신반포로 287,37.50968,127.01522,19,0,10,9,299,36,38,이오산업,HT001,199.89,185.65,93,4,2,1,계단식,2422800,3975840,484560,1068480,1940544,1617120,323424,,,,,33억,,,,,,,,,,
0,대주피오레,103㎡,서울시 서초구 잠원동,1165010600,31-14,서울시 서초구 강남대로95길 56,37.5129,127.01696,49,0,10,6,236,34,78,대주주택주식회사,HT001,103.1,84.98,82,3,2,22,계단식,1238400,2140020,247680,653940,0,0,0,,,,15억,17억,,,,,,,,,,
1,대주피오레,139㎡,서울시 서초구 잠원동,1165010600,31-14,서울시 서초구 강남대로95길 56,37.5129,127.01696,49,0,10,6,236,34,78,대주주택주식회사,HT001,139.1,117.93,85,4,2,1,계단식,1346400,2307420,269280,691740,0,0,0,,,,,,,,,,,,,,,
