,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,센트럴큐브(도시형),33A㎡,서울시 성동구 상왕십리동,1120010100,12-47,서울시 성동구 난계로24길 19,37.570651,127.025519,75,0,20,20,599,52,47,강남건영(주),HT001,33.3,19.42,58,1,1,15,계단식,,,,,,,,,,,"2억 7,000","2억 9,000",,,,,,,,,,
1,센트럴큐브(도시형),33A1㎡,서울시 성동구 상왕십리동,1120010100,12-47,서울시 성동구 난계로24길 19,37.570651,127.025519,75,0,20,20,599,52,47,강남건영(주),HT001,33.3,19.42,58,1,1,15,계단식,,,,,,,,,,,,"2억 7,000",,"2억 5,900",,,,,,,,
2,센트럴큐브(도시형),33A2㎡,서울시 성동구 상왕십리동,1120010100,12-47,서울시 성동구 난계로24길 19,37.570651,127.025519,75,0,20,20,599,52,47,강남건영(주),HT001,33.3,19.42,58,1,1,15,계단식,,,,,,,,,,,"2억 8,000","2억 9,000",,"2억 6,000",,,,,,,,
3,센트럴큐브(도시형),40B1㎡,서울시 성동구 상왕십리동,1120010100,12-47,서울시 성동구 난계로24길 19,37.570651,127.025519,75,0,20,20,599,52,47,강남건영(주),HT001,40.86,23.95,59,1,1,15,계단식,,,,,,,,,,,"2억 6,000","3억 1,000",,"2억 6,000",,,,,,,,
4,센트럴큐브(도시형),42B,서울시 성동구 상왕십리동,1120010100,12-47,서울시 성동구 난계로24길 19,37.570651,127.025519,75,0,20,20,599,52,47,강남건영(주),HT001,42.15,24.76,59,1,1,15,계단식,,,,,,,,,,,"2억 9,500","3억 1,000",,"2억 6,000",,,,,,,,
0,텐즈힐2,80㎡,서울시 성동구 상왕십리동,1120010100,811,서울시 성동구 마장로 137,37.569258,127.024814,1148,211,25,6,246,34,1453,"(주)GS건설,현대산업개발,대림산업,삼성물산",HT001,80.9,55.2,68,2,1,27,계단식,,,,,,,,,149549,165493,11억,"11억 5,000",,,,,,,,,,
1,텐즈힐2,86A㎡,서울시 성동구 상왕십리동,1120010100,811,서울시 성동구 마장로 137,37.569258,127.024814,1148,211,25,6,246,34,1453,"(주)GS건설,현대산업개발,대림산업,삼성물산",HT001,86.3,59.96,69,3,2,82,계단식,,,,,,,,,162445,179764,"11억 9,000","13억 5,000",,,1억/240,"1억 5,000/220",1억/240,"1억 5,000/220",,,,
2,텐즈힐2,86B㎡,서울시 성동구 상왕십리동,1120010100,811,서울시 성동구 마장로 137,37.569258,127.024814,1148,211,25,6,246,34,1453,"(주)GS건설,현대산업개발,대림산업,삼성물산",HT001,86.29,59.98,70,3,2,39,계단식,,,,,,,,,162499,179824,"12억 7,000","13억 5,000",,,,,,,,,,
3,텐즈힐2,106B㎡,서울시 성동구 상왕십리동,1120010100,811,서울시 성동구 마장로 137,37.569258,127.024814,1148,211,25,6,246,34,1453,"(주)GS건설,현대산업개발,대림산업,삼성물산",HT001,106.7,84.93,80,3,2,43,계단식,,,,,,,,,230094,254626,"14억 3,000","14억 5,000",,"9억 5,000",,6억/90,,6억/90,,,,
4,텐즈힐2,107A㎡,서울시 성동구 상왕십리동,1120010100,811,서울시 성동구 마장로 137,37.569258,127.024814,1148,211,25,6,246,34,1453,"(주)GS건설,현대산업개발,대림산업,삼성물산",HT001,107.1,84.9,79,3,2,162,계단식,,,,,,,,,230013,254536,"14억 5,000","15억 3,000","8억 3,000","8억 5,000",1억/300,5억/120,1억/300,5억/120,,,,
5,텐즈힐2,109C㎡,서울시 성동구 상왕십리동,1120010100,811,서울시 성동구 마장로 137,37.569258,127.024814,1148,211,25,6,246,34,1453,"(주)GS건설,현대산업개발,대림산업,삼성물산",HT001,109.93,84.92,77,3,2,305,계단식,,,,,,,,,230067,254596,"14억 5,000","15억 5,000","8억 4,000","8억 7,000",1억/280,4억/200,1억/280,4억/200,,,,
6,텐즈힐2,111D㎡,서울시 성동구 상왕십리동,1120010100,811,서울시 성동구 마장로 137,37.569258,127.024814,1148,211,25,6,246,34,1453,"(주)GS건설,현대산업개발,대림산업,삼성물산",HT001,111.53,84.95,76,3,2,53,계단식,,,,,,,,,230148,254686,,15억,,,,,,,,,,
7,텐즈힐2,155㎡,서울시 성동구 상왕십리동,1120010100,811,서울시 성동구 마장로 137,37.569258,127.024814,1148,211,25,6,246,34,1453,"(주)GS건설,현대산업개발,대림산업,삼성물산",HT001,155.15,125.6,81,4,2,14,계단식,,,,,,,,,340278,376558,,,,,,,,,,,,
8,텐즈힐2,159㎡,서울시 성동구 상왕십리동,1120010100,811,서울시 성동구 마장로 137,37.569258,127.024814,1148,211,25,6,246,34,1453,"(주)GS건설,현대산업개발,대림산업,삼성물산",HT001,159.92,127.44,80,4,2,168,계단식,,,,,,,,,345263,382074,19억,22억,11억,12억,,9억/110,,9억/110,,,,
9,텐즈힐2,195,서울시 성동구 상왕십리동,1120010100,811,서울시 성동구 마장로 137,37.569258,127.024814,1148,211,25,6,246,34,1453,"(주)GS건설,현대산업개발,대림산업,삼성물산",HT001,195.24,157.29,81,4,3,44,계단식,,,,,,,,,426133,471566,,,,,1억/500,3억/400,1억/500,3억/400,,,,
