,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,광남캐스빌,28㎡,서울시 성북구 보문동2가,1129013100,6-5,서울시 성북구 보문로27길 12,37.587115,127.017504,18,0,7,6,260,46,20,광남건설,HT001,28.03,24.45,87,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,광남캐스빌,60㎡,서울시 성북구 보문동2가,1129013100,6-5,서울시 성북구 보문로27길 12,37.587115,127.017504,18,0,7,6,260,46,20,광남건설,HT001,60.1,52.42,87,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,광남캐스빌,86㎡,서울시 성북구 보문동2가,1129013100,6-5,서울시 성북구 보문로27길 12,37.587115,127.017504,18,0,7,6,260,46,20,광남건설,HT001,86.37,75.33,87,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,광남캐스빌,93B㎡,서울시 성북구 보문동2가,1129013100,6-5,서울시 성북구 보문로27길 12,37.587115,127.017504,18,0,7,6,260,46,20,광남건설,HT001,93.61,81.63,87,3,2,4,계단식,,,,,,,,,,,,,,,,,,,,,,
4,광남캐스빌,93A㎡,서울시 성북구 보문동2가,1129013100,6-5,서울시 성북구 보문로27길 12,37.587115,127.017504,18,0,7,6,260,46,20,광남건설,HT001,93.15,81.24,87,3,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
5,광남캐스빌,96B㎡,서울시 성북구 보문동2가,1129013100,6-5,서울시 성북구 보문로27길 12,37.587115,127.017504,18,0,7,6,260,46,20,광남건설,HT001,96.79,84.42,87,3,2,5,계단식,,,,,,,,,,,,,,,,,,,,,,
6,광남캐스빌,96㎡,서울시 성북구 보문동2가,1129013100,6-5,서울시 성북구 보문로27길 12,37.587115,127.017504,18,0,7,6,260,46,20,광남건설,HT001,96,83.72,87,3,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
7,광남캐스빌,140㎡,서울시 성북구 보문동2가,1129013100,6-5,서울시 성북구 보문로27길 12,37.587115,127.017504,18,0,7,6,260,46,20,광남건설,HT001,140.04,122.14,87,4,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
8,광남캐스빌,140,서울시 성북구 보문동2가,1129013100,6-5,서울시 성북구 보문로27길 12,37.587115,127.017504,18,0,7,6,260,46,20,광남건설,HT001,140.81,122.81,87,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,더클래식(도시형),23㎡,서울시 성북구 보문동2가,1129013100,114-1,서울시 성북구 지봉로24길 9-1,37.584671,127.019226,24,0,8,8,358,55,12,주식회사 원서종합건설,HT001,23.64,14.52,61,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
1,더클래식(도시형),25A㎡,서울시 성북구 보문동2가,1129013100,114-1,서울시 성북구 지봉로24길 9-1,37.584671,127.019226,24,0,8,8,358,55,12,주식회사 원서종합건설,HT001,25.79,15.84,61,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
2,더클래식(도시형),26B㎡,서울시 성북구 보문동2가,1129013100,114-1,서울시 성북구 지봉로24길 9-1,37.584671,127.019226,24,0,8,8,358,55,12,주식회사 원서종합건설,HT001,26.32,16.16,61,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
3,더클래식(도시형),27C,서울시 성북구 보문동2가,1129013100,114-1,서울시 성북구 지봉로24길 9-1,37.584671,127.019226,24,0,8,8,358,55,12,주식회사 원서종합건설,HT001,27.15,16.67,61,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,보문더루나,51㎡,서울시 성북구 보문동2가,1129013100,42,서울시 성북구 보문로 135,37.586878,127.018282,8,0,12,12,405,43,7,(주)제이더블유종합건,HT001,51.76,46.28,89,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
1,보문더루나,59A㎡,서울시 성북구 보문동2가,1129013100,42,서울시 성북구 보문로 135,37.586878,127.018282,8,0,12,12,405,43,7,(주)제이더블유종합건,HT001,59.72,53.39,89,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
2,보문더루나,59B㎡,서울시 성북구 보문동2가,1129013100,42,서울시 성북구 보문로 135,37.586878,127.018282,8,0,12,12,405,43,7,(주)제이더블유종합건,HT001,59.89,53.54,89,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
3,보문더루나,61C,서울시 성북구 보문동2가,1129013100,42,서울시 성북구 보문로 135,37.586878,127.018282,8,0,12,12,405,43,7,(주)제이더블유종합건,HT001,61.47,54.95,89,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
