,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,KLC,73,서울시 송파구 석촌동,1171010500,251-16,서울시 송파구 가락로5길 4-26,37.500345,127.10369,10,0,6,6,299,59,8,(주)강남종합건설,HT001,73.9,64.3,87,3,2,10,계단식,195300,497070,39060,262710,0,0,0,,,,,"6억 5,000",,,,,,,,,,
0,다성리치빌,79㎡,서울시 송파구 석촌동,1171010500,77-7,서울시 송파구 백제고분로37길 12,37.504004,127.103277,19,0,5,4,226,50,22,다성건설(주),HT001,79.06,73.75,93,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
1,다성리치빌,91㎡,서울시 송파구 석촌동,1171010500,77-7,서울시 송파구 백제고분로37길 12,37.504004,127.103277,19,0,5,4,226,50,22,다성건설(주),HT001,91.06,84.94,93,3,2,12,계단식,,,,,,,,,,,,,,,,,,,,,,
2,다성리치빌,128A㎡,서울시 송파구 석촌동,1171010500,77-7,서울시 송파구 백제고분로37길 12,37.504004,127.103277,19,0,5,4,226,50,22,다성건설(주),HT001,128.2,119.58,93,5,3,4,계단식,,,,,,,,,,,,,,,,,,,,,,
3,다성리치빌,130B,서울시 송파구 석촌동,1171010500,77-7,서울시 송파구 백제고분로37길 12,37.504004,127.103277,19,0,5,4,226,50,22,다성건설(주),HT001,130.15,121.41,93,5,3,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,미켈란호수가(주상복합),154㎡,서울시 송파구 석촌동,1171010500,158-5,서울시 송파구 석촌호수로 230,37.50738,127.10221,73,0,26,4,450,37,135,주식회사대교디앤에스,HT001,154.02,129.45,84,3,2,46,계단식,1492200,2533410,298440,742770,238896,199080,39816,,,,21억,22억,,"11억 5,000",2억/500,"8억 5,000/120",2억/500,"8억 5,000/120",,,,
1,미켈란호수가(주상복합),160A㎡,서울시 송파구 석촌동,1171010500,158-5,서울시 송파구 석촌호수로 230,37.50738,127.10221,73,0,26,4,450,37,135,주식회사대교디앤에스,HT001,160.43,134.86,84,3,2,2,계단식,1458000,2480400,291600,730800,181440,151200,30240,,,,,,,,,,,,,,,
2,미켈란호수가(주상복합),162B㎡,서울시 송파구 석촌동,1171010500,158-5,서울시 송파구 석촌호수로 230,37.50738,127.10221,73,0,26,4,450,37,135,주식회사대교디앤에스,HT001,162.77,136.8,84,3,2,22,계단식,1573200,2658960,314640,771120,374976,312480,62496,,,,,,,,,,,,,,,
3,미켈란호수가(주상복합),176㎡,서울시 송파구 석촌동,1171010500,158-5,서울시 송파구 석촌호수로 230,37.50738,127.10221,73,0,26,4,450,37,135,주식회사대교디앤에스,HT001,176.09,148.02,84,3,2,2,계단식,1573200,2658960,314640,771120,374976,312480,62496,,,,,,,,,,,,,,,
4,미켈란호수가(주상복합),226,서울시 송파구 석촌동,1171010500,158-5,서울시 송파구 석촌호수로 230,37.50738,127.10221,73,0,26,4,450,37,135,주식회사대교디앤에스,HT001,226.79,189.73,84,4,2,1,계단식,2201400,3632670,440280,990990,1430352,1191960,238392,,,,,60억,,,,,,,,,,
0,밀란체,78㎡,서울시 송파구 석촌동,1171010500,227-12,서울시 송파구 가락로3길 3-24,37.499085,127.099159,13,0,8,7,200,33,13,(주)도훈이앤에이,HT001,78.3,65.7,84,3,1,1,복합식,175500,459450,35100,248850,0,0,0,,,,,,,,,,,,,,,
1,밀란체,81,서울시 송파구 석촌동,1171010500,227-12,서울시 송파구 가락로3길 3-24,37.499085,127.099159,13,0,8,7,200,33,13,(주)도훈이앤에이,HT001,81.47,68.36,84,3,1,12,복합식,197100,500490,39420,263970,0,0,0,,,,,,,,,,,,,,,
0,배명씨앤디,85㎡,서울시 송파구 석촌동,1171010500,222-7,서울시 송파구 송파대로37길 132,37.497718,127.098259,18,0,7,7,289,55,18,시앤디공영(주),HT001,85.37,73.16,86,3,2,6,계단식,198000,502200,39600,264600,0,0,0,,,,,,,,,,,,,,,
1,배명씨앤디,88,서울시 송파구 석촌동,1171010500,222-7,서울시 송파구 송파대로37길 132,37.497718,127.098259,18,0,7,7,289,55,18,시앤디공영(주),HT001,88.32,75.69,86,3,2,12,계단식,208800,522720,41760,272160,0,0,0,,,,7억,"7억 5,000","4억 8,000",5억,,,,,,,,
0,서원,94,서울시 송파구 석촌동,1171010500,224-2,서울시 송파구 송파대로37길 122,37.498123,127.099442,24,0,7,7,0,0,26,(주)서원씨앤씨,HT001,94.96,84.96,89,3,2,24,계단식,312300,719370,62460,344610,0,0,0,,,,,"8억 7,000",,,,,,,,,,
0,석촌,103㎡,서울시 송파구 석촌동,1171010500,216-4,서울시 송파구 삼학사로8길 13,37.500152,127.098316,16,0,5,4,211,59,23,신화산업주식회사,HT001,103.98,96.35,93,3,2,11,계단식,280800,659520,56160,322560,0,0,0,,,,,,,,,,,,,,,
1,석촌,160,서울시 송파구 석촌동,1171010500,216-4,서울시 송파구 삼학사로8길 13,37.500152,127.098316,16,0,5,4,211,59,23,신화산업주식회사,HT001,160.18,148.44,93,4,2,5,복도식,388800,864720,77760,398160,0,0,0,,,,,"12억 5,000",,,,,,,,,,
0,석촌베스트휴,67㎡,서울시 송파구 석촌동,1171010500,227-10,서울시 송파구 가락로3길 3-16,37.49925,127.099473,10,0,6,6,199,44,10,(주)세이코하우징,HT001,67.2,58.98,88,2,1,1,계단식,161100,432090,32220,238770,0,0,0,,,,,,,,,,,,,,,
1,석촌베스트휴,71㎡,서울시 송파구 석촌동,1171010500,227-10,서울시 송파구 가락로3길 3-16,37.49925,127.099473,10,0,6,6,199,44,10,(주)세이코하우징,HT001,71.3,62.58,88,2,1,1,계단식,168300,445770,33660,243810,0,0,0,,,,,,,,,,,,,,,
2,석촌베스트휴,79㎡,서울시 송파구 석촌동,1171010500,227-10,서울시 송파구 가락로3길 3-16,37.49925,127.099473,10,0,6,6,199,44,10,(주)세이코하우징,HT001,79.94,70.17,88,3,2,2,계단식,207000,519300,41400,270900,0,0,0,,,,,,,,,,,,,,,
3,석촌베스트휴,81㎡,서울시 송파구 석촌동,1171010500,227-10,서울시 송파구 가락로3길 3-16,37.49925,127.099473,10,0,6,6,199,44,10,(주)세이코하우징,HT001,81.58,71.61,88,3,2,3,계단식,210600,526140,42120,273420,0,0,0,,,,,,,,,,,,,,,
4,석촌베스트휴,86,서울시 송파구 석촌동,1171010500,227-10,서울시 송파구 가락로3길 3-16,37.49925,127.099473,10,0,6,6,199,44,10,(주)세이코하우징,HT001,86.02,75.51,88,3,2,3,계단식,234000,570600,46800,289800,0,0,0,,,,,,,,,,,,,,,
0,석촌신부파스카빌,53㎡,서울시 송파구 석촌동,1171010500,60-2,서울시 송파구 석촌호수로18길 8-72,37.503385,127.100609,19,0,6,5,196,45,19,신부종합건설,HT001,53.91,44.66,83,2,1,1,계단식,111300,331380,22260,197820,0,0,0,,,,,,,,,,,,,,,
1,석촌신부파스카빌,71㎡,서울시 송파구 석촌동,1171010500,60-2,서울시 송파구 석촌호수로18길 8-72,37.503385,127.100609,19,0,6,5,196,45,19,신부종합건설,HT001,71.97,59.62,83,3,1,1,계단식,154800,420120,30960,234360,0,0,0,,,,,,,,,,,,,,,
2,석촌신부파스카빌,78A㎡,서울시 송파구 석촌동,1171010500,60-2,서울시 송파구 석촌호수로18길 8-72,37.503385,127.100609,19,0,6,5,196,45,19,신부종합건설,HT001,78.49,65.02,83,3,1,6,계단식,188100,483390,37620,257670,0,0,0,,,,,,,,,,,,,,,
