,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,CS아르체(도시형),34㎡,서울시 은평구 녹번동,1138010200,81-17,서울시 은평구 서오릉로 30,37.60385,126.925667,49,0,11,6,249,49,38,씨에스종합건설(주),HT001,34.69,30.02,87,1,1,20,계단식,,,,,,,,,,,,,,,,,,,,,,
1,CS아르체(도시형),34B㎡,서울시 은평구 녹번동,1138010200,81-17,서울시 은평구 서오릉로 30,37.60385,126.925667,49,0,11,6,249,49,38,씨에스종합건설(주),HT001,34.72,30.04,87,1,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
2,CS아르체(도시형),36A㎡,서울시 은평구 녹번동,1138010200,81-17,서울시 은평구 서오릉로 30,37.60385,126.925667,49,0,11,6,249,49,38,씨에스종합건설(주),HT001,36.66,30.03,82,1,1,18,계단식,,,,,,,,,,,,,,,,,,,,,,
3,CS아르체(도시형),36C,서울시 은평구 녹번동,1138010200,81-17,서울시 은평구 서오릉로 30,37.60385,126.925667,49,0,11,6,249,49,38,씨에스종합건설(주),HT001,36,30.07,84,1,1,6,계단식,,,,,,,,,,,,,,,,,,,,,,
0,DH팰리스타워(주상복합),43㎡,서울시 은평구 녹번동,1138010200,83-26,서울시 은평구 서오릉로 12,37.602566,126.926785,29,0,13,13,359,59,16,대한팰리스종합건설(주),HT001,43.61,38.51,88,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
1,DH팰리스타워(주상복합),49㎡,서울시 은평구 녹번동,1138010200,83-26,서울시 은평구 서오릉로 12,37.602566,126.926785,29,0,13,13,359,59,16,대한팰리스종합건설(주),HT001,49.77,43.95,88,1,1,11,계단식,,,,,,,,,,,,,,,,,,,,,,
2,DH팰리스타워(주상복합),53,서울시 은평구 녹번동,1138010200,83-26,서울시 은평구 서오릉로 12,37.602566,126.926785,29,0,13,13,359,59,16,대한팰리스종합건설(주),HT001,53.82,47.53,88,1,1,10,계단식,,,,,,,,,,,,,,,,,,,,,,
0,거성,69A㎡,서울시 은평구 녹번동,1138010200,83-37,서울시 은평구 녹번로 6-28,37.602745,126.928312,14,0,9,9,298,46,15,(주)예성디앤에쓰,HT001,69.33,59.81,86,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
1,거성,69B㎡,서울시 은평구 녹번동,1138010200,83-37,서울시 은평구 녹번로 6-28,37.602745,126.928312,14,0,9,9,298,46,15,(주)예성디앤에쓰,HT001,69.62,60.06,86,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
2,거성,73,서울시 은평구 녹번동,1138010200,83-37,서울시 은평구 녹번로 6-28,37.602745,126.928312,14,0,9,9,298,46,15,(주)예성디앤에쓰,HT001,73.42,63.34,86,3,2,10,계단식,,,,,,,,,,,,,,,,,,,,,,
0,거장메카(주상복합),49㎡,서울시 은평구 녹번동,1138010200,183-2,서울시 은평구 서오릉로2길 12,37.602201,126.927944,44,0,14,14,359,42,36,주식회사생보부동산신탁,HT001,49.22,39.51,80,3,2,22,계단식,,,,,,,,,,,4억,"4억 2,500",,,,,,,,,,
