,case_number,property_type,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,land_m2,land_pyung,building_m2_x,building_pyung,image,full_address_jibun,b_code,h_code,region1,region2,region3,main_address_no,sub_address_no,apartment_block,floor,room,full_address_road,building_name,road_name_x,main_building_no,sub_building_no,postcode,latitude,longitude,apartment_name,building_m2_y,construction_year,contract_price,contract_year,contract_month,contract_date,contract_type,contract_date_full,date_difference
0,2022-108221(1),아파트,2023-08-10,64,매각,2,1,640,755,76,7,11.41,3.45,59.94,18.13,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/108221/54216_AUTO_263.jpg,서울 중구 황학동 2545,1114016500,1114067000,서울,중구,황학동,2545,,102동,27.0,2702,서울 중구 청계천로 400,롯데캐슬베네치아,청계천로,400,,04572,37.5709782271712,127.021433711217,롯데캐슬,59.94,2008.0,84,2020,12,14,,2020-12-14,969 days
1,2023-100156(1),아파트,2023-08-10,80,매각,1,901,720,871,97,11,28.73,8.69,59.97,18.14,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/100156/212086.jpg,서울 중구 신당동 843,1114016200,1114064500,서울,중구,신당동,843,,106동,7.0,704,서울 중구 청구로1길 23,신당동삼성아파트,청구로1길,23,,04588,37.5581689025054,127.017895622274,삼성,59.97,1999.0,86,2023,6,6,중개거래,2023-06-06,65 days
2,2023-100156(1),아파트,2023-08-10,80,매각,1,901,720,871,97,11,28.73,8.69,59.97,18.14,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/100156/212086.jpg,서울 중구 신당동 843,1114016200,1114064500,서울,중구,신당동,843,,106동,7.0,704,서울 중구 청구로1길 23,신당동삼성아파트,청구로1길,23,,04588,37.5581689025054,127.017895622274,삼성,59.98,1999.0,90,2023,7,31,중개거래,2023-07-31,10 days
3,2023-100156(1),아파트,2023-08-10,80,매각,1,901,720,871,97,11,28.73,8.69,59.97,18.14,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/100156/212086.jpg,서울 중구 신당동 843,1114016200,1114064500,서울,중구,신당동,843,,106동,7.0,704,서울 중구 청구로1길 23,신당동삼성아파트,청구로1길,23,,04588,37.5581689025054,127.017895622274,삼성,59.98,1999.0,92,2020,11,21,,2020-11-21,992 days
4,2023-101180(1),아파트,2023-08-09,80,매각,2,949,759,805,85,6,45.884,13.88,84.51,25.56,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101180/182423.jpg,서울 관악구 남현동 1135,1162010300,1162063000,서울,관악구,남현동,1135,,103동,1.0,101,서울 관악구 남현길 91,우림루미아트아파트,남현길,91,,08809,37.4726335294843,126.97545516271,우림루미아트,84.51,2004.0,102,2021,9,28,,2021-09-28,680 days
5,2023-101180(1),아파트,2023-08-09,80,매각,2,949,759,805,85,6,45.884,13.88,84.51,25.56,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101180/182423.jpg,서울 관악구 남현동 1135,1162010300,1162063000,서울,관악구,남현동,1135,,103동,1.0,101,서울 관악구 남현길 91,우림루미아트아파트,남현길,91,,08809,37.4726335294843,126.97545516271,우림루미아트,84.51,2004.0,97,2022,7,16,중개거래,2022-07-16,389 days
6,2023-101180(1),아파트,2023-08-09,80,매각,2,949,759,805,85,6,45.884,13.88,84.51,25.56,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101180/182423.jpg,서울 관악구 남현동 1135,1162010300,1162063000,서울,관악구,남현동,1135,,103동,1.0,101,서울 관악구 남현길 91,우림루미아트아파트,남현길,91,,08809,37.4726335294843,126.97545516271,우림루미아트,84.51,2004.0,81,2020,10,26,,2020-10-26,1017 days
7,2022-121558(1),아파트,2023-08-09,80,매각,1,1,840,893,85,2,39.81,12.04,84.98,25.71,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/121558/11205_AUTO_17.jpg,서울 영등포구 신길동 769-1,1156013200,1156069000,서울,영등포구,신길동,769,1,101동,6.0,604,서울 영등포구 가마산로 575,한성아파트,가마산로,575,,07360,37.5046770229472,126.919326677841,한성,59.87,1997.0,76,2020,8,8,,2020-08-08,1096 days
8,2022-121558(1),아파트,2023-08-09,80,매각,1,1,840,893,85,2,39.81,12.04,84.98,25.71,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/121558/11205_AUTO_17.jpg,서울 영등포구 신길동 769-1,1156013200,1156069000,서울,영등포구,신길동,769,1,101동,6.0,604,서울 영등포구 가마산로 575,한성아파트,가마산로,575,,07360,37.5046770229472,126.919326677841,한성,59.87,1997.0,78,2020,11,10,,2020-11-10,1002 days
9,2021-102239(1),아파트,2022-01-26,80,배당종결,1,351,280,308,88,4,15.47,4.68,33.04,9.99,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2021/102239/162921.jpg,서울 영등포구 신길동 769-1,1156013200,1156069000,서울,영등포구,신길동,769,1,101동,6.0,604,서울 영등포구 가마산로 575,한성아파트,가마산로,575,,07360,37.5046770229472,126.919326677841,한성,59.87,1997.0,76,2020,8,8,,2020-08-08,536 days
